word,female_target,male_target,male_score
</s>,0.7151421110107299,0.7134283257863341,-0.001713785224395803
1,0.7369349449541565,0.7384871001738873,0.0015521552197308441
2,0.8386134376504334,0.8398798498267366,0.0012664121763031888
3,0.7134627715739736,0.7150322532352825,0.0015694816613088802
4,-0.02875197097196656,-0.028786554392515658,-3.458342054909677e-5
5,-0.030771966850396886,-0.030591437457186746,1.8052939321014025e-4
6,0.7712884993526546,0.77265086963744245,0.001362370284787806
7,0.8510284178457909,0.8521185352333229,0.0010901173875320636
a,0.9999122132182829,0.9999144925682572,2.2793499742101986e-6
â,0.8951854308317615,0.8962433320195133,0.0010579011877518418
about,0.999941079938006,0.9999384593981439,-2.6205398621081955e-06
above,0.9999777435964903,0.999956838474085,-2.0905122405268095e-5
absolutely,0.9999675723586922,0.999955287376535,-1.2284982157106938e-5
across,0.9999665376334502,0.999954122414489,-1.2415218961225882e-5
afraid,0.9999353828569546,0.9999332987828256,-2.08407412904954e-6
after,0.9999791924266693,0.9999548414789055,-2.4350947763873698e-5
afternoon,0.9999754792598493,0.9999445750178697,-3.090424197960129e-5
again,0.9999472526529279,0.9999421157717601,-5.136881167877583e-6
against,0.9999625764756099,0.9999522097464206,-1.0366729189303925e-5
ago,0.9999772417574846,0.9999548427953,-2.239896218458881e-5
ah,0.9999555495832457,0.9999470664992143,-8.483084031452037e-6
ahead,0.9999779343188716,0.999950670056966,-2.7264261905579623e-5
air,0.9999047595184574,0.9999093105665608,4.551048103484945e-6
alan,0.9999431289571663,0.9999392699829562,-3.858974210069199e-6
albie,0.9999433205507372,0.9999396814704564,-3.639080280781748e-6
alice,0.9999591440101083,0.9999499246899888,-9.219320119546737e-6
all,0.999905387003002,0.9999096387668645,4.251763862428426e-6
alligator,0.9999583285350311,0.9999495844428044,-8.744092226731226e-6
almost,0.9999614802683261,0.9999518434835248,-9.636784801259068e-6
alone,0.9999779940452632,0.9999498727720754,-2.812127318785329e-5
along,0.9999778752756002,0.9999567460947475,-2.11291808527303e-5
already,0.9999765647675791,0.9999578071617146,-1.87576058645611e-5
also,0.9999654686728011,0.9999538910392953,-1.157763350578822e-5
always,0.9999287700620031,0.9999285991087684,-1.7095323467941625e-7
am,0.9998126113823246,0.9998326252075009,2.001382517635708e-5
amelia,0.9999414202037464,0.9999382438620444,-3.176341701993657e-6
amos,0.999953941281082,0.9999472439029293,-6.697378152620281e-6
an,0.999967492983881,0.9999537145525212,-1.3778431359745547e-5
and,0.9999766062519071,0.9999503844291847,-2.622182272238316e-5
angelina,0.9999764098734417,0.9999580568593985,-1.8353014043182014e-5
angry,0.999974194325033,0.9999568906544928,-1.7303670540202987e-5
animals,0.999918394231123,0.9999211144291837,2.7201980606905707e-6
anna,0.9999683590263276,0.9999548777085527,-1.348131777489936e-5
annabelle,0.9999780766362867,0.9999576472847742,-2.042935151247427e-5
anne,0.9999709477765829,0.9999373896158663,-3.3558160716595786e-5
another,0.9999751607009432,0.9999435251695187,-3.163553142448983e-5
answer,0.9999793815601279,0.9999525576300621,-2.6823930065811297e-5
answered,0.9999697014008623,0.9999340316558406,-3.566974502167142e-5
any,0.9999598893811771,0.9999505488599484,-9.340521228695664e-6
anymore,0.9999795219744149,0.9999566985997556,-2.2823374659308726e-5
anyone,0.9999738035629677,0.9999424249159377,-3.1378647030066986e-5
anything,0.9999765590631166,0.9999581067089363,-1.8452354180298336e-5
anyway,0.9999482862232109,0.9999432386880402,-5.0475351706102956e-6
anywhere,0.9999731683405574,0.999939917192577,-3.3251147980362106e-5
apple,0.9999314035242443,0.9999302232286037,-1.1802956405571052e-6
apples,0.9999394744108526,0.999936269576826,-3.2048340266044306e-6
applesauce,0.9999552946986685,0.999947575954295,-7.718744373552688e-6
are,0.9999785797879559,0.9999511631652704,-2.741662268546108e-5
arm,0.999898960209387,0.9999047242778097,5.76406842278665e-6
arms,0.9999226257015721,0.9999237597681491,1.1340665769798974e-6
arnie,0.9999783234087889,0.9999575884841292,-2.073492465970439e-5
around,0.9999785268975471,0.9999567497831348,-2.177711441231356e-5
arrived,0.9999786289639417,0.9999562073654985,-2.2421598443234103e-5
arthur,0.9999675814421358,0.999954502445717,-1.307899641878052e-5
as,0.9999389534806866,0.9999356158006572,-3.3376800294693254e-6
ask,0.9998754265524642,0.9998853622185856,9.935666121396736e-6
asked,0.9999787401859798,0.9999536845496921,-2.5055636287629746e-5
asleep,0.9999791981251441,0.9999562932835784,-2.2904841565751788e-5
at,0.9999577191584929,0.9999481835422167,-9.535616276146186e-6
ate,0.9999755361071302,0.9999452059894804,-3.0330117649746136e-5
away,0.9999159173515809,0.9999186924755422,2.7751239612960887e-6
b,0.9982335019522486,0.9983535043897929,1.2000243754428652e-4
babar,0.9998117873759726,0.9998322119498138,2.0424573841104632e-5
baby,0.9996402120713438,0.9996806063268667,4.0394255522935296e-5
back,0.999660340046307,0.9996976424962756,3.730244996857923e-5
bad,0.9999143788894658,0.999917630453014,3.2515635481900063e-6
bag,0.9998729419052019,0.9998837926217989,1.0850716597010646e-5
ball,0.9998303010153561,0.9998477456403124,1.7444624956342025e-5
balloon,0.9999655446015407,0.9999543113948597,-1.1233206681060537e-5
balloons,0.9999658206788132,0.9999545115817925,-1.1309097020739678e-5
band,0.9999601887374768,0.9999508064302055,-9.382307271321721e-6
bang,0.9999462142517809,0.999941665660599,-4.5485911818188285e-6
barn,0.9999350245934918,0.9999336753428499,-1.3492506418799621e-6
basket,0.9999643849588635,0.9999532446166608,-1.114034220273119e-5
bat,0.999900924798611,0.9999070353488562,6.1105502451308524e-6
bath,0.9999393881546604,0.9999370268681584,-2.3612865019950746e-6
bats,0.9999230732318218,0.9999246357813265,1.562549504674493e-6
be,0.9999750708482651,0.9999520696514486,-2.3001196816530012e-5
beach,0.9999694762457436,0.9999560073514243,-1.346889431930176e-5
beans,0.9999761811854622,0.9999580859514837,-1.809523397844348e-5
bear,0.9999685371026985,0.99995526440484,-1.3272697858557336e-5
bears,0.9999708353152011,0.9999563775393533,-1.4457775847853682e-5
beautiful,0.9999353778358809,0.9999338589392158,-1.5188966651091818e-6
became,0.999974399165471,0.9999576236149741,-1.677555049695023e-5
because,0.9999759151569064,0.999957849668254,-1.806548865246338e-5
become,0.9999785189768302,0.9999526125728989,-2.5906403931297284e-5
bed,0.9999673247169372,0.9999325884712102,-3.473624572691847e-5
bedelia,0.999978065929593,0.9999577050317275,-2.0360897865501215e-5
bee,0.9999589816349438,0.9999197724509004,-3.9209184043431655e-5
been,0.999959105581107,0.9999198327255782,-3.927285552884907e-5
beep,0.9999776416679742,0.9999528904610859,-2.4751206888273813e-5
bees,0.9999708238247377,0.9999368217151964,-3.40021095412979e-5
before,0.9999738097333941,0.9999414441855334,-3.236554786067991e-5
began,0.9999786997589744,0.9999559399066726,-2.2759852301712513e-5
beginning,0.999977998714177,0.9999564152597546,-2.15834544223803e-5
behind,0.9999788158132499,0.9999531294042859,-2.568640896394303e-5
being,0.9999776772848901,0.9999571089555153,-2.0568329374803795e-5
believe,0.9999769214887975,0.9999473626998555,-2.9558788941952407e-5
bell,0.9999624620972792,0.9999514131887827,-1.1048908496569254e-5
belly,0.999960281882597,0.9999505053722069,-9.77651039013594e-6
below,0.9999786210886344,0.9999555402868237,-2.3080801810793083e-5
berries,0.9999793621523702,0.9999563457179734,-2.3016434396727625e-5
best,0.9999783113898599,0.9999547276008451,-2.3583789014791634e-5
better,0.999972472156205,0.9999389892012989,-3.348295490612774e-5
between,0.9999566020023357,0.9999159541399818,-4.0647862353915265e-5
big,0.9997847331011702,0.9998078360337531,2.3102932582896862e-5
bigger,0.9999768142750445,0.9999566654214076,-2.0148853636881014e-5
bike,0.9999330769736804,0.9999319352700125,-1.141703667939531e-6
bing,0.9999283994780543,0.9999284865639326,8.708587828643033e-8
bird,0.9999195482212595,0.9999211977309164,1.6495096568647227e-6
birds,0.9999365818362302,0.9999342487237612,-2.3331124689995875e-6
birthday,0.9999535332851424,0.9999469966394293,-6.5366457130400235e-6
bit,0.9998596331888701,0.9998730898996713,1.3456710801218463e-5
bite,0.99997044719005,0.9999561940192849,-1.4253170765088363e-5
black,0.9997345506745953,0.9997643033747338,2.9752700138496735e-5
blaze,0.9999155777289354,0.9999186070809212,3.029351985817108e-6
blew,0.9999738705864146,0.9999561376282593,-1.7732958155325385e-5
blink,0.9998400460604511,0.9998566898895155,1.6643829064411086e-5
