participant_id,trial_index,book_id,title,gender_group,question_type,character_name,character_type,character_gender,question_id,raw_response,word_tidy,correct_pos,word_tidy_lemma,human_gender_estimate_us,human_gender_estimate_glasgow
P67600,10,M13,HAROLD AND THE PURPLE CRAYON,male-biased,activity,HAROLD,m,m,A3,walk,walk,action,walk,3.0714285714285716,NA
P67600,10,M13,HAROLD AND THE PURPLE CRAYON,male-biased,activity,HAROLD,m,m,A4,sleep,sleep,action,sleep,3.3076923076923075,3.6765
P67600,11,M13,HAROLD AND THE PURPLE CRAYON,male-biased,description,HAROLD,m,m,D1,clever,clever,description,clever,3.0833333333333335,4
P67600,11,M13,HAROLD AND THE PURPLE CRAYON,male-biased,description,HAROLD,m,m,D2,creative,creative,description,creative,3.4,NA
P67600,11,M13,HAROLD AND THE PURPLE CRAYON,male-biased,description,HAROLD,m,m,D3,imaginative,imaginative,description,imaginative,3.75,2.7813
P67600,13,M6,CORDUROY,neutral,activity,CORDUROY,m,m,A1,crawl,crawl,action,crawl,3.0833333333333335,3.9706
P67600,13,M6,CORDUROY,neutral,activity,CORDUROY,m,m,A2,blink,blink,action,blink,NA,NA
P67600,13,M6,CORDUROY,neutral,activity,CORDUROY,m,m,A3,climbed,climbed,action,climb,2.5,4.6765
P67600,14,M6,CORDUROY,neutral,description,CORDUROY,m,m,D1,sad,sad,description,sad,3.2666666666666666,3.6857
P67600,14,M6,CORDUROY,neutral,description,CORDUROY,m,m,D2,lonely,lonely,description,lonely,3.066666666666667,3.8214
P67600,14,M6,CORDUROY,neutral,description,CORDUROY,m,m,D3,curious,curious,description,curious,3.9285714285714284,3.4615
P67600,15,M6,CORDUROY,neutral,activity,LISA,s,f,A1,shop,shop,action,shop,3.3125,NA
P67600,15,M6,CORDUROY,neutral,activity,LISA,s,f,A2,stares,stares,action,stare,3,4.0714
P67600,15,M6,CORDUROY,neutral,activity,LISA,s,f,A3,sewed,sewed,action,sew,4.071428571428571,2.2727
P67600,16,M6,CORDUROY,neutral,description,LISA,s,f,D1,smart,smart,description,smart,2.933333333333333,3.7188
P67600,16,M6,CORDUROY,neutral,description,LISA,s,f,D2,hardworking,hardworking,description,hardworking,2.1,NA
P67600,16,M6,CORDUROY,neutral,description,LISA,s,f,D3,optimisic,optimistic,description,optimistic,3.6,3.3636
P67609,3,L223,IN THE NIGHT KITCHEN,neutral,activity,MICKEY,m,m,A1,heard,heard,action,hear,3,3.9375
P67609,3,L223,IN THE NIGHT KITCHEN,neutral,activity,MICKEY,m,m,A2,shouted,shouted,action,shout,2,NA
P67609,3,L223,IN THE NIGHT KITCHEN,neutral,activity,MICKEY,m,m,A3,fell,fell,action,fall,2.857142857142857,4.1875
P67609,3,L223,IN THE NIGHT KITCHEN,neutral,activity,MICKEY,m,m,A4,chanting,chanting,action,chant,2.5833333333333335,NA
P67609,3,L223,IN THE NIGHT KITCHEN,neutral,activity,MICKEY,m,m,A5,poked,poked,action,poke,2.4,4.3448
P67609,4,L223,IN THE NIGHT KITCHEN,neutral,description,MICKEY,m,m,D1,active,active,description,active,2.4,4.2
P67609,4,L223,IN THE NIGHT KITCHEN,neutral,description,MICKEY,m,m,D2,energetic,energetic,description,energetic,2.8333333333333335,NA
P67609,6,M67,GOLDILICIOUS,female-biased,activity,PINKALICIOUS,m,f,A1,dropping flowers,dropping,action,drop,3.142857142857143,4.4138
P67609,6,M67,GOLDILICIOUS,female-biased,activity,PINKALICIOUS,m,f,A2,talking,talking,action,talk,3.7142857142857144,NA
P67609,7,M67,GOLDILICIOUS,female-biased,description,PINKALICIOUS,m,f,D1,imaginative,imaginative,description,imaginative,3.75,2.7813
P67609,7,M67,GOLDILICIOUS,female-biased,description,PINKALICIOUS,m,f,D2,creative,creative,description,creative,3.4,NA
P67609,8,M67,GOLDILICIOUS,female-biased,activity,PETER,s,m,A1,stepping right into it,stepping,action,step,2.8461538461538463,NA
P67609,8,M67,GOLDILICIOUS,female-biased,activity,PETER,s,m,A2,sitting on Goldie,sitting,action,sit,3.2,3.9706
P67609,9,M67,GOLDILICIOUS,female-biased,description,PETER,s,m,D1,talkative,talkative,description,talkative,4,NA
P67609,9,M67,GOLDILICIOUS,female-biased,description,PETER,s,m,D2,uncreative,uncreative,description,uncreative,NA,NA
P67609,11,M42,IF YOU GIVE A MOUSE A COOKIE,male-biased,activity,MOUSE,m,m,A1,asking,asking,action,ask,3.1666666666666665,NA
P67609,11,M42,IF YOU GIVE A MOUSE A COOKIE,male-biased,activity,MOUSE,m,m,A2,sweeping,sweeping,action,sweep,3.4,3.5152
P67609,11,M42,IF YOU GIVE A MOUSE A COOKIE,male-biased,activity,MOUSE,m,m,A3,drawing,drawing,action,draw,3.1666666666666665,3.625
P67609,12,M42,IF YOU GIVE A MOUSE A COOKIE,male-biased,description,MOUSE,m,m,D1,hungry,hungry,description,hungry,2.2142857142857144,NA
P67609,12,M42,IF YOU GIVE A MOUSE A COOKIE,male-biased,description,MOUSE,m,m,D2,busy,busy,description,busy,3.1875,3.8788
P67616,3,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,activity,MOOSE,m,m,A1,Go,go,action,go,2.8333333333333335,NA
P67616,3,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,activity,MOOSE,m,m,A2,Ask,ask,action,ask,3.1666666666666665,NA
P67616,3,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,activity,MOOSE,m,m,A3,Eat,eat,action,eat,2.8,4
P67616,3,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,activity,MOOSE,m,m,A4,Sew,sew,action,sew,4.071428571428571,2.2727
P67616,3,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,activity,MOOSE,m,m,A5,Run,run,action,run,2.7,4.6765
P67616,4,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,description,MOOSE,m,m,D1,Playful,playful,description,playful,4.083333333333333,3.0286
P67616,4,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,description,MOOSE,m,m,D2,Childish,childish,description,childish,2.5,NA
P67616,4,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,description,MOOSE,m,m,D3,Innocent,innocent,description,innocent,4,2.5714
P67616,4,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,description,MOOSE,m,m,D4,Happy,happy,description,happy,3.3333333333333335,3.3333
P67616,4,M85,IF YOU GIVE A MOOSE A MUFFIN,male-biased,description,MOOSE,m,m,D5,Energetic,energetic,description,energetic,2.8333333333333335,NA
P67616,6,L198,MORTIMER,male-biased,activity,MORTIMER,m,m,A1,Sing,sing,action,sing,3.8,2.8125
P67616,6,L198,MORTIMER,male-biased,activity,MORTIMER,m,m,A2,Talk,talk,action,talk,3.7142857142857144,NA
P67616,6,L198,MORTIMER,male-biased,activity,MORTIMER,m,m,A3,Play,play,action,play,2.8,3.5294
P67616,6,L198,MORTIMER,male-biased,activity,MORTIMER,m,m,A4,Walk,walk,action,walk,3.0714285714285716,NA
P67616,6,L198,MORTIMER,male-biased,activity,MORTIMER,m,m,A5,Shook,shook,action,shake,3.1,4.2258
P67616,7,L198,MORTIMER,male-biased,description,MORTIMER,m,m,D1,Annoying,annoying,description,annoy,2.4,4.5
P67616,7,L198,MORTIMER,male-biased,description,MORTIMER,m,m,D2,Happy,happy,description,happy,3.3333333333333335,3.3333
P67616,7,L198,MORTIMER,male-biased,description,MORTIMER,m,m,D3,Selfish,selfish,description,selfish,2.5,4.4412
P67616,7,L198,MORTIMER,male-biased,description,MORTIMER,m,m,D4,Arrogant,arrogant,description,arrogant,NA,5.8438
P67616,7,L198,MORTIMER,male-biased,description,MORTIMER,m,m,D5,Disliked,disliked,description,dislike,NA,NA
P67616,8,L198,MORTIMER,male-biased,activity,MORTIMER'S MOTHER,s,f,A1,Fight,fight,action,fight,1.3571428571428572,5.9643
P67616,8,L198,MORTIMER,male-biased,activity,MORTIMER'S MOTHER,s,f,A2,Walk,walk,action,walk,3.0714285714285716,NA
P67616,8,L198,MORTIMER,male-biased,activity,MORTIMER'S MOTHER,s,f,A3,Talk,talk,action,talk,3.7142857142857144,NA
P67616,8,L198,MORTIMER,male-biased,activity,MORTIMER'S MOTHER,s,f,A4,Shut,shut,action,shut,2.75,NA
P67616,8,L198,MORTIMER,male-biased,activity,MORTIMER'S MOTHER,s,f,A5,Throw,throw,action,throw,2.466666666666667,4.9375
P67616,9,L198,MORTIMER,male-biased,description,MORTIMER'S MOTHER,s,f,D1,Angry,angry,description,angry,2,5.4
P67616,9,L198,MORTIMER,male-biased,description,MORTIMER'S MOTHER,s,f,D2,Irritated,irritated,description,irritate,2.5,4.2188
P67616,9,L198,MORTIMER,male-biased,description,MORTIMER'S MOTHER,s,f,D3,Emotional,emotional,description,emotional,3.9,2.2903
P67616,9,L198,MORTIMER,male-biased,description,MORTIMER'S MOTHER,s,f,D4,Uncontrollable,uncontrollable,description,uncontrollable,NA,NA
P67616,9,L198,MORTIMER,male-biased,description,MORTIMER'S MOTHER,s,f,D5,Frustrated,frustrated,description,frustrate,2.9166666666666665,4.7188
P67616,10,L198,MORTIMER,male-biased,activity,MORTIMER'S FATHER,s,m,A1,Scream,scream,action,scream,3.9166666666666665,2.7778
P67616,10,L198,MORTIMER,male-biased,activity,MORTIMER'S FATHER,s,m,A2,Walk,walk,action,walk,3.0714285714285716,NA
P67616,10,L198,MORTIMER,male-biased,activity,MORTIMER'S FATHER,s,m,A3,Fight,fight,action,fight,1.3571428571428572,5.9643
P67616,10,L198,MORTIMER,male-biased,activity,MORTIMER'S FATHER,s,m,A4,Listen,listen,action,listen,3.5714285714285716,NA
P67616,10,L198,MORTIMER,male-biased,activity,MORTIMER'S FATHER,s,m,A5,Open,open,action,open,3.5,3.2188
P67616,11,L198,MORTIMER,male-biased,description,MORTIMER'S FATHER,s,m,D1,Angry,angry,description,angry,2,5.4
P67616,11,L198,MORTIMER,male-biased,description,MORTIMER'S FATHER,s,m,D2,Old,old,description,old,2.6,NA
P67616,11,L198,MORTIMER,male-biased,description,MORTIMER'S FATHER,s,m,D3,Sad,sad,description,sad,3.2666666666666666,3.6857
P67616,11,L198,MORTIMER,male-biased,description,MORTIMER'S FATHER,s,m,D4,Mad,mad,description,mad,2,4.3125
P67616,11,L198,MORTIMER,male-biased,description,MORTIMER'S FATHER,s,m,D5,Frustrated,frustrated,description,frustrate,2.9166666666666665,4.7188
P67616,13,M17,MADELINE,female-biased,activity,MADELINE,m,f,A1,Cry,cry,action,cry,4,2.7576
P67616,13,M17,MADELINE,female-biased,activity,MADELINE,m,f,A2,Eat,eat,action,eat,2.8,4
P67616,13,M17,MADELINE,female-biased,activity,MADELINE,m,f,A3,Drink,drink,action,drink,2.533333333333333,NA
P67616,13,M17,MADELINE,female-biased,activity,MADELINE,m,f,A4,Sleep,sleep,action,sleep,3.3076923076923075,3.6765
P67616,13,M17,MADELINE,female-biased,activity,MADELINE,m,f,A5,Talk,talk,action,talk,3.7142857142857144,NA
P67616,14,M17,MADELINE,female-biased,description,MADELINE,m,f,D1,Pitiful,pitiful,description,pitiful,NA,4.0294
P67616,14,M17,MADELINE,female-biased,description,MADELINE,m,f,D2,Weird,weird,description,weird,3.1666666666666665,4.4848
P67616,14,M17,MADELINE,female-biased,description,MADELINE,m,f,D3,Young,young,description,young,3.3,3.1379
P67616,14,M17,MADELINE,female-biased,description,MADELINE,m,f,D4,Scared,scared,description,scare,2.4,4.2143
P67616,14,M17,MADELINE,female-biased,description,MADELINE,m,f,D5,Little,little,description,little,3.7857142857142856,3.2424
P67617,3,M67,GOLDILICIOUS,female-biased,activity,PINKALICIOUS,m,f,A1,put,put,action,put,3.125,NA
P67617,3,M67,GOLDILICIOUS,female-biased,activity,PINKALICIOUS,m,f,A2,climb,climb,action,climb,2.5,4.6765
P67617,3,M67,GOLDILICIOUS,female-biased,activity,PINKALICIOUS,m,f,A3,run,run,action,run,2.7,4.6765
P67617,3,M67,GOLDILICIOUS,female-biased,activity,PINKALICIOUS,m,f,A4,scold,scold,action,scold,2.7,NA
P67617,3,M67,GOLDILICIOUS,female-biased,activity,PINKALICIOUS,m,f,A5,rescue,rescue,action,rescue,2.4,5.0938
P67617,4,M67,GOLDILICIOUS,female-biased,description,PINKALICIOUS,m,f,D1,galloping,galloping,description,gallop,2.8461538461538463,NA
P67617,4,M67,GOLDILICIOUS,female-biased,description,PINKALICIOUS,m,f,D2,free,free,description,free,3.1333333333333333,3.6857
P67617,4,M67,GOLDILICIOUS,female-biased,description,PINKALICIOUS,m,f,D3,pinkerrifc,picnicker,description,picnicker,NA,NA
P67617,4,M67,GOLDILICIOUS,female-biased,description,PINKALICIOUS,m,f,D4,fast,fast,description,fast,2.2142857142857144,5.0909
P67617,4,M67,GOLDILICIOUS,female-biased,description,PINKALICIOUS,m,f,D5,loudly,loudly,description,loudly,2.5384615384615383,NA
P67617,5,M67,GOLDILICIOUS,female-biased,activity,PETER,s,m,A1,whine,whine,action,whine,3.7,3.2941
P67617,5,M67,GOLDILICIOUS,female-biased,activity,PETER,s,m,A2,ask,ask,action,ask,3.1666666666666665,NA
P67617,5,M67,GOLDILICIOUS,female-biased,activity,PETER,s,m,A3,yell,yell,action,yell,2.6,NA
P67617,5,M67,GOLDILICIOUS,female-biased,activity,PETER,s,m,A4,say,say,action,say,3.3125,NA
P67617,5,M67,GOLDILICIOUS,female-biased,activity,PETER,s,m,A5,ran off,ran,action,run,2.7,4.6765
P67617,6,M67,GOLDILICIOUS,female-biased,description,PETER,s,m,D1,dress up,dress,description,dress,4.928571428571429,1.4722
P67617,6,M67,GOLDILICIOUS,female-biased,description,PETER,s,m,D2,whined,whined,description,whine,3.7,3.2941
P67617,8,M13,HAROLD AND THE PURPLE CRAYON,male-biased,activity,HAROLD,m,m,A1,decide,decide,action,decide,2.5,NA
P67617,8,M13,HAROLD AND THE PURPLE CRAYON,male-biased,activity,HAROLD,m,m,A2,made,made,action,make,3.2,3.7813
P67617,8,M13,HAROLD AND THE PURPLE CRAYON,male-biased,activity,HAROLD,m,m,A3,left,left,action,leave,2.7857142857142856,NA
P67617,8,M13,HAROLD AND THE PURPLE CRAYON,male-biased,activity,HAROLD,m,m,A4,back,back,action,back,2.6666666666666665,NA
P67617,8,M13,HAROLD AND THE PURPLE CRAYON,male-biased,activity,HAROLD,m,m,A5,see,see,action,see,2.9,NA
P67617,9,M13,HAROLD AND THE PURPLE CRAYON,male-biased,description,HAROLD,m,m,D1,lost,lost,description,lose,2.933333333333333,4.1
P67617,9,M13,HAROLD AND THE PURPLE CRAYON,male-biased,description,HAROLD,m,m,D2,terribly,terribly,description,terribly,2.923076923076923,NA
P67617,9,M13,HAROLD AND THE PURPLE CRAYON,male-biased,description,HAROLD,m,m,D3,purple,purple,description,purple,4.3,2.8182
P67617,9,M13,HAROLD AND THE PURPLE CRAYON,male-biased,description,HAROLD,m,m,D4,straight,straight,description,straight,2.642857142857143,NA
P67617,11,L144,SLOW LORIS,neutral,activity,LORIS,m,m,A1,live,live,action,live,3.076923076923077,3.5161
P67617,11,L144,SLOW LORIS,neutral,activity,LORIS,m,m,A2,eat,eat,action,eat,2.8,4
P67617,11,L144,SLOW LORIS,neutral,activity,LORIS,m,m,A3,scratch,scratch,action,scratch,2.2142857142857144,NA
