trial_index,participant_id,question_type,book_id,time_elapsed,character_name,question_id,response,title,character_type,character_gender,gender_group
3,P67578,activity,M66,182179,FROGGY,A1,played,FROGGY GOES TO BED,m,m,neutral
3,P67578,activity,M66,182179,FROGGY,A2,looked,FROGGY GOES TO BED,m,m,neutral
3,P67578,activity,M66,182179,FROGGY,A3,brushed,FROGGY GOES TO BED,m,m,neutral
3,P67578,activity,M66,182179,FROGGY,A4,hugged,FROGGY GOES TO BED,m,m,neutral
3,P67578,activity,M66,182179,FROGGY,A5,closed eyes,FROGGY GOES TO BED,m,m,neutral
4,P67578,description,M66,318026,FROGGY,D1,little ,FROGGY GOES TO BED,m,m,neutral
4,P67578,description,M66,318026,FROGGY,D2,tired,FROGGY GOES TO BED,m,m,neutral
4,P67578,description,M66,318026,FROGGY,D3,complainer,FROGGY GOES TO BED,m,m,neutral
4,P67578,description,M66,318026,FROGGY,D4,hungry,FROGGY GOES TO BED,m,m,neutral
4,P67578,description,M66,318026,FROGGY,D5,thirsty,FROGGY GOES TO BED,m,m,neutral
5,P67578,activity,M66,433772,MOTHER,A1,tuck him in ,FROGGY GOES TO BED,s,f,neutral
5,P67578,activity,M66,433772,MOTHER,A2,help him,FROGGY GOES TO BED,s,f,neutral
5,P67578,activity,M66,433772,MOTHER,A3,bathe him,FROGGY GOES TO BED,s,f,neutral
5,P67578,activity,M66,433772,MOTHER,A4,hugged him,FROGGY GOES TO BED,s,f,neutral
5,P67578,activity,M66,433772,MOTHER,A5,yawned at him,FROGGY GOES TO BED,s,f,neutral
6,P67578,description,M66,467477,MOTHER,D1,patient,FROGGY GOES TO BED,s,f,neutral
6,P67578,description,M66,467477,MOTHER,D2,kind ,FROGGY GOES TO BED,s,f,neutral
6,P67578,description,M66,467477,MOTHER,D3,loving ,FROGGY GOES TO BED,s,f,neutral
6,P67578,description,M66,467477,MOTHER,D4,adult,FROGGY GOES TO BED,s,f,neutral
6,P67578,description,M66,467477,MOTHER,D5,direct,FROGGY GOES TO BED,s,f,neutral
8,P67578,activity,M48,661234,SAM,A1,eat,GREEN EGGS AND HAM,m,m,neutral
8,P67578,activity,M48,661234,SAM,A2,like ,GREEN EGGS AND HAM,m,m,neutral
8,P67578,activity,M48,661234,SAM,A3,eat ,GREEN EGGS AND HAM,m,m,neutral
8,P67578,activity,M48,661234,SAM,A4,try eggs ,GREEN EGGS AND HAM,m,m,neutral
8,P67578,activity,M48,661234,SAM,A5,be same,GREEN EGGS AND HAM,m,m,neutral
9,P67578,description,M48,863278,SAM,D1,picky,GREEN EGGS AND HAM,m,m,neutral
9,P67578,description,M48,863278,SAM,D2,redundant,GREEN EGGS AND HAM,m,m,neutral
9,P67578,description,M48,863278,SAM,D3,classic,GREEN EGGS AND HAM,m,m,neutral
9,P67578,description,M48,863278,SAM,D4,questionable,GREEN EGGS AND HAM,m,m,neutral
9,P67578,description,M48,863278,SAM,D5,nice,GREEN EGGS AND HAM,m,m,neutral
11,P67578,activity,L217,905628,GRANDFATHER,A1,left,GRANDFATHER'S JOURNEY,m,m,male-biased
11,P67578,activity,L217,905628,GRANDFATHER,A2,didnt see,GRANDFATHER'S JOURNEY,m,m,male-biased
11,P67578,activity,L217,905628,GRANDFATHER,A3,explored,GRANDFATHER'S JOURNEY,m,m,male-biased
11,P67578,activity,L217,905628,GRANDFATHER,A4,traveled,GRANDFATHER'S JOURNEY,m,m,male-biased
11,P67578,activity,L217,905628,GRANDFATHER,A5,think,GRANDFATHER'S JOURNEY,m,m,male-biased
12,P67578,description,L217,940033,GRANDFATHER,D1,old,GRANDFATHER'S JOURNEY,m,m,male-biased
12,P67578,description,L217,940033,GRANDFATHER,D2,sweet,GRANDFATHER'S JOURNEY,m,m,male-biased
12,P67578,description,L217,940033,GRANDFATHER,D3,adventurer,GRANDFATHER'S JOURNEY,m,m,male-biased
12,P67578,description,L217,940033,GRANDFATHER,D4,reminiscent,GRANDFATHER'S JOURNEY,m,m,male-biased
12,P67578,description,L217,940033,GRANDFATHER,D5,wholesome,GRANDFATHER'S JOURNEY,m,m,male-biased
13,P67578,familiarity,NA,949495,NA,book_1,not familiar,NA,NA,NA,NA
13,P67578,familiarity,NA,949495,NA,book_2,familiar,NA,NA,NA,NA
13,P67578,familiarity,NA,949495,NA,book_3,not familiar,NA,NA,NA,NA
14,P67578,participant_gender,NA,954094,NA,gender,Female,NA,NA,NA,NA
3,P67600,activity,L198,1022607,MORTIMER,A1,shook his head,MORTIMER,m,m,male-biased
3,P67600,activity,L198,1022607,MORTIMER,A2,sang,MORTIMER,m,m,male-biased
4,P67600,description,L198,1039732,MORTIMER,D1,loud,MORTIMER,m,m,male-biased
4,P67600,description,L198,1039732,MORTIMER,D2,noisy,MORTIMER,m,m,male-biased
4,P67600,description,L198,1039732,MORTIMER,D3,trouble maker,MORTIMER,m,m,male-biased
5,P67600,activity,L198,1099306,MORTIMER'S MOTHER,A1,took Mortimer to bed,MORTIMER,s,f,male-biased
5,P67600,activity,L198,1099306,MORTIMER'S MOTHER,A2,opened the door to Mortimer room,MORTIMER,s,f,male-biased
5,P67600,activity,L198,1099306,MORTIMER'S MOTHER,A3,tell him to be quiet,MORTIMER,s,f,male-biased
6,P67600,description,L198,1112690,MORTIMER'S MOTHER,D1,irritated,MORTIMER,s,f,male-biased
6,P67600,description,L198,1112690,MORTIMER'S MOTHER,D2,annoyed,MORTIMER,s,f,male-biased
7,P67600,activity,L198,1169862,MORTIMER'S FATHER,A1,walked upstairs,MORTIMER,s,m,male-biased
7,P67600,activity,L198,1169862,MORTIMER'S FATHER,A2,yelled,MORTIMER,s,m,male-biased
7,P67600,activity,L198,1169862,MORTIMER'S FATHER,A3,fought with his other children,MORTIMER,s,m,male-biased
8,P67600,description,L198,1181863,MORTIMER'S FATHER,D1,irritated,MORTIMER,s,m,male-biased
8,P67600,description,L198,1181863,MORTIMER'S FATHER,D2,annoyed,MORTIMER,s,m,male-biased
8,P67600,description,L198,1181863,MORTIMER'S FATHER,D3,tired,MORTIMER,s,m,male-biased
10,P67600,activity,M13,1373369,HAROLD,A1,draw,HAROLD AND THE PURPLE CRAYON,m,m,male-biased
10,P67600,activity,M13,1373369,HAROLD,A2,fall,HAROLD AND THE PURPLE CRAYON,m,m,male-biased
10,P67600,activity,M13,1373369,HAROLD,A3,walk,HAROLD AND THE PURPLE CRAYON,m,m,male-biased
10,P67600,activity,M13,1373369,HAROLD,A4,sleep,HAROLD AND THE PURPLE CRAYON,m,m,male-biased
11,P67600,description,M13,1395066,HAROLD,D1,clever,HAROLD AND THE PURPLE CRAYON,m,m,male-biased
11,P67600,description,M13,1395066,HAROLD,D2,creative,HAROLD AND THE PURPLE CRAYON,m,m,male-biased
11,P67600,description,M13,1395066,HAROLD,D3,imaginative,HAROLD AND THE PURPLE CRAYON,m,m,male-biased
13,P67600,activity,M6,1608143,CORDUROY,A1,crawl,CORDUROY,m,m,neutral
13,P67600,activity,M6,1608143,CORDUROY,A2,blink,CORDUROY,m,m,neutral
