word_tidy_lemma,n
excite,38
playful,37
helpful,33
hardworking,28
determine,26
adventurous,25
annoy,24
persistent,21
energetic,20
creative,19
draw,19
imaginative,18
sleepy,18
demand,17
bake,16
churn,16
gather,16
dirty,15
active,13
complain,13
explore,13
bore,12
search,12
childish,11
confuse,11
needy,11
responsible,11
travel,11
beg,10
greedy,10
sweep,10
dedicate,9
diva,9
innocent,9
push,9
hopeful,8
scare,8
strict,8
learn,7
mischievous,7
rub,7
selfish,7
sniffle,7
thirsty,7
be,6
cautious,6
chew,6
hunt,6
independent,6
interest,6
joyful,6
laugh,6
lie,6
meow,6
naive,6
scream,6
scruffy,6
thoughtful,6
waddle,6
bury,5
careful,5
crawl,5
eager,5
excitable,5
indecisive,5
inquisitive,5
introduce,5
irritate,5
obedient,5
outgoing,5
pitch,5
pour,5
resourceful,5
sniff,5
stroll,5
swing,5
wag,5
attentive,4
childlike,4
clap,4
comfort,4
command,4
cough,4
crafty,4
decide,4
direct,4
dizzy,4
drool,4
exploration,4
fee,4
haul,4
mature,4
motherly,4
nervous,4
observant,4
polite,4
pretend,4
puffy,4
return,4
scold,4
simple,4
skip,4
snug,4
stomp,4
stretch,4
studious,4
talented,4
trust,4
whine,4
whirl,4
ambitious,3
bold,3
bossy,3
camp,3
cheerful,3
commit,3
compassionate,3
create,3
diligent,3
discover,3
distract,3
energize,3
entertain,3
feed,3
female,3
focus,3
forbid,3
forgetful,3
frustrate,3
goofy,3
industrious,3
insecure,3
insistent,3
intelligent,3
investigate,3
knead,3
moan,3
nod,3
nostalgic,3
observe,3
oink,3
optimistic,3
picky,3
punch,3
raise,3
reckless,3
relax,3
respectful,3
snap,3
spread,3
stare,3
stubborn,3
tromp,3
unique,3
weird,3
wishful,3
worrisome,3
yawn,3
accelerate,2
affectionate,2
amiable,2
amuse,2
apologize,2
argue,2
artistic,2
bathe,2
calm,2
carefree,2
celebrate,2
chant,2
chilly,2
collect,2
concern,2
confident,2
decisive,2
desperate,2
disobedient,2
emotional,2
empathetic,2
enter,2
envious,2
flexible,2
fold,2
fret,2
fussy,2
generous,2
graceful,2
grateful,2
homesick,2
honest,2
hyper,2
immature,2
inclusive,2
industry,2
inpatient,2
instruct,2
jovial,2
lighthearted,2
lively,2
manly,2
meows,2
misbehave,2
mix,2
neat,2
nurture,2
oblivious,2
offer,2
oinks,2
parental,2
paw,2
pay,2
perseverance,2
pilot,2
poke,2
pooped,2
productive,2
provide,2
race,2
reserve,2
secretive,2
self,2
selfless,2
serious,2
setup,2
shine,2
shove,2
singer,2
smelly,2
socialize,2
squirt,2
stair,2
stamp,2
steer,2
strut,2
supportive,2
talkative,2
thankful,2
thrill,2
timid,2
trim,2
unassuming,2
unaware,2
unbelievable,2
uncombed,2
visit,2
warn,2
whiny,2
whisper,2
wholesome,2
wierd,2
wrap,2
