book_id,our_title,ibdb_title,ibdb_title_alt,author
M30,A BAD CASE OF STRIPES,NA,NA,DAVID SHANNON
M65,A SICK DAY FOR AMOS MCGEE,NA,NA,PHILIP C. STEAD
M29,"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",NA,NA,JUDITH VIORST
L182,ALLIGATOR PIE,alligator pie,NA,DENNIS LEE
L201,AMELIA BEDELIA,amelia bedelia,NA,PEGGY PARISH
M90,ANGELINA ICE SKATES,NA,NA,KATHARINE HOLABIRD
L258,ANIMALIA,NA,NA,GRAEME BASE
L114,ARE YOU A COW?,are you a cow?,NA,SANDRA BOYNTON
M38,ARE YOU MY MOTHER?,are you my mother?,NA,P.D. EASTMAN
M98,ARNIE THE DOUGHNUT,NA,NA,LAURIE KELLER
M83,ARTHUR WRITES A STORY,NA,NA,MARC BROWN
L131,ARTHUR'S NOSE,NA,NA,MARC BROWN
L207,B IS FOR BEAR,b is for bear,NA,ROGER PRIDDY
L189,"BABY BEAR, BABY BEAR, WHAT DO YOU SEE?","baby bear, baby bear, what do you see?",NA,BILL MARTIN JR AND ERIC CARLE
L210,BABY BELUGA,baby beluga,NA,RAFFI
L176,BABY TOUCH AND FEEL: ANIMALS,touch and feel animals,NA,DORLING KINDERSLEY (PUBLISHER)
M1,"BARK, GEORGE",NA,NA,JULES FEIFFER
L115,BARNYARD DANCE,barnyard dance!,NA,SANDRA BOYNTON
L252,BEAR SNORES ON,bear snores on,NA,KARMA WILSON
M74,BEAR WANTS MORE,NA,NA,KARMA WILSON
L116,BELLY BUTTON BOOK,belly button book!,NA,SANDRA BOYNTON
L132,BIG RED BARN,big red barn,NA,MARGARET WISE BROWN
L194,"BIG SHARK, LITTLE SHARK",NA,NA,ANNA MEMBRINO
L117,"BLUE HAT, GREEN HAT","blue hat, green hat",NA,SANDRA BOYNTON
M2,BLUEBERRIES FOR SAL,blueberries for sal,NA,ROBERT MCCLOSKEY
L191,"BOB BOOKS, SET 1: BEGINNING READERS",NA,NA,BOBBY LYNN MASLEN
L239,BRAVE IRENE,NA,NA,WILLIAM STEIG
M92,BREAD AND JAM FOR FRANCES,bread and jam for frances,NA,RUSSELL HOBAN
M3,"BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE?","brown bear, brown bear, what do you see?",NA,BILL MARTIN JR
M84,BUNNY PARTY,NA,NA,ROSEMARY WELLS
L118,BUT NOT THE HIPPOPOTAMUS,but not the hippopotamus,NA,SANDRA BOYNTON
M11,CAPS FOR SALE,caps for sale,NA,ESPHYR SLOBODKINA
L219,CARS AND TRUCKS AND THINGS THAT GO,busytown: cars and trucks and things that go,NA,RICHARD SCARRY
M73,CHARLIE AND THE NEW BABY,NA,NA,REE DRUMMOND
M75,CHICKA CHICKA 1-2-3,chicka chicka 123,NA,BILL MARTIN JR
M46,CHICKA CHICKA BOOM BOOM,chicka chicka boom boom,NA,BILL MARTIN
M39,CHRYSANTHEMUM,chrysanthemum,NA,KEVIN HENKES
L183,CHUGGA-CHUGGA CHOO-CHOO,chugga-chugga choo-choo,NA,KEVIN LEWIS
M4,"CLICK, CLACK, MOO COWS THAT TYPE","click, clack, moo: cows that type",NA,DOREEN CRONIN
M76,CLIFFORD AT THE CIRCUS,NA,NA,NORMAN BRIDWELL
L130,CLIFFORD THE BIG RED DOG,clifford the big red dog,NA,NORMAN BRIDWELL
M5,CLOUDY WITH A CHANCE OF MEATBALLS,cloudy with a chance of meatballs,NA,JUDI BARRETT
M6,CORDUROY,corduroy,NA,DON FREEMAN
M7,CURIOUS GEORGE,curious george,NA,H.A. REY
M49,CURIOUS GEORGE TAKES A JOB,NA,NA,H.A. RAY
M25,DEAR ZOO,dear zoo,NA,ROD CAMPBELL
L156,DIARY OF A WOMBAT,diary of a wombat,NA,JACKIE FRENCH
M51,DINOSAUR RESCUE,NA,NA,PENNY DALE
L119,DOGGIES,doggies,NA,SANDRA BOYNTON
L163,DOGS,dogs,NA,EMILY GRAVETT
M31,DON'T LET THE PIGEON DRIVE THE BUS,don't let the pigeon drive the bus!,NA,MO WILLEMS
L224,DR. SEUSS'S ABC,dr. seuss's abc,NA,DR. SEUSS
M40,DRAGONS LOVE TACOS,dragons love tacos,NA,ADAM RUBIN
M52,DUCK ON A BIKE,NA,NA,DAVID SHANNON
L101,EACH PEACH PEAR PLUM,each peach pear plum,NA,JANET AND ALLAN AHLBERG
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,NA,NA,MO WILLIEMS
L243,ELOISE,eloise,NA,KAY THOMPSON
L162,EVERYONE POOPS,everyone poops,NA,TARO GOMI
L109,EXTRA YARN,extra yarn,NA,MAC BARNETT
L208,FIRST 100 WORDS,NA,NA,ROGER PRIDDY
L225,FOX IN SOCKS,fox in socks,NA,DR. SEUSS
L184,FROG AND TOAD,frog and toad,NA,ARNOLD LOBEL
M66,FROGGY GOES TO BED,froggy goes to bed,NA,JONATHAN LONDON
L138,FROM HEAD TO TOE,from head to toe,NA,ERIC CARLE
M94,GEORGE AND MARTHA,george and martha,NA,JAMES MARSHALL
L104,GIRAFFES CAN'T DANCE,giraffes can't dance,NA,GILES ANDREAE
L153,"GO, DOG. GO!",go dog. go!,"go, dog. go!",P.D. EASTMAN
L165,GOD BLESS YOU AND GOOD NIGHT,NA,NA,HANNAH HALL
M67,GOLDILICIOUS,NA,NA,VICTORIA KANN
L143,"GOOD DOG, CARL","good dog, carl",NA,ALEXANDRA DAY
M16,GOOD NIGHT GORILLA,"good night, gorilla",NA,PEGGY RATHMAN
M45,GOODNIGHT MOON,goodnight moon,NA,MARGARET WISE BROWN
