book_id,title,review_url
L219,CARS AND TRUCKS AND THINGS THAT GO,https://www.amazon.com/Richard-Scarrys-Cars-Trucks-Things/product-reviews/0307157857/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M73,CHARLIE AND THE NEW BABY,https://www.amazon.com/Charlie-New-Baby-Ranch-Dog/product-reviews/0062297503/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M75,CHICKA CHICKA 1-2-3,https://www.amazon.com/Chicka-Book/product-reviews/1481400568/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M46,CHICKA CHICKA BOOM BOOM,https://www.amazon.com/Chicka-Boom-Board-Book/product-reviews/1442450703/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M39,CHRYSANTHEMUM,https://www.amazon.com/Chrysanthemum-Kevin-Henkes-ebook/product-reviews/B0078XFWIM/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L183,CHUGGA-CHUGGA CHOO-CHOO,https://www.amazon.com/Chugga-Chugga-Choo-Choo-Kevin-Lewis/product-reviews/0786807601/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M4,"CLICK, CLACK, MOO COWS THAT TYPE",https://www.amazon.com/Click-Clack-Moo-Ready-Read/product-reviews/1481465406/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M76,CLIFFORD AT THE CIRCUS,https://www.amazon.com/Clifford-At-Circus-8x8/product-reviews/0545215846/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L130,CLIFFORD THE BIG RED DOG,https://www.amazon.com/Clifford-Big-Red-Dog-8x8/product-reviews/0545215781/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M5,CLOUDY WITH A CHANCE OF MEATBALLS,https://www.amazon.com/Cloudy-Chance-Meatballs-Judi-Barrett/product-reviews/0689707495/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M6,CORDUROY,https://www.amazon.com/Corduroy-Don-Freeman/product-reviews/0140501738/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M7,CURIOUS GEORGE,https://www.amazon.com/Curious-George-H-Rey/product-reviews/039515023X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M49,CURIOUS GEORGE TAKES A JOB,https://www.amazon.com/Curious-George-Takes-Job-Rey/product-reviews/0395186498/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M25,DEAR ZOO,https://www.amazon.com/Dear-Zoo-Lift-Flap-Book/product-reviews/141694737X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L156,DIARY OF A WOMBAT,https://www.amazon.com/Diary-Wombat-Jackie-French/product-reviews/054707669X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M51,DINOSAUR RESCUE,https://www.amazon.com/Dinosaur-Rescue-Penny-Dale/product-reviews/0763680001/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L119,DOGGIES,https://www.amazon.com/Doggies-Boynton-Board-Sandra/product-reviews/0671493183/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L163,DOGS,https://www.amazon.com/Dogs-Emily-Gravett/product-reviews/1416987037/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M31,DON'T LET THE PIGEON DRIVE THE BUS,https://www.amazon.com/Dont-Let-Pigeon-Drive-Bus/product-reviews/078681988X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
