book_id,title,author,character_name,character_type,character_gender,notes,exclude,token_gender_mean,gender_group,char_main_singular,char_main_gender,char_name,n
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,Peter,m,m,,,2.594931325,male-biased,YES,M,PETER,379
L198,MORTIMER,ROBERT MUNSCH,Mortimer,m,m,,,2.597537927,male-biased,YES,M,MORTIMER,399
L198,MORTIMER,ROBERT MUNSCH,Mortimer's mother,s,f,,,2.597537927,male-biased,YES,M,MORTIMER,399
L198,MORTIMER,ROBERT MUNSCH,Mortimer's father,s,m,,,2.597537927,male-biased,YES,M,MORTIMER,399
M13,HAROLD AND THE PURPLE CRAYON,CROCKETT JOHNSON,Harold,m,m,,,2.604137207,male-biased,YES,M,HAROLD,662
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Crane Truck,s,m,,,2.611152761,male-biased,NO,M,NA,514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Cement Mixer,s,m,,,2.611152761,male-biased,NO,M,NA,514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Dump Truck,s,m,,,2.611152761,male-biased,NO,M,NA,514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Bulldozer,s,m,,,2.611152761,male-biased,NO,M,NA,514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Excavator,s,m,,,2.611152761,male-biased,NO,M,NA,514
M42,IF YOU GIVE A MOUSE A COOKIE,LAURA JOFFE NUMEROFF,mouse,m,m,,,2.632385201,male-biased,YES,M,MOUSE,291
M11,CAPS FOR SALE,ESPHYR SLOBODKINA,Peddler,m,m,,,2.639350812,male-biased,YES,M,PEDDLER,674
L131,ARTHUR'S NOSE,MARC BROWN,Arthur,m,m,,,2.643332608,male-biased,YES,M,ARTHUR,314
M10,THE SNOWY DAY,EZRA JACK KEATS,Peter,m,m,,,2.64387239,male-biased,YES,M,PETER,324
M85,IF YOU GIVE A MOOSE A MUFFIN,LAURA JOFFE NUMEROFF,moose,m,m,,,2.651155852,male-biased,YES,M,MOOSE,306
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,Thomas,m,m,,,2.651189801,male-biased,YES,M,THOMAS,513
M1,"BARK, GEORGE",JULES FEIFFER,George,m,m,,,2.65227793,male-biased,YES,M,GEORGE,226
M1,"BARK, GEORGE",JULES FEIFFER,George's mother,s,f,,,2.65227793,male-biased,YES,M,GEORGE,226
M53,HARRY THE DIRTY DOG,GENE ZION,Harry,m,m,,,2.673250092,male-biased,YES,M,HARRY,452
M74,BEAR WANTS MORE,KARMA WILSON,bear,m,m,some secondary characters,,2.675681978,male-biased,YES,M,BEAR,365
