book_id,title,author,character_name,character_type,character_gender,notes,exclude,type_gender_mean,gender_group,char_main_singular,char_main_gender,char_name,n
L198,MORTIMER,ROBERT MUNSCH,MORTIMER,m,m,NA,NA,2.75808996,male-biased,YES,M,MORTIMER,399
L198,MORTIMER,ROBERT MUNSCH,MORTIMER'S MOTHER,s,f,NA,NA,2.75808996,male-biased,YES,M,MORTIMER,399
L198,MORTIMER,ROBERT MUNSCH,MORTIMER'S FATHER,s,m,NA,NA,2.75808996,male-biased,YES,M,MORTIMER,399
M81,TRASHY TOWN,ANDREA ZIMMERMAN AND DAVID CLEMESHA,MR. GILLY,m,m,NA,NA,2.79857901,male-biased,YES,M,MR. GILLY,341
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,THOMAS,m,m,NA,NA,2.80821912,male-biased,YES,M,THOMAS,513
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,CRANE TRUCK,s,m,NA,NA,2.83634234,male-biased,NO,M,"NA",514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,CEMENT MIXER,s,m,NA,NA,2.83634234,male-biased,NO,M,"NA",514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,DUMP TRUCK,s,m,NA,NA,2.83634234,male-biased,NO,M,"NA",514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,BULLDOZER,s,m,NA,NA,2.83634234,male-biased,NO,M,"NA",514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,EXCAVATOR,s,m,NA,NA,2.83634234,male-biased,NO,M,"NA",514
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,BLAZE,m,m,NA,NA,2.87431308,male-biased,YES,M,BLAZE,769
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,AJ,s,m,NA,NA,2.87431308,male-biased,YES,M,BLAZE,769
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,TRIANGLE,m,m,NA,NA,2.87673536,male-biased,YES,M,TRIANGLE,314
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,SQUARE,m,m,NA,NA,2.87673536,male-biased,YES,M,TRIANGLE,314
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,JANE YOLEN & MARK TEAGUE,DINOSAUR,m,m,NA,NA,2.87879259,male-biased,YES,M,DINOSAUR,151
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,PETER,m,m,NA,NA,2.88622203,male-biased,YES,M,PETER,379
M11,CAPS FOR SALE,ESPHYR SLOBODKINA,PEDDLER,m,m,NA,NA,2.89147109,male-biased,YES,M,PEDDLER,674
M10,THE SNOWY DAY,EZRA JACK KEATS,PETER,m,m,NA,NA,2.89904598,male-biased,YES,M,PETER,324
L144,SLOW LORIS,ALEXIS DEACON,LORIS,m,m,NA,NA,2.90361881,male-biased,YES,M,LORIS,233
L252,BEAR SNORES ON,KARMA WILSON,BEAR,m,m,NA,NA,2.91586386,male-biased,YES,M,BEAR,416
L217,GRANDFATHER'S JOURNEY,ALLEN SAY,GRANDFATHER,m,m,NA,NA,2.92695974,male-biased,YES,M,GRANDFATHER,568
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,JAMES DEAN AND ERIC LITWIN,PETE,m,m,NA,NA,2.92967087,male-biased,YES,M,PETE,323
