book_id,title,author,earliest_advert_level_months,ISBN
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,48,978-0670882786
L102,HUG,JEZ ALBOROUGH,24,978-0763645106
L103,MISS NELSON IS MISSING,HARRY ALLARD,48,978-0395401460
L104,GIRAFFES CAN'T DANCE,GILES ANDREAE,48,978-0545392551
L105,ANNO'S JOURNEY,NA,NA,NA
L106,JENNY AND THE CAT CLUB,ESTHER AVERILL,60,978-1590170472
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,24,978-0375834615
L108,THOMAS THE TANK ENGINE: THE VERY FIRST STORIES,THE REVEREND W AWDRY,48,978-0553523355
L109,EXTRA YARN,MAC BARNETT,48,978-0061953385
L110,SQUARE,MAC BARNETT AND JON KLASSEN,60,978-0763696078
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,60,978-0763696030
L112,JOURNEY,NA,NA,NA
L113,THE BIG HONEY HUNT,STANLEY AND JANICE BERENSTAIN,36,978-0394800288
L114,ARE YOU A COW?,SANDRA BOYNTON,12,978-1442417335
L116,BELLY BUTTON BOOK,SANDRA BOYNTON,12,978-0761166184
L117,"BLUE HAT, GREEN HAT",SANDRA BOYNTON,12,978-0671493202
L118,BUT NOT THE HIPPOPOTAMUS,SANDRA BOYNTON,24,978-0671449049
L119,DOGGIES,SANDRA BOYNTON,12,978-0671493189
L120,HIPPOS GO BERSERK,SANDRA BOYNTON,24,978-0689834349
L121,HORNS TO TOES AND IN BETWEEN,SANDRA BOYNTON,12,978-0671493196
L122,"MOO, BAA, LA LA LA!",SANDRA BOYNTON,3,978-0671449018
L123,"NIGHT-NIGHT, LITTLE POOKIE",SANDRA BOYNTON,12,978-1481497718
L124,OH MY OH MY OH MY DINOSAURS!,SANDRA BOYNTON,48,978-1563054419
L125,PAJAMA TIME!,SANDRA BOYNTON,24,978-0761119753
L126,SNUGGLE PUPPY,SANDRA BOYNTON,24,978-1523504008
L127,THE GOING TO BED BOOK,SANDRA BOYNTON,24,978-0671449025
L128,TICKLE TIME,SANDRA BOYNTON,24,ξ978-0761168836
L129,"HELLO, ROCK",ROGER BRADFIELD,60,978-1930900646
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,36,978-0545215787
L131,ARTHUR'S NOSE,MARC BROWN,36,978-0316110709
L132,BIG RED BARN,MARGARET WISE BROWN,24,978-0694006243
L133,THE COLOR KITTENS,MARGARET WISE BROWN,36,978-0307021416
L134,THE IMPORTANT BOOK,MARGARET WISE BROWN,48,978-0064432276
L136,KATY AND THE BIG SNOW,VIRGINIA LEE BURTON,48,978-0395185629
L138,FROM HEAD TO TOE,ERIC CARLE,12,978-0694013012
L139,I AM A BIG SISTER!,CAROLINE JAYNE CHURCH,24,978-0545688987
L140,SOMETIMES I LIKE TO CURL UP IN A BALL,VICKI CHURCHILL,24,978-1862332539
L141,SHE PERSISTED: 13 AMERICAN WOMEN WHO CHANGED THE WORLD,CHELSEA CLINTON,48,978-1524741723
L142,TODAY I'LL BE A PRINCESS,PAULA CROYLE,36,978-1449428655
L143,"GOOD DOG, CARL",ALEXANDRA DAY,12,978-0689807480
L144,SLOW LORIS,ALEXIS DEACON,48,978-0099414261
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,JAMES DEAN AND ERIC LITWIN,48,978-0061910241
L146,JAMBERRY,BRUCE DEGEN,24,978-0694006519
L147,LLAMA LLAMA NIGHTY-NIGHT,ANNA DEWDNEY,24,978-0670013272
L148,THE POUT-POUT FISH,DEBORAH DIESEN,48,978-0374360979
L149,SPAGHETTI IN A HOT DOG BUN: HAVING THE COURAGE TO BE WHO YOU ARE,MARIA DISMONDY,48,978-0615473932
L150,THE GRUFFALO,JULIA DONALDSON,36,978-0142403877
L151,THE GRUFFALO'S CHILD,JULIA DONALDSON,36,978-0142407547
L153,"GO, DOG. GO!",P.D. EASTMAN,36,978-0394800202
L154,TIME FOR BED,MEM FOX,12,978-0152010669
L155,TEN LITTLE FINGERS AND TEN LITTLE TOES,MEM FOX AND HELEN OXENBURY,60,978-0547366203
L156,DIARY OF A WOMBAT,JACKIE FRENCH,48,978-0547076690
L157,MILLIONS OF CATS,WANDA GAG,24,978-0142407080
L158,YOU GET WHAT YOU GET,JULIE GASSMAN,48,978-1479521579
L159,I LOVE MY MOMMY BECAUSE...,LAUREL PORTER-GAYLORD,12,978-0525472476
L160,TEN LITTLE LADYBUGS,MELANIE GERTH,60,978-1581170917
L161,PUPPY BIRTHDAY TO YOU! (PAW PATROL),GOLDEN BOOKS (PUBLISHER),24,978-0553522778
L162,EVERYONE POOPS,TARO GOMI,60,978-1929132140
L163,DOGS,EMILY GRAVETT,24,978-1416987031
L164,MVP: MOST VALUABLE PUPPY,MIKE GREENBERG & STACY STEPONATE GREENBERG,48,978-1481489317
L165,GOD BLESS YOU AND GOOD NIGHT,HANNAH HALL,24,978-1400322944
L166,WHERE'S SPOT?,ERIC HILL,12,978-0723249672
L167,HOW ROCKET LEARNED TO READ,TAD HILLS,36,978-0375858994
L168,WHERE IS THE GREEN SHEEP?,MEM FOX AND JUDY HORACEK,48,978-0152067045
L169,MAMA DON'T ALLOW,THACHER HURD,48,978-0064430784
L170,HOW TO CATCH A STAR,OLIVER JEFFERS,36,978-0399242861
L171,LOST AND FOUND,OLIVER JEFFERS,36,978-0399245039
L172,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE,WILLIAM JOYCE,48,978-1442457027
L173,"SAYONARA, MRS. KACKLEMAN",MAIRA KALMAN,48,978-0670829453
L174,WHERE IS BABY'S BELLY BUTTON,KAREN KATZ,12,978-0689835605
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,24,978-0670880461
L176,BABY TOUCH AND FEEL: ANIMALS,DORLING KINDERSLEY (PUBLISHER),24,978-0756634681
L177,I WANT MY HAT BACK,JON KLASSEN,48,978-0763655983
L178,P IS FOR POTTY!,NAOMI KLEINBERG,48,978-0385383691
L179,LIBRARY LION,MICHELLE KNUDSEN,48,978-0545202824
L180,PAT THE BUNNY,DOROTHY KUNHARDT,3,978-0307120007
L181,THE RED BALLOON,ALBERT LAMORISSE,36,978-0385003438
L182,ALLIGATOR PIE,DENNIS LEE,NA,978-1443411516
L183,CHUGGA-CHUGGA CHOO-CHOO,KEVIN LEWIS,36,978-0786807604
L184,FROG AND TOAD,ARNOLD LOBEL,48,978-0064440202
L185,GRANDMA WISHES,JULIA LOBO,3,978-1680520088
L186,THE POKY LITTLE PUPPY,JANETTE SEBRING LOWRY,24,978-0307021342
L187,WELCOME LITTLE ONE,SANDRA MAGSAMEN,24,978-1406352962
L188,THE WONDERFUL THINGS YOU WILL BE,EMILY WINFIELD MARTIN,36,978-0385376716
L189,"BABY BEAR, BABY BEAR, WHAT DO YOU SEE?",BILL MARTIN JR AND ERIC CARLE,24,978-0805089905
L190,"POLAR BEAR, POLAR BEAR, WHAT DO YOU HEAR?",BILL MARTIN JR. AND ERIC CARLE,24,978-0805053883
L191,"BOB BOOKS, SET 1: BEGINNING READERS",BOBBY LYNN MASLEN,48,978-0439845007
L192,JUST ME AND MY DAD,MERCER MAYER,36,978-0307118394
L193,"I LOVE YOU, STINKY FACE",LISA MCCOURT,24,978-0439635721
L194,"BIG SHARK, LITTLE SHARK",ANNA MEMBRINO,48,978-0399557286
L195,WINNIE THE POOH,A.A. MILNE,48,978-0525477686
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,ELSE HOLMELUND MINARIK,48,978-0064440042
