book_id,title,author,earliest_publication,isbn_updated,notes_isbn
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,1978,067088278X 9780670882786,NA
L102,HUG,JEZ ALBOROUGH,2000,"9780763615765 0763615765 9780763612870 0763612871",NA
L103,MISS NELSON IS MISSING,HARRY ALLARD,1977,0395252962 9780395252963,NA
L104,GIRAFFES CAN'T DANCE,GILES ANDREAE,1999,"1860399185 9781860399183 1841215651 9781841215655 1841214647 9781841214641 184121681X 9781841216812",NA
L106,JENNY AND THE CAT CLUB,ESTHER AVERILL,1973,006020222X 9780060202224,NA
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,2005,0375931775 9780375931772,"There is a ""Î©2001"" on one of the 2005 edition"
L108,THOMAS THE TANK ENGINE: THE VERY FIRST STORIES,REVEREND W AWDRY,2015,9780553523355 055352335X,"2015 seems to be the year of publication of the ""Very First Stories"""
L109,EXTRA YARN,MAC BARNETT,2011,9780061953385 0061953385,NA
L110,SQUARE,MAC BARNETT AND JON KLASSEN,2018,9780763696078 0763696072,NA
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,2017,9780763696030 076369603X,NA
L112,JOURNEY,AARON BECKER,2014,9781406355345 1406355348,NA
L113,THE BIG HONEY HUNT,STANLEY AND JANICE BERENSTAIN,1960,"0394800281 9780394800288 0394900286 9780394900285",NA
L114,ARE YOU A COW?,SANDRA BOYNTON,2012,9780857079053 0857079050,NA
L116,BELLY BUTTON BOOK,SANDRA BOYNTON,2005,0761137998 9780761137993,NA
L117,"BLUE HAT, GREEN HAT",SANDRA BOYNTON,1982,0671493205 9780671493202,"Although the oldest year listed is 1982, it will redirect to a page that says it was published in 1984 which has no ISBN number. The earliest editions with ISBN numbers are in 1984"
L118,BUT NOT THE HIPPOPOTAMUS,SANDRA BOYNTON,1982,0671449044 9780671449049,NA
L119,DOGGIES,SANDRA BOYNTON,1984,9780671493189 0671493183,NA
L120,HIPPOS GO BERSERK,SANDRA BOYNTON,1977,0689834349 9780689834349,NA
L121,HORNS TO TOES AND IN BETWEEN,SANDRA BOYNTON,1984,0671493191 9780671493196,NA
L122,"MOO, BAA, LA LA LA!",SANDRA BOYNTON,1982,"067144901X 9780671449018 0689870272 9780689870279",NA
L123,"NIGHT-NIGHT, LITTLE POOKIE",SANDRA BOYNTON,2009,"9780375854095 0375854096 9781481497718 1481497715",NA
L124,OH MY OH MY OH MY DINOSAURS!,SANDRA BOYNTON,1993,9781563054419 1563054418,NA
L125,PAJAMA TIME!,SANDRA BOYNTON,2000,9780761119753 0761119752,NA
L126,SNUGGLE PUPPY,SANDRA BOYNTON,1998,9780761130673 0761130675,NA
L127,THE GOING TO BED BOOK,SANDRA BOYNTON,1982,0671449028 9780671449025,NA
L128,TICKLE TIME,SANDRA BOYNTON,2012,9780761168836 0761168834,NA
L129,"HELLO, ROCK",ROGER BRADFIELD,1965,9781930900646 1930900643,The 1965 edition has no ISBN number and here is its number for its 1993 edition
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,1963,"0590080288 9780590080286 059044297X 9780590442978",NA
L131,ARTHUR'S NOSE,MARC BROWN,1976,"0881032239 9780881032239 0316110701 9780316110709",NA
L132,BIG RED BARN,MARGARET WISE BROWN,1954,0201091151 9780201091151,NA
L133,THE COLOR KITTENS,MARGARET WISE BROWN,1949,0307102343 9780307102348,NA
L134,THE IMPORTANT BOOK,MARGARET WISE BROWN,1949,9780060207205 0060207205,NA
L136,KATY AND THE BIG SNOW,VIRGINIA LEE BURTON,1943,0395511690 9780395511695,NA
L138,FROM HEAD TO TOE,ERIC CARLE,1997,"0060235152 9780060235154 0060235160 9780060235161 0064435962 9780064435963",NA
L139,I AM A BIG SISTER!,CAROLINE JAYNE CHURCH,2015,0545688981 9780545688987,NA
L140,SOMETIMES I LIKE TO CURL UP IN A BALL,VICKI CHURCHILL,2001,"1862332533 9781862332539 1862333963 9781862333963",NA
L141,SHE PERSISTED: 13 AMERICAN WOMEN WHO CHANGED THE WORLD,CHELSEA CLINTON,2017,9781524741723 1524741728,NA
L142,TODAY I'LL BE A PRINCESS,PAULA CROYLE,2012,9781449428655 1449428657,NA
L143,"GOOD DOG, CARL",ALEXANDRA DAY,1985,0689817711 9780689817717,NA
L144,SLOW LORIS,ALEXIS DEACON,2002,192913228X 9781929132287,NA
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,JAMES DEAN AND ERIC LITWIN,2011,"9780061910241 0061910244 9780061910258 0061910252 9780605530959 0605530955 9780062434104 0062434101",NA
L146,JAMBERRY,BRUCE DEGEN,1983,"0060214163 9780060214166 0060214171 9780060214173",NA
L147,LLAMA LLAMA NIGHTY-NIGHT,ANNA DEWDNEY,2012,9780670013272 0670013277,NA
L148,THE POUT-POUT FISH,DEBORAH DIESEN,2008,"9780374360962 0374360960 9781579823412 1579823416 9781427231765 1427231761",NA
L149,SPAGHETTI IN A HOT DOG BUN: HAVING THE COURAGE TO BE WHO YOU ARE,MARIA DISMONDY,2008,9780615473932 0615473938,NA
L150,THE GRUFFALO,JULIA DONALDSON,1999,"0333710932 9780333710937 0333710924 9780333710920",NA
L151,THE GRUFFALO'S CHILD,JULIA DONALDSON,1999,1405020458 9781405020459,"The 1999 page will redirect to a 2004 page and 2004 is also the result shown on Google. However, this is the ISBN from the page that says it was published in 2003"
