Term,Beta,SE,Z,p
(Intercept),0,0.03,0,>.99
Arousal,-0.06,0.03,-2.28,0.022
Valence,0.35,0.03,12.55,<.001
Concreteness,-0.16,0.03,-5.33,<.001
AoA,-0.07,0.03,-2.1,0.036
Log Frequency,-0.03,0.03,-1.01,0.314
