cluster_id,cluster_label,examples,descriptor
1,numbers/time,"first, second, year, next",NA
2,clothing,"coat, shoe, gloves",NA
3,feelings,NA,NA
4,**,NA,NA
5,instrument sounds,"horn, bells, rattle, brass, drum",NA
6,children's book character names,"robin, chase, bush, fox",NA
7,*****,NA,NA
8,******,"and, only, which",misc high frequency
9,*******,NA,homework verbs
10,sounds,"bang, boom, smash",NA
11,greetings/closings/exclamations,"hello, thanks, sincerely, wow, congratulations",NA
12,search verbs,"find, searched, watched, looked",NA
13,affection,"love, kiss, tears, goodbye, lonely",NA
14,juvenile actions and attributions,"grumpy, crazy, shy, cute",NA
15,religion,"heaven, bless, prayers",NA
16,royal female names,"duchess, princess, queen",NA
17,tools,"bow, stick, knife",NA
18,ToM verbs,"think, truth, secret, believe",NA
19,rare names,NA,NA
20,evaluative adj.,"better, terribly, nicely, fair",NA
21,locomotion/state change verbs,"walk, stand, sat, cut, break",NA
22,light verbs,"able,did,makes",NA
23,modifiers,"completely, yet, no, perhaps",NA
24,school,"school, teach, books",NA
25,conversational fillers,"oh, ah, uh",NA
26,mind,"mind, idea, look, thinking",NA
27,time verbs/adv.,NA,NA
28,smell/taste,"smell, taste",NA
29,postive adj.,"marvelous, wonderful, fantastic",NA
30,royal male names,"king, prince, duke",NA
31,truck verbs,"dig, dumped, plowed, ditch",NA
32,sports verbs,"pass, pushed, sack, wiped",NA
33,family relationships,"brother, husband, sister, woman",NA
34,desire verbs,"ask, remind, want, wish",NA
35,female names1,NA,NA
36,body parts,NA,NA
37,fruit adj.,"fruit, delicious, sweet, tasty, seeds",NA
38,biography verbs,"lived, worked, moved, raised",NA
39,eating,"breakfast, feast food",NA
40,toys/onomatopoeia,"toy, snuggle, dolls, thud, thump",NA
41,male names,NA,NA
42,backyard objects,"fence, ladder, pole, wall, rope",NA
43,house parts,"kitchen, closet, toilet, window",NA
44,conversational terms,"anyway, anything",NA
45,insects,"flea, ladybug, bee",NA
46,tv/movies,"tv, movie, live, stars, shows",NA
47,food instruments,"jar, tray, basket, pot",NA
48,places,NA,NA
49,creatures,"beetle, slug, spider, creature",NA
50,transportation (ground),"bike, cars, tire, trains",NA
51,sports,"team, derby, cup, cricket",NA
52,rare male names,NA,NA
53,raw materials,"cement, oil, mud, salt",NA
54,child relationships,"baby, mama, kid, grandma",NA
55,ambulation,"leap, rolled, creep, slow, faster",NA
56,weather,"clouds, summer, wind, ice",NA
57,****,NA,NA
58,colors,NA,NA
59,negative adj.,"awful, bad, ugly",NA
60,farm animals,"sheep, pig, horse, cow",NA
61,time,NA,NA
62,adventure verbs,"go, escape, steal, rescue",NA
63,magic,"spell, trick",NA
64,nature places,"cave, desert, forest, park, woods",NA
65,derogatory adj.,"lazy, rude, sneaky, dumb",NA
66,fairytale,NA,NA
67,non-mammal animals,NA,NA
68,spatial terms,"direction, small, size",NA
69,articulatory verbs,"cheered, screamed, whistled, murmured",NA
70,*,"invisible, tight, loose, touch, sight",misc perceptual*
71,quantifiers,"some, few, almost, whole",NA
72,sleep,"asleep, clock, sleep, snoring",NA
73,speech,"words, voices, sounds",NA
74,transportation (air/water),NA,NA
75,professions,"captain, policemen, pirate, mayor",NA
76,fruit,NA,NA
77,money,"dollar, million, dozen",NA
78,music,"band, music, pop, tune",NA
79,neighborhood adj.,"church, corner, street",NA
80,moving goods,"haul, load, pack, fill",NA
81,commerce verbs,"sell, buy, paid, ordered, money",NA
82,stop words,"any, not, so",NA
83,***,NA,NA
84,domestic animals,"kitten, rabbit, puppies",NA
85,drinks/vegetables,"drink, tea, wine, peas, carrots",NA
86,zoo animals,"panda, zoo, lion",NA
87,vitality adj.,"dead, alive, sick",NA
88,celebration,"parade, cheer, wedding, sing",NA
89,food,"bread, eggs, milk",NA
90,sports spatial terms,"space, center, close, enormous, bigger",NA
91,domestic vegetation,"grass, tree, weeds",NA
92,business/furniture,"company, shop, furiniture, chair",NA
93,negative emotions,"pity, bored, shame",NA
94,birds,NA,NA
95,freq. transitive verbs,"build, take, watch, send, enjoy",NA
96,communication verbs,"listened, speak, call, asked",NA
97,airborne actions,"jumping, fell, climb, tossed",NA
98,texture/size adj.,"bumpy, curly, fat, soft",NA
99,flowers,NA,NA
100,female names2,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
