book_id,title,author,char_main_singular,char_main_gender,char_second_singular,char_second_gender,char_name,notes
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,NO,MIXED,NO,NA,NA,NA
L102,HUG,JEZ ALBOROUGH,NO,NA,NO,NA,NA,NA
L103,MISS NELSON IS MISSING,HARRY ALLARD,YES,F,YES,F,MISS NELSON,NA
L104,GIRAFFES CAN'T DANCE,GILES ANDREAE,YES,M,NO,AND,GERALD,NA
L105,ANNO'S JOURNEY,MISTSUMASA ANNO,NA,NA,NA,NA,NA,NA
L106,JENNY AND THE CAT CLUB,ESTHER AVERILL,YES,F,YES,M,JENNY,gendered non-human main character; female; male secondary character
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,YES,M,YES,F,THOMAS,gendered_nonhuman_char
L109,EXTRA YARN,MAC BARNETT,YES,F,NO,MIXED,ANNABELLE,NA
L110,SQUARE,MAC BARNETT AND JON KLASSEN,YES,M,YES,F,SQUARE,NA
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,YES,M,YES,AND,TRIANGLE,gendered_nonhuman_char
L112,JOURNEY,AARON BECKER,NA,NA,NA,NA,NA,NA
L113,THE BIG HONEY HUNT,STANLEY AND JANICE BERENSTAIN,YES,M,YES,M,SMALL BEAR,NA
L114,ARE YOU A COW?,SANDRA BOYNTON,YES,AND,NO,NA,NA,NA
L115,BARNYARD DANCE,SANDRA BOYNTON,NO,AND,NO,NA,NA,NA
L116,BELLY BUTTON BOOK,SANDRA BOYNTON,YES,F,NO,NA,NA,NA
L117,"BLUE HAT, GREEN HAT",SANDRA BOYNTON,NO,NA,NO,NA,NA,NA
L118,BUT NOT THE HIPPOPOTAMUS,SANDRA BOYNTON,YES,F,NO,AND,HIPPOPOTOMUS,gendered non-human main character; female
L119,DOGGIES,SANDRA BOYNTON,NO,AND,YES,AND,NA,NA
L120,HIPPOS GO BERSERK,SANDRA BOYNTON,NO,NA,YES,AND,NA,NA
L121,HORNS TO TOES AND IN BETWEEN,SANDRA BOYNTON,NO,NA,YES,AND,NA,NA
L122,"MOO, BAA, LA LA LA!",SANDRA BOYNTON,NO,NA,NO,NA,NA,NA
L123,"NIGHT-NIGHT, LITTLE POOKIE",SANDRA BOYNTON,YES,AND,YES,F,POOKIE,NA
L124,OH MY OH MY OH MY DINOSAURS!,SANDRA BOYNTON,NO,NA,NO,NA,NA,NA
L125,PAJAMA TIME!,SANDRA BOYNTON,NO,NA,NO,NA,NA,NA
L126,SNUGGLE PUPPY,SANDRA BOYNTON,YES,AND,YES,AND,NA,NA
L127,THE GOING TO BED BOOK,SANDRA BOYNTON,NO,AND,NO,NA,NA,NA
L128,TICKLE TIME,SANDRA BOYNTON,NO,NA,NO,NA,NA,NA
L129,"HELLO, ROCK",ROGER BRADFIELD,YES,AND,YES,F,NA,NA
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,YES,M,YES,F,CLIFFORD,NA
L131,ARTHUR'S NOSE,MARC BROWN,YES,M,NO,MIXED,ARTHUR,NA
L132,BIG RED BARN,MARGARET WISE BROWN,NO,AND,NO,NA,NA,NA
L133,THE COLOR KITTENS,MARGARET WISE BROWN,NO,AND,NO,NA,NA,NA
L134,THE IMPORTANT BOOK,MARGARET WISE BROWN,YES,AND,NO,NA,NA,NA
L136,KATY AND THE BIG SNOW,VIRGINIA LEE BURTON,YES,F,NO,AND,KATY,NA
L138,FROM HEAD TO TOE,ERIC CARLE,NO,AND,NO,NA,NA,NA
L139,I AM A BIG SISTER!,CAROLINE JAYNE CHURCH,YES,F,YES,AND,NA,NA
L140,SOMETIMES I LIKE TO CURL UP IN A BALL,VICKI CHURCHILL,YES,AND,NO,NA,NA,NA
L141,SHE PERSISTED: 13 AMERICAN WOMEN WHO CHANGED THE WORLD,CHELSEA CLINTON,NO,F,NO,NA,"HARRIET TUBMAN, HELEN KELLER, CLARA LEMLICH, NELLIE BLY, VIRGINIA APGAR, MARIA TALLCHIEF, CLAUDETTE COLVIN, RUBY BRIDGES, MARGARET CHASE SMITH, SALLY RIDE, FLORENCE GRIFFITH JOYNER, OPRAH WINFREY, SONIA SOTOMAYOR",NA
L142,TODAY I'LL BE A PRINCESS,PAULA CROYLE,YES,F,YES,F,NA,"infer gender from context; princess, even though there's never a name. We disambiguated her gender based on morphological syntax"
L143,"GOOD DOG, CARL",ALEXANDRA DAY,YES,M,YES,AND,CARL,gendered non-human main character; male
L144,SLOW LORIS,ALEXIS DEACON,YES,M,NO,AND,LORIS,NA
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,JAMES DEAN AND ERIC LITWIN,YES,M,NO,MIXED,PETE,NA
L146,JAMBERRY,BRUCE DEGEN,NO,NA,NO,NA,NA,NA
L147,LLAMA LLAMA NIGHTY-NIGHT,ANNA DEWDNEY,YES,AND,NO,NA,LLAMA LLAMA,gendered non-human character
L148,THE POUT-POUT FISH,DEBORAH DIESEN,YES,M,NO,MIXED,MR. FISH,gendered_nonhuman_char
L149,SPAGHETTI IN A HOT DOG BUN: HAVING THE COURAGE TO BE WHO YOU ARE,MARIA DISMONDY,YES,F,YES,M,LUCY,NA
L150,THE GRUFFALO,JULIA DONALDSON,YES,AND,NO,M,THE GRUFFALO,NA
L151,THE GRUFFALO'S CHILD,JULIA DONALDSON,YES,M,YES,M,THE GRUFFALO'S CHILD,gendered non-human character; male
L153,"GO, DOG. GO!",P.D. EASTMAN,NO,AND,NO,NA,NA,NA
L154,TIME FOR BED,MEM FOX,NO,AND,NO,NA,NA,NA
L155,TEN LITTLE FINGERS AND TEN LITTLE TOES,MEM FOX AND HELEN OXENBURY,NO,AND,YES,AND,NA,NA
L156,DIARY OF A WOMBAT,JACKIE FRENCH,YES,AND,NO,AND,NA,NA
L157,MILLIONS OF CATS,WANDA GAG,NO,MIXED,NO,AND,NA,NA
L158,YOU GET WHAT YOU GET,JULIE GASSMAN,YES,M,NO,MIXED,MELVIN,NA
L159,I LOVE MY MOMMY BECAUSE,LAUREL PORTER-GAYLORD,YES,AND,YES,F,MOMMY,NA
L160,TEN LITTLE LADYBUGS,MELANIE GERTH,NO,MIXED,NO,NA,NA,NA
