book_id,title,author,char_main_singular,char_main_gender,char_second_singular,char_second_gender,char_name,notes
L161,PUPPY BIRTHDAY TO YOU! (PAW PATROL),GOLDEN BOOKS (PUBLISHER),NO,MIXED,NO,NA,NA,NA
L162,EVERYONE POOPS,TARO GOMI,NO,AND,NO,NA,NA,NA
L163,DOGS,EMILY GRAVETT,NO,AND,NO,NA,NA,NA
L164,MVP: MOST VALUABLE PUPPY,MIKE GREENBERG & STACY STEPONATE GREENBERG,YES,F,YES,F,PHOEBE,gendered non-human character; female
L165,GOD BLESS YOU AND GOOD NIGHT,HANNAH HALL,YES,AND,YES,F,NA,NA
L166,WHERE'S SPOT?,ERIC HILL,YES,M,NO,NA,SPOT,NA
L167,HOW ROCKET LEARNED TO READ,TAD HILLS,YES,M,YES,F,ROCKET,NA
L168,WHERE IS THE GREEN SHEEP?,MEM FOX AND JUDY HORACEK,YES,AND,NO,AND,GREEN SHEEP,NA
L169,MAMA DON'T ALLOW,THACHER HURD,YES,M,NO,MIXED,MILES,NA
L170,HOW TO CATCH A STAR,OLIVER JEFFERS,YES,M,NO,NA,BOY,NA
L171,LOST AND FOUND,OLIVER JEFFERS,YES,M,YES,AND,NA,NA
L172,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE,WILLIAM JOYCE,YES,M,NO,MIXED,MORRIS LESSMORE,NA
L173,"SAYONARA, MRS. KACKLEMAN",MAIRA KALMAN,YES,F,YES,M,LULU,NA
L174,WHERE IS BABY'S BELLY BUTTON,KAREN KATZ,NO,MIXED,NO,NA,NA,NA
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,YES,M,YES,AND,PETER,NA
L176,BABY TOUCH AND FEEL: ANIMALS,DORLING KINDERSLEY (PUBLISHER),NO,AND,NO,AND,NA,NA
L177,I WANT MY HAT BACK,JON KLASSEN,YES,AND,NO,NA,NA,NA
L178,P IS FOR POTTY!,NAOMI KLEINBERG,YES,M,NO,MIXED,ELMO,NA
L179,LIBRARY LION,MICHELLE KNUDSEN,YES,M,NO,MIXED,LION,gendered non-human main character
L180,PAT THE BUNNY,DOROTHY KUNHARDT,NO,MIXED,NO,MIXED,NA,NA
L181,THE RED BALLOON,ALBERT LAMORISSE,YES,M,YES,F,PASCAL,NA
L182,ALLIGATOR PIE,DENNIS LEE,YES,AND,NO,NA,NA,NA
L183,CHUGGA-CHUGGA CHOO-CHOO,KEVIN LEWIS,NO,AND,NO,NA,NA,NA
L184,FROG AND TOAD,ARNOLD LOBEL,NO,M,NO,AND,NA,both main characters are non-human males
L185,GRANDMA WISHES,JULIA LOBO,YES,F,YES,AND,GRANDMA,NA
L186,THE POKY LITTLE PUPPY,JANETTE SEBRING LOWRY,YES,M,NO,MIXED,POKY LITTLE PUPPY,gendered_nonhuman_char
L187,WELCOME LITTLE ONE,SANDRA MAGSAMEN,YES,AND,YES,AND,NA,NA
L188,THE WONDERFUL THINGS YOU WILL BE,EMILY WINFIELD MARTIN,YES,AND,YES,AND,NA,NA
L189,"BABY BEAR, BABY BEAR, WHAT DO YOU SEE?",BILL MARTIN JR AND ERIC CARLE,YES,AND,NO,AND,NA,NA
L190,"POLAR BEAR, POLAR BEAR, WHAT DO YOU HEAR?",BILL MARTIN JR. AND ERIC CARLE,NO,AND,NO,NA,NA,NA
L191,"BOB BOOKS, SET 1: BEGINNING READERS",BOBBY LYNN MASLEN,NO,AND,NO,NA,NA,NA
L192,JUST ME AND MY DAD,MERCER MAYER,YES,AND,YES,M,NA,NA
L193,"I LOVE YOU, STINKY FACE",LISA MCCOURT,YES,AND,YES,F,NA,NA
L194,"BIG SHARK, LITTLE SHARK",ANNA MEMBRINO,NO,AND,NO,AND,NA,NA
L195,WINNIE THE POOH,A.A. MILNE,YES,M,NO,AND,POOH,NA
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,ELSE HOLMELUND MINARIK,YES,M,YES,F,LITTLE BEAR,NA
L197,TIKKI TIKKI TEMBO,ARLENE MOSEL,YES,M,NO,MIXED,TIKKI TIKKI TEMBO-NO SA REMBO- CHARI BARI RUCHI- PIP PERI PEMBO,NA
L198,MORTIMER,ROBERT MUNSCH,YES,M,NO,MIXED,MORTIMER,NA
L199,THE THREE QUESTIONS,JOHN J. MUTH,YES,M,NO,MIXED,NIKOLAI,NA
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,YES,M,NO,MIXED,BLAZE,gendered non-human characters
L201,AMELIA BEDELIA,PEGGY PARISH,YES,F,NO,MIXED,AMELIA,NA
L202,"IF YOU EVER WANT TO BRING A PIANO TO THE BEACH, DON'T!",ELISE PARSLEY,YES,AND,YES,F,NA,NA
L203,POTTY,LESLIE PATRICELLI,YES,AND,NO,AND,NA,NA
L204,IF ANIMALS KISSED GOOD NIGHT,ANN WHITFORD PAUL,NO,MIXED,NO,MIXED,NA,NA
L205,"HAND, HAND, FINGERS, THUMB",AL PERKINS,NO,M,YES,AND,"JACK, JAKE",gendered non-human main characters; both Jack and Jake are equally main characters
L207,B IS FOR BEAR,ROGER PRIDDY,YES,AND,NO,NA,NA,NA
L208,FIRST 100 WORDS,ROGER PRIDDY,NO,AND,NO,NA,NA,NA
L209,"NUMBERS, COLORS, SHAPES",ROGER PRIDDY,NO,NA,NO,NA,NA,NA
L210,BABY BELUGA,RAFFI,YES,AND,NO,NA,BABY BELUGA,NA
L211,HOW TO BABYSIT A GRANDMA,JEAN REAGAN,YES,F,NO,NA,NA,GRANDMA
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,NO,M,NO,NA,NA,gendered non-human characters; all male
L214,I AM A BUNNY,OLE RISOM AND RICHARD SCARRY,YES,M,NO,NA,NICHOLAS,gendered non-human character; male
L215,WE'RE GOING ON A BEAR HUNT,MICHAEL ROSEN,NO,AND,NO,NA,NA,NA
L216,I WISH YOU MORE,AMY KROUSE ROSENTHAL AND TOM LICHTENHELD,YES,AND,YES,AND,NA,NA
L217,GRANDFATHER'S JOURNEY,ALLEN SAY,YES,M,NO,NA,GRANDFATHER,NA
L218,WHERE DO DIGGERS SLEEP AT NIGHT?,BRIANNA CAPLAN SAYRES,NO,M,NO,MIXED,NA,gendered_nonhuman_char
L219,CARS AND TRUCKS AND THINGS THAT GO,RICHARD SCARRY,NO,MIXED,NO,NA,NA,NA
L220,RAIN MAKES APPLESAUCE,JULIAN SCHEER,YES,AND,NO,AND,NA,NA
L221,LITTLE BLUE TRUCK,ALICE SCHERTLE,NO,M,NO,AND,NA,gendered non-human main characters
L222,THE STINKY CHEESE MAN AND OTHER FAIRLY STUPID TALES,JON SCIESZKA,YES,M,NO,MIXED,JACK,collection of stories with one narrator
L223,IN THE NIGHT KITCHEN,MAURICE SENDAK,YES,M,NO,AND,MICKEY,NA
L224,DR. SEUSS'S ABC,DR. SEUSS,NO,MIXED,NO,NA,NA,NA
L225,FOX IN SOCKS,DR. SEUSS,NO,MIXED,NO,NA,NA,NA
L227,"HAPPY BIRTHDAY, BABY!",DR. SEUSS,YES,AND,NO,NA,THE GREAT BIRTHDAY BIRD,NA
L228,HOP ON POP,DR. SEUSS,NO,NA,YES,M,NA,"gendered non-human secondary characters (male; Pat, Red, Ted, Ned, Jim)"
L229,MR. BROWN CAN MOO! CAN YOU?,DR. SEUSS,YES,M,NO,NA,MR. BROWN,NA
L230,"OH, THE THINKS YOU CAN THINK!",DR. SEUSS,YES,AND,NO,NA,NA,"main character ""you: referred to as guy"
L231,ONE FISH TWO FISH RED FISH BLUE FISH,DR. SEUSS,NO,NA,NO,NA,NA,NA
L232,THE FOOT BOOK,DR. SEUSS,NO,NA,NO,NA,NA,NA
L233,THERE'S A WOCKET IN MY POCKET!,DR. SEUSS,YES,AND,NO,AND,NA,NA
L234,YERTLE THE TURTLE,DR. SEUSS,YES,M,YES,M,YERTLE,NA
L235,I LOVE YOU THROUGH AND THROUGH,BERNADETTE ROSSETTI-SHUSTAK,YES,AND,YES,AND,NA,NA
L236,WHERE THE SIDEWALK ENDS,SHEL SILVERSTEIN,NO,MIXED,NO,NA,NA,review-collection of poems
L237,LITTLE OWL'S NIGHT,DIVYA SRINIVASAN,YES,M,YES,F,LITTLE OWL,gendered non-human main character; male
L239,BRAVE IRENE,WILLIAM STEIG,YES,F,YES,F,IRENE,NA
L240,"KINDERGARTEN, HERE I COME!",D.J. STEINBERG,YES,AND,NO,MIXED,NA,NA
L241,THE MONSTER AT THE END OF THIS BOOK,JON STONE,YES,M,NO,NA,GROVER,NA
L242,GRUMPY BIRD,JEREMY TANKARD,YES,M,NO,AND,BIRD,NA
L243,ELOISE,KAY THOMPSON,YES,F,NO,MIXED,ELOISE,NA
L244,ON THE NIGHT YOU WERE BORN,NANCY TILLMAN,NO,NA,NO,NA,NA,NA
L245,WHEREVER YOU ARE MY LOVE WILL FIND YOU,NANCY TILLMAN,YES,AND,YES,AND,NA,NA
L247,THE GARDEN OF ABDUL GASAZI,CHRIS VAN ALLSBURG,YES,M,YES,M,ALAN,NA
L248,TUESDAY,DAVID WIESNER,NO,NA,NO,NA,NA,NA
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,MO WILLIEMS,YES,F,YES,AND,NA,NA
L252,BEAR SNORES ON,KARMA WILSON,YES,M,NO,NA,BEAR,NA
L253,THE NIGHT BEFORE MOTHER'S DAY,NATASHA WING,YES,F,NO,MIXED,MOM,NA
L254,THE REAL MOTHER GOOSE,BLANCHE FISHER WRIGHT,NO,MIXED,NO,MIXED,NA,collection of stories with one narrator
L255,HOW DO DINOSAURS SAY HAPPY BIRTHDAY?,JANE YOLEN AND MARK TEAGUE,YES,F,NO,NA,NA,gendered non-human main charcter (female dragon!)
L256,LON PO PO: A RED RIDING HOOD STORY FROM CHINA,ED YOUNG,NO,MIXED,NO,NA,NA,NA
L257,THE WHEELS ON THE BUS,PAUL O. ZELINSKY,NO,MIXED,NO,NA,NA,NA
L258,ANIMALIA,GRAEME BASE,NO,AND,NO,NA,NA,NA
M1,"BARK, GEORGE",JULES FEIFFER,YES,M,YES,F,GEORGE,NA
M10,THE SNOWY DAY,EZRA JACK KEATS,YES,M,YES,F,PETER,NA
M100,TRAIN,ELISHA COOPER,NO,AND,NO,MIXED,NA,NA
M11,CAPS FOR SALE,ESPHYR SLOBODKINA,YES,M,NO,MIXED,PEDDLER,NA
M12,GUESS HOW MUCH I LOVE YOU,SAM MCBRATNEY,NO,M,NO,NA,"LITTLE NUTBROWN HARE, BIG NUTBROWN HARE",NA
M13,HAROLD AND THE PURPLE CRAYON,CROCKETT JOHNSON,YES,M,NO,NA,HAROLD,NA
M14,THE KEEPING QUILT,PATRICIA POLACCO,YES,F,NO,MIXED,ANNA,NA
M15,THE OTHER SIDE,JACQUELINE WOODSON,YES,F,NO,F,CLOVER,NA
M16,GOOD NIGHT GORILLA,PEGGY RATHMAN,NO,NA,NO,AND,NA,NA
M17,MADELINE,LUDWIG BEMELMANS,YES,F,NO,MIXED,MADELINE,NA
M18,MAKE WAY FOR DUCKLINGS,ROBERT MCCLOSKEY,NO,MIXED,NO,MIXED,NA,NA
M19,"NO, DAVID!",DAVID SHANNON,YES,M,YES,F,DAVID,NA
M2,BLUEBERRIES FOR SAL,ROBERT MCCLOSKEY,YES,F,YES,F,SAL,NA
M20,OWL MOON,JANE YOLEN,YES,AND,YES,M,NA,NA
M21,STELLALUNA,JANELL CANNON,YES,F,NO,MIXED,STELLALUNA,NA
M22,SYLVESTER AND THE MAGIC PEBBLE,WILLIAM STEIG,YES,M,NO,MIXED,SYLVESTER,NA
M23,THE GIVING TREE,SHEL SILVERSTEIN,NO,MIXED,NO,NA,NA,NA
M24,THE POLAR EXPRESS,CHRIS VAN ALLSBURG,YES,AND,NO,MIXED,NA,NA
M25,DEAR ZOO,ROD CAMPBELL,YES,AND,NO,M,NA,gendered non-human characters; all male
M26,THE LITTLE HOUSE,VIRGINIA LEE BURTON,YES,F,NO,MIXED,THE LITTLE HOUSE,NA
M27,THE LORAX,DR. SEUSS,YES,M,NO,AND,THE LORAX,NA
M28,THE RUNAWAY BUNNY,MARGARET WISE BROWN,YES,M,YES,F,LITTLE BUNNY,gendered non-human character
M29,"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",JUDITH VIORST,YES,M,NO,MIXED,ALEXANDER,NA
M3,"BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE?",BILL MARTIN JR,NO,AND,NO,MIXED,NA,NA
M30,A BAD CASE OF STRIPES,DAVID SHANNON,YES,F,YES,F,CAMILLA,NA
M31,DON'T LET THE PIGEON DRIVE THE BUS,MO WILLEMS,YES,M,NO,MIXED,PIGEON,NA
M32,THE NAPPING HOUSE,AUDREY WOOD,NO,AND,NO,NA,NA,NA
M33,MIKE MULLIGAN AND HIS STEAM SHOVEL,VIRGINIA LEE BURTON,YES,M,YES,F,MIKE MULLIGAN,NA
M34,THE STORY OF BABAR,JEAN DE BRUNHOFF,YES,M,NO,MIXED,BABAR,gendered_nonhuman_char
M36,THE TALE OF PETER RABBIT,BEATRIX POTTER,YES,M,NO,MIXED,PETER,gendered_nonhuman_char
M37,THE STORY OF FERDINAND,MUNRO LEAF,YES,M,NO,MIXED,FERDINAND,NA
M38,ARE YOU MY MOTHER?,P.D. EASTMAN,YES,M,YES,F,BABY BIRD,NA
M39,CHRYSANTHEMUM,KEVIN HENKES,YES,F,NO,MIXED,CHRYSANTHEMUM,NA
M4,"CLICK, CLACK, MOO COWS THAT TYPE",DOREEN CRONIN,YES,M,NO,AND,FARMER BROWN,NA
M40,DRAGONS LOVE TACOS,ADAM RUBIN,NO,NA,NO,AND,NA,NA
M41,LITTLE BLUE TRUCK LEADS THE WAY,ALICE SCHERTLE,NO,AND,NO,NA,NA,NA
M42,IF YOU GIVE A MOUSE A COOKIE,LAURA JOFFE NUMEROFF,YES,M,NO,NA,MOUSE,NA
M43,"OH, THE PLACES YOU'LL GO",DR. SEUSS,YES,AND,NO,NA,NA,"main character ""you: referred to as guy"
M44,THE LITTLE ENGINE THAT COULD,WATTY PIPER,YES,F,YES,M,LITTLE BLUE ENGINE,NA
M45,GOODNIGHT MOON,MARGARET WISE BROWN,NO,NA,NO,MIXED,NA,NA
M46,CHICKA CHICKA BOOM BOOM,BILL MARTIN,NO,AND,NO,NA,NA,NA
M47,I'M A BIG SISTER,JOANNA COLE,YES,F,NO,MIXED,BIG SISTER,NA
M48,GREEN EGGS AND HAM,DR. SEUSS,YES,M,NO,NA,SAM,NA
M49,CURIOUS GEORGE TAKES A JOB,H.A. RAY,YES,M,YES,M,GEORGE,NA
M5,CLOUDY WITH A CHANCE OF MEATBALLS,JUDI BARRETT,YES,AND,NO,MIXED,NA,NA
M50,THE PIGEON FINDS A HOT DOG!,MO WILLEMS,YES,AND,YES,AND,NA,NA
M51,DINOSAUR RESCUE,PENNY DALE,NO,AND,NO,AND,NA,NA
M52,DUCK ON A BIKE,DAVID SHANNON,YES,M,NO,MIXED,DUCK,NA
M53,HARRY THE DIRTY DOG,GENE ZION,YES,M,NO,MIXED,HARRY,NA
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,JANE YOLEN & MARK TEAGUE,YES,M,NO,MIXED,DINOSAUR,NA
M55,LILLY'S PURPLE PLASTIC PURSE,KEVIN HENKES,YES,F,NO,MIXED,LILLY,NA
M56,LLAMA LLAMA RED PAJAMA,ANNA DEWDNEY,YES,AND,YES,F,LLAMA LLAMA,gendered non-human character
M57,MAISY GOES TO THE LIBRARY,LUCY COUSINS,YES,F,NO,MIXED,MAISY,NA
M58,OLIVIA,IAN FALCONER,YES,F,NO,MIXED,OLIVIA,NA
M59,THE BERENSTAIN BEARS FORGET THEIR MANNERS,STAN & JAN BERENSTAIN,YES,F,NO,MIXED,MAMA BEAR,NA
M6,CORDUROY,DON FREEMAN,YES,M,NO,MIXED,CORDUROY,NA
M60,THIS IS NOT MY HAT,JON KLASSEN,YES,AND,NO,NA,NA,NA
M61,THERE'S AN ALLIGATOR UNDER MY BED,MERCER MAYER,YES,AND,NO,MIXED,NA,NA
M62,THE VERY HUNGRY CATERPILLAR,ERIC CARLE,YES,M,NO,NA,VERY HUNGRY CATERPILLAR,NA
M63,KNUFFLE BUNNY,MO WILLEMS,YES,F,YES,M,TRIXIE,NA
M64,LADYBUG GIRL AT THE BEACH,DAVID SOMAN AND JACKY DAVIS,YES,F,NO,MIXED,LULU,NA
M65,A SICK DAY FOR AMOS MCGEE,PHILIP C. STEAD,YES,M,NO,M,AMOS MCGEE,gendered non-human characters; all male
M66,FROGGY GOES TO BED,JONATHAN LONDON,YES,M,YES,F,FROGGY,NA
M67,GOLDILICIOUS,VICTORIA KANN,YES,M,NO,MIXED,PETER,NA
M68,MAISY GOES CAMPING,LUCY COUSINS,YES,F,NO,MIXED,MAISY,NA
M69,OLIVIA. . . AND THE MISSING TOY,IAN FALCONER,YES,F,YES,F,OLIVIA,NA
M7,CURIOUS GEORGE,H.A. REY,YES,M,YES,M,GEORGE,NA
M70,LLAMA LLAMA HOME WITH MAMA,ANNA DEWDNEY,YES,AND,YES,F,LLAMA LLAMA,gendered non-human character
M71,HOW TO TRAIN A TRAIN,JASON CARTER EATON,NO,AND,NO,NA,NA,NA
M72,PETE THE CAT: THE WHEELS ON THE BUS,JAMES DEAN,YES,M,NO,AND,PETE,NA
M73,CHARLIE AND THE NEW BABY,REE DRUMMOND,YES,M,NO,MIXED,CHARLIE,NA
M74,BEAR WANTS MORE,KARMA WILSON,YES,M,NO,MIXED,BEAR,NA
M75,CHICKA CHICKA 1-2-3,BILL MARTIN JR,NO,AND,NO,NA,NA,NA
M76,CLIFFORD AT THE CIRCUS,NORMAN BRIDWELL,YES,F,YES,M,EMILY ELIZABETH,NA
M77,THE CAT IN THE HAT,DR. SEUSS,YES,M,NO,MIXED,THE CAT,NA
M78,THE DUCKLING GETS A COOKIE!?,MO WILLEMS,YES,AND,YES,M,NA,NA
M79,THE GROUCHY LADYBUG,ERIC CARLE,YES,AND,NO,AND,GROUCHY LADYBUG,NA
M80,THE TRUE STORY OF THE 3 LITTLE PIGS!,JON SCIESZKA,YES,M,NO,AND,ALEXANDER T WOLF,NA
M81,TRASHY TOWN,ANDREA ZIMMERMAN AND DAVID CLEMESHA,YES,M,NO,NA,MR. GILLY,NA
M82,THE DAY THE CRAYONS QUIT,DREW DAYWALT,YES,M,NO,AND,DUNCAN,NA
M83,ARTHUR WRITES A STORY,MARC BROWN,YES,M,NO,MIXED,ARTHUR,NA
M84,BUNNY PARTY,ROSEMARY WELLS,YES,M,YES,F,MAX,NA
M85,IF YOU GIVE A MOOSE A MUFFIN,LAURA JOFFE NUMEROFF,YES,M,NO,NA,MOOSE,NA
M86,THAT IS NOT A GOOD IDEA!,MO WILLEMS,YES,AND,YES,AND,NA,NA
M87,THE BERENSTAIN BEARS AND THE GREEN-EYED MONSTER,STAN & JAN BERENSTAIN,YES,M,NO,MIXED,BROTHER BEAR,NA
M88,THE PAPER BAG PRINCESS,ROBERT N. MUNSCH,YES,F,YES,M,ELIZABETH,NA
M89,WINTER DAYS IN THE BIG WOODS,LAURA INGALLS WILDER,YES,F,NO,MIXED,LAURA,NA
M9,THE CARROT SEED,RUTH KRAUSS,YES,M,NO,MIXED,NA,NA
M90,ANGELINA ICE SKATES,KATHARINE HOLABIRD,YES,F,NO,MIXED,ANGELINA,NA
M91,HORTON HEARS A WHO!,DR. SEUSS,YES,M,NO,MIXED,HORTON,NA
M92,BREAD AND JAM FOR FRANCES,RUSSELL HOBAN,YES,F,NO,MIXED,FRANCES,NA
M93,SHOW DOG,MEGHAN MCCARTHY,YES,F,NO,MIXED,PRINCESS,NA
M94,GEORGE AND MARTHA,JAMES MARSHALL,NO,MIXED,NO,NA,"MARTHA, GEORGE",NA
M95,MISS RUMPHIUS,BARBARA COONEY,YES,F,YES,F,LUPINE LADY,NA
M96,THE GARDENER,SARAH STEWART,YES,F,YES,M,LYDIA GRACE FINCH,NA
M97,THE HAT,JAN BRETT,YES,F,NO,MIXED,LISA,NA
M99,WHEN DINOSAURS CAME WITH EVERYTHING,ELISE BROACH,YES,M,YES,F,NA,NA
M98,ARNIE THE DOUGHNUT,LOURIE KELLER,YES,M,NO,MIXED,ARNIE,NA
M8,LOVE YOU FOREVER,AUTHOR:SHEILA MCGRAW,YES,F,YES,M,MOTHER,NA
L246,PRESS HERE,HERVí_Åæ TULLET,NO,NA,NO,NA,NA,NA
L108,THOMAS THE TANK ENGINE: THE VERY FIRST STORIES,THE REVEREND W AWDRY,YES,M,NO,M,THOMAS,gendered_nonhuman_char
M35,WHERE THE WILD THINGS ARE,AUTHOR:MAURICE SENDAK,YES,M,NO,AND,MAX,NA
