Term,Beta,SE,Z,p
(Intercept),0,0.03,0,>.99
Arousal,-0.08,0.03,-2.87,0.004
Valence,0.35,0.03,12.88,<.001
Concreteness,-0.2,0.03,-6.64,<.001
AoA,-0.12,0.03,-3.86,<.001
Log Frequency,-0.15,0.03,-4.67,<.001
