word,ci_lower,ci_upper,mean,n,gender_bias
accelerate,1.5,2.3333333333333335,1.9166666666666667,12,m
active,1.8,3.1,2.4,10,neither
adventurous,1.4166666666666667,2.3333333333333335,1.8333333333333333,12,m
affectionate,4,4.5,4.2,10,f
ambitious,1.5833333333333333,2.8333333333333335,2.1666666666666665,12,m
amiable,3.3333333333333335,4.166666666666667,3.75,12,f
amuse,2.9166666666666665,3.75,3.3333333333333335,12,neither
annoy,1.9,2.9,2.4,10,m
apologize,3.2,4,3.6,10,f
argue,1.9166666666666667,3.0833333333333335,2.5,12,neither
artistic,3.25,3.75,3.5,12,f
attentive,2.5,3.7520833333333314,3.1666666666666665,12,neither
bake,3.1666666666666665,4.416666666666667,3.8333333333333335,12,f
bathe,3.3,4.6,3.9,10,f
be,2.5,3.168749999999998,2.9166666666666665,12,neither
beg,2.6666666666666665,3.8333333333333335,3.25,12,neither
bold,1.6,2.5,2,10,m
bore,1.9,3.1,2.5,10,neither
bossy,2.5833333333333335,4.083333333333333,3.3333333333333335,12,neither
bury,2.1666666666666665,3,2.5833333333333335,12,m
calm,3.5,4.5,4,12,f
camp,1.5,2.4166666666666665,2,12,m
carefree,3,3.9166666666666665,3.4166666666666665,12,neither
careful,2.8,4,3.4,10,neither
cautious,3,4.2,3.6,10,neither
celebrate,3.4,4,3.7,10,f
chant,1.9166666666666667,3.085416666666665,2.5833333333333335,12,neither
cheerful,3.3,4.5,4,10,f
chew,1.9979166666666686,2.75,2.4166666666666665,12,m
childish,2,3,2.5,12,m
childlike,2.3,3.7,3,10,neither
chilly,3.25,4,3.5833333333333335,12,f
churn,2.4,3.3,2.8,10,neither
clap,2.6666666666666665,3.5833333333333335,3.0833333333333335,12,neither
collect,2.4,3.5,2.9,10,neither
comfort,3.6666666666666665,4.333333333333333,4,12,f
command,1.1,2.1,1.6,10,m
commit,2.0833333333333335,3.3333333333333335,2.75,12,neither
compassionate,4.083333333333333,4.833333333333333,4.5,12,f
complain,2.9166666666666665,4.416666666666667,3.6666666666666665,12,neither
concern,3.3333333333333335,4.166666666666667,3.75,12,f
confident,2.25,3.25,2.75,12,neither
confuse,3,3.8,3.4,10,neither
