run,subj_id,question_name,response_str
run1,P48,education,2
run1,P49,education,4
run1,P50,education,3
run1,P51,education,3
run1,P52,education,6
run1,P53,education,2
run1,P54,education,4
run1,P55,education,3
run1,P56,education,2
run1,P57,education,4
run1,P58,education,2
run1,P59,education,4
run1,P60,education,3
run1,P61,education,4
run1,P62,education,4
run1,P63,education,3
run1,P64,education,3
run1,P65,education,6
run1,P66,education,4
run1,P67,education,4
run1,P68,education,4
run1,P69,education,4
run1,P70,education,6
run1,P71,education,6
run1,P72,education,2
run1,P73,education,6
run1,P74,education,3
run1,P75,education,2
run1,P76,education,3
run1,P77,education,6
run1,P78,education,4
run1,P79,education,4
run1,P80,education,6
run1,P81,education,4
run1,P82,education,6
run1,P83,education,3
run1,P84,education,2
run1,P85,education,6
run1,P86,education,6
run1,P87,education,4
run1,P88,education,3
run1,P89,education,3
run1,P90,education,4
run1,P91,education,4
run1,P92,education,3
run1,P93,education,4
run1,P94,education,4
run1,P95,education,5
run1,P96,education,4
run1,P97,education,2
run1,P98,education,4
run1,P99,education,2
run1,P100,education,3
run1,P101,education,4
run1,P102,education,2
run1,P103,education,4
run1,P104,education,4
run1,P105,education,5
run1,P106,education,2
run1,P107,education,3
run1,P108,education,3
run1,P109,education,4
run1,P110,education,4
run1,P111,education,6
run1,P112,education,4
run1,P113,education,4
run1,P114,education,4
run1,P115,education,4
run1,P116,education,6
run1,P117,education,3
run1,P118,education,4
run1,P119,education,6
run1,P120,education,4
run1,P121,education,4
run1,P122,education,4
run1,P123,education,4
run1,P124,education,4
run1,P125,education,3
run1,P126,education,4
run1,P127,education,6
run1,P128,education,3
run1,P129,education,5
run1,P130,education,3
run1,P131,education,3
run1,P132,education,6
run1,P133,education,4
run1,P134,education,2
run1,P135,education,4
run1,P136,education,3
run1,P137,education,4
run1,P138,education,3
run1,P139,education,4
run1,P140,education,3
run1,P141,education,3
run1,P142,education,4
run1,P143,education,6
run1,P144,education,3
run1,P145,education,1
run1,P146,education,4
run1,P147,education,2
run1,P148,education,6
run1,P149,education,4
run1,P150,education,4
run1,P151,education,4
run1,P152,education,4
run1,P153,education,1
run1,P154,education,4
run1,P155,education,6
run1,P156,education,3
run1,P157,education,4
run1,P158,education,4
run1,P159,education,5
run1,P160,education,6
run1,P161,education,6
run1,P162,education,6
run1,P163,education,2
run1,P164,education,5
run1,P1,native_english,1
run1,P2,native_english,1
run1,P3,native_english,1
run1,P4,native_english,1
run1,P5,native_english,1
run1,P6,native_english,1
run1,P7,native_english,1
run1,P8,native_english,1
run1,P9,native_english,1
run1,P10,native_english,1
run1,P11,native_english,1
run1,P12,native_english,1
run1,P13,native_english,1
run1,P14,native_english,1
run1,P15,native_english,1
run1,P16,native_english,1
run1,P17,native_english,1
run1,P18,native_english,1
run1,P19,native_english,1
run1,P20,native_english,1
run1,P21,native_english,1
run1,P22,native_english,1
run1,P23,native_english,1
run1,P24,native_english,1
run1,P25,native_english,1
run1,P26,native_english,1
run1,P27,native_english,1
run1,P28,native_english,1
run1,P29,native_english,1
run1,P30,native_english,1
run1,P31,native_english,1
run1,P32,native_english,1
run1,P33,native_english,1
run1,P34,native_english,1
run1,P35,native_english,1
run1,P36,native_english,1
run1,P37,native_english,1
run1,P38,native_english,1
run1,P39,native_english,1
run1,P40,native_english,1
run1,P41,native_english,1
run1,P42,native_english,1
run1,P43,native_english,1
run1,P44,native_english,1
run1,P45,native_english,1
run1,P46,native_english,1
run1,P47,native_english,1
run1,P48,native_english,1
run1,P49,native_english,1
run1,P50,native_english,1
run1,P51,native_english,1
run1,P52,native_english,1
run1,P53,native_english,1
run1,P54,native_english,1
run1,P55,native_english,1
run1,P56,native_english,1
run1,P57,native_english,1
run1,P58,native_english,1
run1,P59,native_english,1
run1,P60,native_english,1
run1,P61,native_english,1
run1,P62,native_english,1
run1,P63,native_english,1
run1,P64,native_english,1
run1,P65,native_english,1
run1,P66,native_english,1
run1,P67,native_english,1
run1,P68,native_english,1
run1,P69,native_english,1
run1,P70,native_english,1
run1,P71,native_english,1
run1,P72,native_english,1
run1,P73,native_english,1
run1,P74,native_english,1
run1,P75,native_english,1
run1,P76,native_english,1
run1,P77,native_english,1
run1,P78,native_english,1
run1,P79,native_english,1
run1,P80,native_english,1
run1,P81,native_english,1
run1,P82,native_english,1
run1,P83,native_english,1
run1,P84,native_english,1
run1,P85,native_english,1
run1,P86,native_english,1
run1,P87,native_english,1
run1,P88,native_english,1
run1,P89,native_english,1
run1,P90,native_english,1
run1,P91,native_english,1
run1,P92,native_english,1
run1,P93,native_english,1
run1,P94,native_english,1
run1,P95,native_english,1
run1,P96,native_english,1
run1,P97,native_english,1
run1,P98,native_english,1
run1,P99,native_english,1
run1,P100,native_english,1
run1,P101,native_english,1
run1,P102,native_english,1
run1,P103,native_english,1
run1,P104,native_english,1
run1,P105,native_english,1
run1,P106,native_english,1
run1,P107,native_english,1
run1,P108,native_english,1
run1,P109,native_english,1
run1,P110,native_english,1
run1,P111,native_english,1
run1,P112,native_english,1
run1,P113,native_english,1
run1,P114,native_english,1
run1,P115,native_english,1
run1,P116,native_english,1
run1,P117,native_english,0
run1,P118,native_english,1
run1,P119,native_english,1
run1,P120,native_english,1
run1,P121,native_english,1
run1,P122,native_english,1
run1,P123,native_english,1
run1,P124,native_english,1
run1,P125,native_english,1
run1,P126,native_english,1
run1,P127,native_english,1
run1,P128,native_english,1
run1,P129,native_english,1
run1,P130,native_english,1
run1,P131,native_english,1
run1,P132,native_english,1
run1,P133,native_english,1
run1,P134,native_english,1
run1,P135,native_english,1
run1,P136,native_english,1
run1,P137,native_english,1
run1,P138,native_english,1
run1,P139,native_english,1
run1,P140,native_english,1
run1,P141,native_english,1
run1,P142,native_english,1
run1,P143,native_english,1
run1,P144,native_english,1
run1,P145,native_english,1
run1,P146,native_english,1
run1,P147,native_english,1
run1,P148,native_english,1
run1,P149,native_english,1
run1,P150,native_english,1
run1,P151,native_english,0
run1,P152,native_english,0
run1,P153,native_english,1
run1,P154,native_english,1
run1,P155,native_english,1
run1,P156,native_english,1
run1,P157,native_english,1
run1,P158,native_english,1
run1,P159,native_english,1
run1,P160,native_english,1
run1,P161,native_english,1
run1,P162,native_english,1
run1,P163,native_english,1
run1,P164,native_english,1
run1,P1,native_languages,NA
run1,P2,native_languages,NA
run1,P3,native_languages,NA
run1,P4,native_languages,NA
run1,P5,native_languages,NA
run1,P6,native_languages,NA
run1,P7,native_languages,NA
run1,P8,native_languages,NA
run1,P9,native_languages,NA
run1,P10,native_languages,NA
run1,P11,native_languages,NA
run1,P12,native_languages,NA
run1,P13,native_languages,NA
run1,P14,native_languages,NA
run1,P15,native_languages,NA
run1,P16,native_languages,english
run1,P17,native_languages,NA
run1,P18,native_languages,NA
run1,P19,native_languages,NA
run1,P20,native_languages,NA
run1,P21,native_languages,NA
run1,P22,native_languages,NA
run1,P23,native_languages,NA
run1,P24,native_languages,NA
run1,P25,native_languages,NA
run1,P26,native_languages,NA
run1,P27,native_languages,NA
run1,P28,native_languages,NA
run1,P29,native_languages,NA
run1,P30,native_languages,NA
run1,P31,native_languages,NA
run1,P32,native_languages,NA
run1,P33,native_languages,NA
run1,P34,native_languages,NA
run1,P35,native_languages,NA
run1,P36,native_languages,NA
run1,P37,native_languages,NA
run1,P38,native_languages,NA
run1,P39,native_languages,NA
run1,P40,native_languages,NA
run1,P41,native_languages,NA
run1,P42,native_languages,NA
run1,P43,native_languages,NA
run1,P44,native_languages,NA
run1,P45,native_languages,NA
run1,P46,native_languages,NA
run1,P47,native_languages,NA
run1,P48,native_languages,NA
run1,P49,native_languages,NA
run1,P50,native_languages,NA
run1,P51,native_languages,NA
run1,P52,native_languages,na
run1,P53,native_languages,NA
run1,P54,native_languages,NA
run1,P55,native_languages,NA
run1,P56,native_languages,NA
run1,P57,native_languages,NA
run1,P58,native_languages,NA
run1,P59,native_languages,NA
run1,P60,native_languages,NA
run1,P61,native_languages,NA
run1,P62,native_languages,NA
run1,P63,native_languages,NA
run1,P64,native_languages,NA
run1,P65,native_languages,NA
run1,P66,native_languages,NA
run1,P67,native_languages,NA
run1,P68,native_languages,NA
run1,P69,native_languages,NA
run1,P70,native_languages,NA
run1,P71,native_languages,NA
run1,P72,native_languages,NA
run1,P73,native_languages,NA
run1,P74,native_languages,NA
run1,P75,native_languages,NA
run1,P76,native_languages,n/a
run1,P77,native_languages,NA
run1,P78,native_languages,NA
run1,P79,native_languages,NA
run1,P80,native_languages,NA
run1,P81,native_languages,NA
run1,P82,native_languages,NA
run1,P83,native_languages,NA
run1,P84,native_languages,NA
run1,P85,native_languages,NA
run1,P86,native_languages,NA
run1,P87,native_languages,NA
run1,P88,native_languages,NA
run1,P89,native_languages,NA
run1,P90,native_languages,NA
run1,P91,native_languages,NA
run1,P92,native_languages,NA
run1,P93,native_languages,NA
run1,P94,native_languages,NA
run1,P95,native_languages,NA
run1,P96,native_languages,NA
run1,P97,native_languages,NA
run1,P98,native_languages,NA
run1,P99,native_languages,NA
run1,P100,native_languages,n/a
run1,P101,native_languages,NA
run1,P102,native_languages,NA
run1,P103,native_languages,NA
run1,P104,native_languages,NA
run1,P105,native_languages,NA
run1,P106,native_languages,NA
run1,P107,native_languages,NA
run1,P108,native_languages,NA
