subj_id,word,rating
P_da_2,accelerate,2
P_da_4,accelerate,2
P_da_5,accelerate,1
P_da_7,accelerate,3
P_da_19,accelerate,2
P_da_21,accelerate,3
P_da_22,accelerate,1
P_da_26,accelerate,1
P_da_30,accelerate,3
P_da_31,accelerate,1
P_da_33,accelerate,2
P_da_34,accelerate,2
P_da_1,active,5
P_da_10,active,1
P_da_11,active,3
P_da_12,active,2
P_da_17,active,2
P_da_25,active,2
P_da_27,active,2
P_da_28,active,3
P_da_29,active,2
P_da_32,active,2
P_da_2,adventurous,2
P_da_4,adventurous,1
P_da_5,adventurous,1
P_da_7,adventurous,3
P_da_19,adventurous,1
P_da_21,adventurous,3
P_da_22,adventurous,1
P_da_26,adventurous,2
P_da_30,adventurous,3
P_da_31,adventurous,2
P_da_33,adventurous,2
P_da_34,adventurous,1
P_da_1,affectionate,4
P_da_10,affectionate,4
P_da_11,affectionate,4
P_da_12,affectionate,5
P_da_17,affectionate,5
P_da_25,affectionate,4
P_da_27,affectionate,4
P_da_28,affectionate,4
P_da_29,affectionate,4
P_da_32,affectionate,4
P_da_2,ambitious,4
P_da_4,ambitious,2
P_da_5,ambitious,1
P_da_7,ambitious,3
P_da_19,ambitious,4
P_da_21,ambitious,3
P_da_22,ambitious,1
P_da_26,ambitious,3
P_da_30,ambitious,2
P_da_31,ambitious,1
P_da_33,ambitious,1
P_da_34,ambitious,1
P_da_3,amiable,3
P_da_6,amiable,3
P_da_8,amiable,4
P_da_9,amiable,4
P_da_13,amiable,4
P_da_14,amiable,5
P_da_15,amiable,4
P_da_16,amiable,3
P_da_18,amiable,5
P_da_20,amiable,3
P_da_23,amiable,4
P_da_24,amiable,3
P_da_2,amuse,2
P_da_4,amuse,3
P_da_5,amuse,3
P_da_7,amuse,4
P_da_19,amuse,4
P_da_21,amuse,3
P_da_22,amuse,4
P_da_26,amuse,3
P_da_30,amuse,3
P_da_31,amuse,3
P_da_33,amuse,3
P_da_34,amuse,5
P_da_1,annoy,3
P_da_10,annoy,2
P_da_11,annoy,2
P_da_12,annoy,3
P_da_17,annoy,1
P_da_25,annoy,2
P_da_27,annoy,2
P_da_28,annoy,3
P_da_29,annoy,2
P_da_32,annoy,4
P_da_1,apologize,4
P_da_10,apologize,4
P_da_11,apologize,3
P_da_12,apologize,4
P_da_17,apologize,4
P_da_25,apologize,4
P_da_27,apologize,2
P_da_28,apologize,3
P_da_29,apologize,4
P_da_32,apologize,4
P_da_3,argue,1
P_da_6,argue,2
P_da_8,argue,3
P_da_9,argue,4
P_da_13,argue,1
P_da_14,argue,4
P_da_15,argue,2
P_da_16,argue,4
P_da_18,argue,2
P_da_20,argue,3
P_da_23,argue,2
P_da_24,argue,2
P_da_2,artistic,3
P_da_4,artistic,4
P_da_5,artistic,4
P_da_7,artistic,3
P_da_19,artistic,4
P_da_21,artistic,4
P_da_22,artistic,3
P_da_26,artistic,4
P_da_30,artistic,3
P_da_31,artistic,4
P_da_33,artistic,3
P_da_34,artistic,3
P_da_2,attentive,4
P_da_4,attentive,2
P_da_5,attentive,3
P_da_7,attentive,2
P_da_19,attentive,1
P_da_21,attentive,3
P_da_22,attentive,3
P_da_26,attentive,3
P_da_30,attentive,5
P_da_31,attentive,4
P_da_33,attentive,5
P_da_34,attentive,3
P_da_2,bake,4
P_da_4,bake,5
P_da_5,bake,5
P_da_7,bake,2
P_da_19,bake,1
P_da_21,bake,4
P_da_22,bake,5
P_da_26,bake,4
P_da_30,bake,4
P_da_31,bake,4
P_da_33,bake,4
P_da_34,bake,4
P_da_1,bathe,5
P_da_10,bathe,4
P_da_11,bathe,3
P_da_12,bathe,3
P_da_17,bathe,5
P_da_25,bathe,2
P_da_27,bathe,5
P_da_28,bathe,3
P_da_29,bathe,5
P_da_32,bathe,4
P_da_2,be,3
P_da_4,be,3
P_da_5,be,3
P_da_7,be,3
P_da_19,be,1
P_da_21,be,3
P_da_22,be,3
P_da_26,be,3
P_da_30,be,3
P_da_31,be,3
P_da_33,be,4
P_da_34,be,3
P_da_3,beg,2
P_da_6,beg,2
P_da_8,beg,2
P_da_9,beg,2
P_da_13,beg,5
P_da_14,beg,4
