word,gender,log_tasa_freq,log_subt_freq,log_kidbook_freq,valence,arousal,concreteness,adult_aoa
alley,2.5833333333333335,4.574710978503383,2.9201,1.6094379124341003,4.17,4.08,4.82,7.26
alligator,2,4.356708826689592,2.2529,3.044522437723423,4.23,5.36,4.96,4.78
allowed,3.0714285714285716,6.9584483932976555,3.3593,2.833213344056216,NA,NA,NA,NA
almost,3,8.591743922680534,3.9938,4.174387269895637,NA,NA,1.66,5.47
alone,3.2142857142857144,7.773173680482536,4.1969,3.970291913552122,3.85,4,2.86,4.94
along,3.0714285714285716,8.74862232231722,3.9699,4.9344739331306915,NA,NA,2.14,5.41
aloud,2.7857142857142856,5.3230099791384085,1.9777,1.9459101490553132,NA,NA,3.1,6.22
alphabet,2.9285714285714284,5.236441962829949,2.1072,1.9459101490553132,5.95,3.15,4.31,4.22
already,3.142857142857143,7.946263643580541,4.2108,3.4339872044851463,NA,NA,1.64,NA
also,3,9.598659321249377,4.0224,3.367295829986474,NA,NA,1.83,6.64
although,3.1333333333333333,7.8582541821860294,NA,1.9459101490553132,NA,NA,1.07,8.08
always,3.2,8.898638793680181,4.524,5.043425116919247,NA,NA,1.71,6.26
am,3.0714285714285716,8.19891444498699,4.7516,6.272877006546167,NA,NA,1.96,NA
amazed,3.3076923076923075,4.875197323201151,2.4183,1.9459101490553132,7.55,5.95,1.52,7.17
amazing,3.5384615384615383,5.2832037287379885,3.6199,1.9459101490553132,7.72,6.05,1.55,5.22
amble,3,NA,0.7782,1.6094379124341003,NA,NA,3.17,11.87
ambulance,2.7142857142857144,4.0943445622221,3.0584,2.1972245773362196,3.71,5.33,4.81,6.16
Amelia,4.9,NA,2.382,NA,NA,NA,NA,NA
american,3,8.14002395246292,NA,1.791759469228055,NA,NA,NA,NA
among,2.8461538461538463,8.063062911326792,3.238,2.4849066497880004,NA,NA,2.38,7.75
Amos,1.9,NA,1.9138,NA,NA,NA,NA,NA
and,3.0714285714285716,12.748713746630976,5.8343,8.935640333747571,NA,NA,1.52,4.57
Angelina,4.9411764705882355,NA,1.7709,NA,NA,NA,NA,NA
angry,2,6.8885724595653635,3.4784,3.091042453358316,2.53,6.2,2.53,4.45
animal,2.6666666666666665,7.710653323501202,3.3657,2.9444389791664403,7.06,4.3,4.61,2.89
animals,2.7857142857142856,8.457443187010464,3.2997,3.970291913552122,NA,NA,NA,NA
ankle,3.3333333333333335,3.970291913552122,2.6128,1.791759469228055,5.4,3.11,4.81,4.89
Anna,4.928571428571429,NA,3.2403,NA,NA,NA,NA,NA
Annabelle,5,NA,NA,NA,NA,NA,NA,NA
Annie,5,NA,3.248,NA,NA,NA,NA,NA
announced,2.466666666666667,5.82600010738045,2.4624,1.791759469228055,NA,NA,NA,NA
annual,3,5.247024072160486,2.5658,1.9459101490553132,5.19,3.7,1.78,9.26
another,3,9.261413642160184,4.4145,4.882801922586371,NA,NA,2.69,5.05
answer,3.125,7.804251383528112,3.9536,3.6375861597263857,6.1,4,2.89,5.43
answered,2.9285714285714284,7.344719054149673,2.8899,3.713572066704308,NA,NA,NA,NA
answers,3.1538461538461537,6.461468176353717,3.1841,2.302585092994046,NA,NA,NA,NA
antique,3.4285714285714284,3.58351893845611,2.4914,1.791759469228055,6.5,4,3.75,8.05
Antonio,1.0714285714285714,NA,2.5051,NA,NA,NA,NA,NA
anxious,3.2857142857142856,5.556828061699537,2.8573,2.1972245773362196,3.8,6.2,1.68,10.21
any,2.9,9.325898712610455,4.7487,4.897839799950911,NA,NA,1.72,6
anybody,3.1538461538461537,5.996452088619021,4.0635,2.833213344056216,NA,NA,2.67,5.11
anymore,3.142857142857143,5.575949103146316,3.9822,3.1780538303479458,NA,NA,2.04,NA
anyone,2.8333333333333335,7.3796321526095525,4.1146,3.1354942159291497,NA,NA,2.7,5.36
anything,3.076923076923077,8.21851757748959,4.6653,4.406719247264253,NA,NA,1.38,6.12
anyway,3.1538461538461537,6.55250788703459,4.0851,3.1354942159291497,NA,NA,1.68,6.31
anywhere,2.923076923076923,6.182084906716632,3.6534,2.995732273553991,NA,NA,2.21,NA
apart,2.764705882352941,6.863803391452954,3.38,1.9459101490553132,NA,NA,3.15,6.64
apartment,3.066666666666667,6.42648845745769,3.627,2.0794415416798357,5.72,3.8,4.9,7.8
Apgar,2.3,NA,NA,NA,NA,NA,NA,NA
aphids,2.5,2.6390573296152584,1.1139,1.6094379124341003,NA,NA,NA,NA
appeared,2.9285714285714284,6.931471805599453,2.699,2.4849066497880004,NA,NA,NA,NA
apple,3.2666666666666666,6.26530121273771,3.0821,3.4657359027997265,6.62,3.52,5,4.15
apples,3.357142857142857,5.723585101952381,2.6274,2.995732273553991,NA,NA,NA,NA
April,4.785714285714286,NA,3.0228,NA,NA,NA,NA,NA
Arabella,4.466666666666667,NA,NA,NA,NA,NA,NA,NA
archduke,1.3076923076923077,NA,NA,2.0794415416798357,4.15,3.56,3.93,11.59
armchair,2.5384615384615383,3.258096538021482,1.3424,1.6094379124341003,5.67,2.75,5,6.56
arms,2.7142857142857144,7.38025578842646,3.4844,3.367295829986474,NA,NA,4.97,3.74
Arnie,1.4,NA,NA,NA,NA,NA,NA,NA
around,2.8,9.340139809511028,4.5749,5.272999558563747,NA,NA,1.96,5.94
arrived,2.857142857142857,6.858565034791365,3.29,2.995732273553991,NA,NA,NA,NA
art,3.4285714285714284,6.424869023905388,3.5577,1.791759469228055,6.85,4.48,4.17,6.21
Arthur,1,NA,3.2274,NA,NA,NA,NA,NA
ask,3.1666666666666665,7.856319571406588,4.3917,4.343805421853684,5.95,3.48,2.52,2.89
asked,2.9,9.132378830506472,4.0426,5.272999558563747,NA,NA,NA,NA
asking,3.0714285714285716,6.368187186350492,3.816,2.772588722239781,NA,NA,NA,NA
asleep,2.75,6.411818267709897,3.4052,4.02535169073515,6.5,2,3.71,4.47
asphalt,2.2857142857142856,2.6390573296152584,1.699,2.0794415416798357,4.46,3.2,4.83,8.89
ate,2.4285714285714284,6.9957661563048505,3.2363,4.6443908991413725,NA,NA,3.74,NA
attention,2.769230769230769,7.242797922793756,3.7018,2.3978952727983707,6.68,4.05,2.3,6.78
aunt,4.764705882352941,6.925595197110468,NA,2.4849066497880004,6.56,2.71,4.17,3.8
australia,3.066666666666667,5.552959584921617,NA,1.6094379124341003,NA,NA,NA,NA
auto,1.8333333333333333,4.663439094112067,2.5933,2.0794415416798357,5,4.95,4,7.22
awake,2.857142857142857,5.7430031878094825,3.1345,2.302585092994046,6.76,5.5,3.32,4.67
away,3.142857142857143,9.224243277145174,4.5714,5.6131281063880705,NA,NA,2.23,5.07
awful,2.5,5.8522024797744745,3.5099,3.044522437723423,2.28,4.86,1.92,6.26
axe,1.3571428571428572,3.4339872044851463,2.3979,1.791759469228055,3.48,5.64,5,6.11
Babar,2.2,NA,NA,NA,NA,NA,NA,NA
babies,4.066666666666666,5.968707559985366,3.2317,2.4849066497880004,NA,NA,NA,NA
baby,4.066666666666666,7.3613754289773485,4.4146,5.209486152841421,6.67,4.97,5,3.84
back,2.6666666666666665,9.672374831572242,5.0106,6.075346031088684,4.76,2.59,4.33,5.31
backwards,2.6153846153846154,4.23410650459726,2.8248,2.1972245773362196,NA,NA,3.17,5.98
backyard,2.3076923076923075,4.48863636973214,2.5682,1.791759469228055,6.1,3.88,4.57,3.38
bad,2.466666666666667,7.780303087908373,4.4441,4.382026634673881,3.24,4.86,1.68,2.79
bag,3.2857142857142856,6.932447891572509,3.681,3.6888794541139363,5.05,3.43,4.9,4.28
baked,3.4285714285714284,5.0238805208462765,2.534,2.302585092994046,NA,NA,4.19,NA
baker,3.357142857142857,4.584967478670572,NA,2.6390573296152584,NA,NA,4.71,6.04
bakery,3.642857142857143,3.7376696182833684,2.2553,2.4849066497880004,6.79,3.86,4.83,7.16
ball,2.625,7.796880342783522,3.7287,4.2626798770413155,6.14,3.48,5,2.9
balloon,3.1333333333333333,6.023447592961033,2.6464,4.941642422609304,6.84,3.9,4.92,4.37
balls,1.7692307692307692,5.3981627015177525,3.3115,1.9459101490553132,NA,NA,NA,NA
band,2.4285714285714284,6.4967749901858625,3.4354,3.1780538303479458,6.44,4.52,4.68,6.16
bang,2.2857142857142856,5.049856007249537,3.0086,3.1354942159291497,5.1,6.09,3.77,5.74
banged,2.4705882352941178,4.219507705176107,2.2068,1.9459101490553132,NA,NA,NA,NA
bank,2.466666666666667,6.9411900550683745,3.637,2.302585092994046,6,4.19,4.78,6.44
bar,3.0714285714285716,5.961005339623274,3.6421,2.0794415416798357,5,4.53,4.67,6.9
barber,1.1666666666666667,4.07753744390572,2.4472,2.4849066497880004,4.89,3.18,4.59,6.68
bark,2.0714285714285716,6.133398042996649,2.4487,2.833213344056216,4.86,3.4,4.52,5.17
barn,2.6,6.261491684321042,2.8414,2.995732273553991,6.16,3.57,4.79,4.5
basket,3.7,6.236369590203704,2.828,3.58351893845611,5.66,2.48,5,5.67
bat,1.9714285714285713,5.4116460518550396,3.0224,3.258096538021482,4.81,4.57,5,4.85
bath,3.8,5.37989735354046,3.2009,3.7376696182833684,7,3.25,4.85,3.23
bathroom,3.357142857142857,5.3471075307174685,3.4978,2.1972245773362196,5.26,2.86,4.52,3
bats,2.2,4.912654885736052,2.4914,3.044522437723423,NA,NA,4.76,NA
batter,2.5714285714285716,3.9889840465642745,2.3096,2.0794415416798357,5.24,3.85,4.41,7.05
battle,1.6,6.464588303689961,3.3336,2.8903717578961645,3.52,6.25,4,6.95
beach,3.230769230769231,6.638567789166521,3.4607,3.295836866004329,7.21,5.1,4.79,4.8
bean,2.642857142857143,4.736198448394496,2.5441,1.791759469228055,6,2.95,5,3.42
beans,2.8,5.993961427306569,2.8675,3.332204510175204,NA,NA,NA,NA
bear,2,7.68017564043659,3.4667,5.5134287461649825,5.33,4.5,4.88,3.58
beard,1.3333333333333333,5.0369526024136295,2.8089,1.6094379124341003,5.09,3.18,4.96,4.84
bears,2.3,6.049733455231958,2.7649,2.995732273553991,NA,NA,NA,NA
beautiful,4.6,7.624130585661289,4.1543,4.110873864173311,7.61,5.71,2.16,5.72
became,3,8.266678443305896,3.3867,3.367295829986474,NA,NA,NA,NA
because,3.142857142857143,9.470008697972764,4.7374,5.241747015059643,NA,NA,1.22,4.44
become,3.0714285714285716,8.310169021981912,3.7705,3.4657359027997265,6.32,3.43,1.54,5.85
bed,2.923076923076923,7.962415680121064,3.9797,5.181783550292085,7.16,3,5,2.89
bedroom,3.3846153846153846,5.924255797414532,3.2725,2.3978952727983707,7,4.9,4.9,3.9
bedtime,3.5384615384615383,3.6888794541139363,2.5011,2.3978952727983707,6.57,3.76,2.9,3.95
bee,3.2,5.3706380281276624,2.7235,3.8066624897703196,3.68,5.65,4.88,5
beef,1.7857142857142858,4.969813299576001,3.0026,2.0794415416798357,6.11,4.37,4.74,6.58
been,3.0625,10.01364156102802,4.9473,5.030437921392435,NA,NA,1.92,NA
bees,3.4285714285714284,5.58724865840025,2.4362,3.2188758248682006,5.14,5.53,4.72,NA
beetle,2.7142857142857144,4.276666119016055,2.0253,2.3978952727983707,4.2,4.45,4.83,5.32
before,3.0714285714285716,9.47608353690921,4.6075,4.912654885736052,NA,NA,1.96,5.45
began,3,8.796490207333578,3.2198,4.770684624465665,NA,NA,NA,NA
begged,2.857142857142857,5.056245805348308,2.5705,2.3978952727983707,NA,NA,NA,NA
begin,3,7.597897950521784,3.4634,2.4849066497880004,6.44,2.85,2.56,4.84
beginning,3.142857142857143,7.561121589530238,3.5079,3.1780538303479458,6.39,3,2.5,5.4
behind,3.2,8.24380842366528,3.9815,4.653960350157523,NA,NA,3.48,4.9
being,3,8.780941113572387,4.3941,4.23410650459726,NA,NA,1.93,5.99
believe,3.4285714285714284,7.8119734296220225,4.5036,3.6375861597263857,7.05,3.33,1.55,5.78
bell,3.5714285714285716,6.762729506931879,3.3025,3.9889840465642745,5.67,4.7,4.96,3.89
bells,3.5714285714285716,5.030437921392435,2.8274,3.044522437723423,NA,NA,NA,NA
belly,2.7857142857142856,4.543294782270004,2.9004,2.995732273553991,4.37,3.75,4.8,4.05
belong,3.235294117647059,6.261491684321042,3.3549,1.9459101490553132,6.5,2.9,1.43,6.47
below,2.9285714285714284,7.881182202227102,3.1556,3.044522437723423,NA,NA,3.45,5.84
beluga,2.8,NA,1.4624,2.0794415416798357,5.1,3.77,4.39,10.8
Ben,1.25,NA,3.6985,NA,NA,NA,NA,NA
bend,2.9285714285714284,5.575949103146316,2.8859,2.0794415416798357,5.75,4.4,3.88,5.56
bent,2.857142857142857,6.315358001522335,2.567,2.4849066497880004,NA,NA,3.62,NA
berries,3.9,5.327876168789581,2.2014,3.4339872044851463,NA,NA,NA,NA
berry,3.7333333333333334,2.9444389791664403,NA,1.9459101490553132,NA,NA,4.93,5.21
Bessy,4.6923076923076925,NA,NA,NA,NA,NA,NA,NA
best,2.5714285714285716,8.372398606513004,4.3144,4.700480365792417,NA,NA,1.6,4.09
bet,2.1,5.733341276897746,3.9427,2.772588722239781,4.95,4.76,3.1,7
better,3,8.567886305731756,4.6074,4.499809670330265,NA,NA,1.91,5.02
between,3,8.851663425366777,3.951,3.4965075614664802,NA,NA,2.72,5.47
beyond,3,7.148345743900068,3.3426,2.302585092994046,NA,NA,1.72,6.32
bicycle,2.857142857142857,6.082218910376446,2.5289,1.791759469228055,6.71,3.95,4.89,4.26
big,2,9.101975347298058,4.5419,6.0112671744041615,5.64,4.33,3.66,2.89
bigger,1.6428571428571428,6.666956792429207,3.4419,2.9444389791664403,NA,NA,3.53,NA
bike,2.2857142857142856,6.234410725718371,3.1209,3.4965075614664802,6.1,3.62,5,4.79
billions,2.5,5.049856007249537,2.3096,2.1972245773362196,NA,NA,NA,NA
Billy,1.5714285714285714,NA,3.5473,NA,NA,NA,NA,NA
bingo,3,NA,NA,2.3978952727983707,5.62,5,4,6.95
bird,3.3333333333333335,7.358193752733032,3.3653,4.812184355372417,6.75,3.83,5,3.52
birds,3.642857142857143,7.474204806496124,3.1209,3.912023005428146,NA,NA,NA,NA
birthday,3.2142857142857144,6.598509028614515,3.6954,4.07753744390572,6.37,4.6,3.2,2.85
bit,2.933333333333333,7.1929342212158,4.0787,3.871201010907891,5.05,3.86,3.27,6.47
bite,2.357142857142857,5.762051382780177,3.3183,3.1780538303479458,3.52,5.1,4.44,3.58
black,2.6,8.312135107648412,3.9328,4.59511985013459,5.4,3.58,3.76,3.56
blackberry,3.1176470588235294,2.0794415416798357,1.5911,1.6094379124341003,6.63,3.24,4.97,8.95
blade,2,5.056245805348308,2.8222,1.791759469228055,3.9,4.52,4.93,6.72
blanket,3.5833333333333335,5.846438775057725,2.8215,2.302585092994046,7.05,2.23,5,3.61
Blaze,2.1,NA,NA,NA,NA,NA,NA,NA
bless,3.5,3.7376696182833684,3.2526,1.9459101490553132,7,4.57,2.68,5.33
blew,3.142857142857143,6.238324625039508,3.2071,3.4965075614664802,NA,NA,NA,NA
blind,2.7857142857142856,6.035481432524756,3.3688,1.791759469228055,2.8,3.73,4.03,7
block,2.3333333333333335,6.594413459749778,3.3156,2.772588722239781,4.48,4.25,4.48,4.79
blow,2.533333333333333,6.522092798170152,3.697,3.2188758248682006,6.1,4.48,3.74,4
blue,2.4285714285714284,7.7475968386928855,3.7179,5.030437921392435,6.53,3.69,3.76,3.53
blueberry,3.3333333333333335,2.5649493574615367,2.1206,2.1972245773362196,7.11,3.23,4.96,6.22
Bly,3.1,NA,NA,NA,NA,NA,NA,NA
Bo,2.1538461538461537,NA,2.871,NA,NA,NA,NA,NA
boa,2.6923076923076925,2.1972245773362196,1.8261,2.302585092994046,3.63,5.23,4.92,9.56
board,2.2857142857142856,6.922643891475888,3.5149,2.302585092994046,5.33,3.52,4.57,6.37
boat,2.9375,7.370860166536716,3.689,3.912023005428146,6.36,4.05,4.93,3.84
bobbin,3.642857142857143,2.1972245773362196,0.9031,1.9459101490553132,NA,NA,NA,9.88
Bobby,1.7142857142857142,NA,3.55,NA,NA,NA,NA,NA
body,3.3076923076923075,8.558718938244736,3.9988,2.1972245773362196,5.95,4.62,4.79,4.28
boil,3.3846153846153846,4.330733340286331,2.4829,1.6094379124341003,4.48,5.42,4.2,6.6
bone,2.5294117647058822,6.2878585601617845,3.1239,2.4849066497880004,5.24,4.75,4.9,5.53
bonny,4.533333333333333,NA,1.9823,1.9459101490553132,5.1,3.22,NA,10.14
book,3.1,8.285008895449879,3.9555,4.51085950651685,7.05,3.13,4.9,3.68
books,2.923076923076923,7.808729306744399,3.5387,3.828641396489095,NA,NA,NA,NA
boom,2.3333333333333335,4.852030263919617,3.0465,3.1354942159291497,4.74,5.57,3.66,5.56
boots,2.3333333333333335,5.945420608606575,2.9903,2.6390573296152584,5.89,3.52,5,4.86
bored,2.642857142857143,5.075173815233827,3.0128,1.791759469228055,2.95,3.65,2.13,6.25
born,3.6,7.447751280047908,3.6303,3.091042453358316,7.33,3.9,3.22,4.68
both,3,8.74209519574531,4.1779,4.07753744390572,NA,NA,2.97,4.77
bother,2.5,5.429345628954441,3.5362,2.833213344056216,4.44,4.2,2,6.5
bottle,2.4166666666666665,6.359573868672378,3.4131,3.4339872044851463,5.47,3.32,4.91,3.56
bottom,3.076923076923077,7.419380582918692,3.406,3.6375861597263857,3.61,3.19,4.25,5.28
bout,2.6666666666666665,1.6094379124341003,2.989,2.0794415416798357,3.9,3.67,3,11.83
bow,2.98974358974359,5.673323267171493,3.0149,3.258096538021482,5.46,3.85,4.61,4.95
bowed,2.923076923076923,4.859812404361672,1.6232,1.6094379124341003,NA,NA,3.3,NA
box,2.857142857142857,7.615791072035833,3.6607,4.477336814478207,5.33,2.67,4.9,4.3
boy,1.5,8.449556542700426,4.4317,4.875197323201151,5.84,4.11,4.76,3.67
boys,1.0714285714285714,8.019283792916793,4.0582,3.871201010907891,NA,NA,NA,NA
brain,2.642857142857143,6.704414354964107,3.5943,3.332204510175204,6.22,3.35,4.69,5.76
brake,2.4615384615384617,3.9889840465642745,2.4857,1.6094379124341003,4.9,3.82,4.44,5.95
brakes,2.7142857142857144,4.430816798843313,2.5315,2.4849066497880004,NA,NA,NA,NA
branch,2.9,6.448889394146858,2.7118,3.1780538303479458,5.15,2.67,4.9,5.11
branches,2.5833333333333335,6.586171654854675,2.233,2.833213344056216,NA,NA,NA,NA
brass,2.5714285714285716,5.135798437050262,2.7917,1.6094379124341003,5.05,4,4.7,9.05
brave,2.5,6.089044875446846,3.209,2.772588722239781,7.38,4.95,2.26,6
bread,2.8461538461538463,6.803505257608338,3.1602,4.060443010546419,6.52,3.85,4.92,3.58
break,2.7142857142857144,7.146772179452637,4.0522,2.995732273553991,5.1,4.71,3.71,5.3
breakfast,3.125,6.90975328164481,3.5292,3.58351893845611,7.39,5,4.43,3.47
breaks,2.6153846153846154,5.455321115357702,2.9827,1.6094379124341003,NA,NA,NA,NA
breath,3.066666666666667,6.654152520183219,3.3602,2.9444389791664403,6.61,2.35,4.36,5.81
bricks,2.3529411764705883,4.9344739331306915,2.3032,2.1972245773362196,NA,NA,NA,NA
bridge,2.9,6.5722825426940075,3.3677,3.044522437723423,5.44,3.48,4.97,5.58
bridges,2.8,5.351858133476067,2.3997,1.6094379124341003,NA,NA,NA,NA
bright,3.642857142857143,7.277938572945661,3.3553,3.8918202981106265,6.84,5,3.92,6.58
brightly,3.9166666666666665,5.087596335232384,1.5911,1.6094379124341003,NA,NA,2.73,NA
bring,3.3333333333333335,7.6638772587034705,4.2224,3.6635616461296463,5.68,4.29,2.55,4.42
broke,2.642857142857143,6.853299093186078,3.7288,3.332204510175204,NA,NA,3.29,NA
broken,3,7.214504414151143,3.5605,3.2188758248682006,2.75,4.86,4.11,NA
broom,4,4.477336814478207,2.3874,2.3978952727983707,5.5,3.33,4.89,5.5
brother,1.2333333333333334,7.433666540166168,4.1608,4.31748811353631,6.18,4.48,4.43,3.63
brothers,1.2,6.4967749901858625,3.3804,3.8918202981106265,NA,NA,NA,NA
brought,3,8.025189321890835,3.9438,3.8501476017100584,NA,NA,2.23,NA
brown,2.3,7.416378479192928,NA,4.31748811353631,5.52,3.32,4.48,4.2
brush,3.642857142857143,6.180016653652572,2.8591,3.4011973816621555,5.47,3.18,4.54,3.78
brushed,3.066666666666667,5.1298987149230735,2.0934,2.302585092994046,NA,NA,3.29,NA
bubbles,3.8461538461538463,4.543294782270004,2.4857,2.1972245773362196,NA,NA,NA,NA
bucket,2.230769230769231,4.948759890378168,2.7093,1.9459101490553132,4.55,2.96,4.96,5.61
buckets,2.5,4.04305126783455,2.1553,2.302585092994046,NA,NA,NA,NA
buggy,2.7857142857142856,4.454347296253507,2.1072,2.302585092994046,4.65,4.04,4.18,6.95
bugs,2.857142857142857,5.214935757608986,2.8426,2.1972245773362196,NA,NA,NA,NA
build,2.0714285714285716,7.3833681469923835,3.3897,3.332204510175204,6.33,3.38,3.71,4.45
building,2.1538461538461537,7.744569809354496,3.7058,2.0794415416798357,5.47,3.35,4.64,6.16
built,1.9333333333333333,7.851661177889265,3.3222,3.5263605246161616,NA,NA,3.5,NA
bulldozer,1.8235294117647058,3.4965075614664802,1.8261,2.1972245773362196,4.81,4.05,4.9,5.61
bumble,3.2666666666666666,2.302585092994046,1.1139,2.4849066497880004,NA,NA,2.44,7.27
bump,2.9285714285714284,5.135798437050262,2.8,3.8066624897703196,5.05,4.75,4.1,4.35
bumpety,3,NA,NA,2.3978952727983707,NA,NA,NA,NA
bumpy,2.5,4.110873864173311,NA,2.4849066497880004,4.3,4.76,3.76,5.11
bunny,4.071428571428571,3.6109179126442243,NA,3.332204510175204,7.3,3.86,4.97,4.5
buns,3.7142857142857144,3.258096538021482,2.2878,1.9459101490553132,NA,NA,NA,NA
bunting,2.6666666666666665,NA,1.0792,1.9459101490553132,NA,NA,4,11.22
buried,2.6923076923076925,6.003887067106539,3.2403,2.0794415416798357,NA,NA,3.93,NA
burned,2.6153846153846154,6.523562306149512,3.1611,1.9459101490553132,NA,NA,3.72,NA
burnt,2.4285714285714284,3.8066624897703196,2.6893,1.9459101490553132,NA,NA,3.93,NA
burst,2.7857142857142856,5.84354441703136,2.6395,2.1972245773362196,5.43,5.09,3.1,7.72
bus,2.8,7.121252453244542,3.578,4.634728988229636,5.12,3.83,4.9,3.85
bush,3.2142857142857144,5.44673737166631,2.8579,3.2188758248682006,4.75,2.67,4.9,4.9
bushes,3.142857142857143,5.786897381366708,2.3979,3.258096538021482,NA,NA,NA,NA
business,2.5714285714285716,7.752335163302292,4.2141,2.3978952727983707,5.48,3.71,3.28,7.47
buster,1.6153846153846154,3.258096538021482,NA,2.0794415416798357,4.59,3.71,2.57,8.38
busy,3.1875,6.9930151229329605,3.7351,3.6375861597263857,5.41,4.52,2.41,5.95
but,3.0625,10.91217513367625,5.3527,7.089243155027514,NA,NA,2.04,4.6
butt,2.9411764705882355,3.367295829986474,3.294,1.6094379124341003,5.36,5.2,4.75,3.73
butter,3.0833333333333335,5.703782474656201,3.0183,3.4339872044851463,6.36,3.37,4.9,5.78
butterflies,4.2,4.330733340286331,2.0645,1.6094379124341003,NA,NA,NA,NA
butterfly,4.357142857142857,4.663439094112067,2.4502,3.5553480614894135,7.23,3.2,4.93,3.67
button,3.6,5.484796933490655,3.159,3.970291913552122,5.48,4.1,4.96,4.78
buttons,3.625,5.278114659230517,2.6484,2.9444389791664403,NA,NA,4.8,NA
buy,3,7.60887062919126,3.9919,3.8918202981106265,6.82,4.29,3.35,5.56
buzz,2,3.713572066704308,NA,2.833213344056216,NA,NA,3.7,7.1
bye,3.4285714285714284,NA,NA,4.174387269895637,NA,NA,2.25,3.28
cage,2.75,5.8522024797744745,3.0149,2.1972245773362196,3.11,4.2,5,5.06
cake,4.1,6.253828811575473,3.3615,4.02535169073515,7.58,5.33,4.81,3.26
California,3.142857142857143,NA,3.2951,NA,NA,NA,NA,NA
call,3.1666666666666665,8.024534871605695,4.6428,4.430816798843313,6.18,3.29,4,4.74
called,3.0714285714285716,9.6423824949348,4.2391,5.075173815233827,NA,NA,NA,NA
calling,3,6.253828811575473,3.8002,2.9444389791664403,NA,NA,2.85,NA
came,3.1875,9.396404915048972,4.3738,5.863631175598097,NA,NA,1.85,NA
camel,2.5714285714285716,4.955827057601261,2.4099,1.791759469228055,5.29,3.1,4.93,5.11
Camilla,5,NA,1.699,NA,NA,NA,NA,NA
camper,2.3333333333333335,2.302585092994046,1.8692,1.6094379124341003,5.21,4.53,4.63,6.67
can,2.8990384615384617,10.458033366991662,5.4275,6.541029999189903,6.41,3.14,4.55,4.32
candle,3.769230769230769,5.3612921657094255,2.6128,2.0794415416798357,6.14,3.81,4.86,5.37
cannot,2.933333333333333,8.042699496897637,3.8106,3.6888794541139363,NA,NA,2.33,4.83
cans,2.933333333333333,5.53338948872752,2.5933,3.091042453358316,NA,NA,NA,NA
cap,2.6,6.161207321695077,2.9809,2.772588722239781,5,3.27,4.59,5.53
captain,1.5625,6.953684210870537,NA,4.890349128221754,5.71,3.86,4.19,6.06
car,2.2142857142857144,8.212839584676484,4.3916,4.8283137373023015,6.63,4.04,4.89,3.37
cardboard,2.769230769230769,4.6913478822291435,2.143,1.9459101490553132,4.71,2.25,4.9,5.4
