word,gender,log_tasa_freq,log_subt_freq,log_kidbook_freq,valence,arousal,concreteness,adult_aoa
able,2.6,8.22040309993373,3.9115,3.091042453358316,6.64,3.38,2.38,7.79
aboard,2.7142857142857144,5.327876168789581,3.1332,1.9459101490553132,NA,NA,3.97,8.66
above,3.1,8.071218539969863,3.3969,3.4965075614664802,NA,NA,3.33,4.55
absolutely,2.857142857142857,5.389071729816501,3.7612,3.7612001156935624,NA,NA,1.97,7.08
accident,3,6.0063531596017325,3.6177,2.5649493574615367,2.55,4.93,3.26,5.3
across,2.9285714285714284,8.492285555710053,3.6814,4.430816798843313,NA,NA,3.07,6.64
act,2.8846153846153846,7.338238150065589,3.7455,2.3978952727983707,5.64,4.19,2.46,6.42
adopted,3.2,5.402677381872279,2.6345,2.302585092994046,NA,NA,2.39,NA
adventure,2.769230769230769,5.556828061699537,2.8363,2.302585092994046,7.4,6.36,2.59,5.67
afraid,3.0714285714285716,7.38025578842646,4.1015,3.828641396489095,2.25,5.12,2.7,4.42
after,2.8333333333333335,9.59014573330377,4.5417,5.4116460518550396,NA,NA,2.12,6
afternoon,3.3,7.256297239690681,3.669,3.6375861597263857,6.68,3.48,3.7,4.65
again,2.9,9.101083386039234,4.6067,5.575949103146316,NA,NA,2,5.78
against,2.7857142857142856,8.518192691749322,4.0124,3.332204510175204,NA,NA,1.8,7.97
ago,3.2,8.132706489693264,4.1641,3.2188758248682006,NA,NA,1.42,7.12
agree,3.1538461538461537,6.456769655572163,3.5184,2.1972245773362196,7.17,3.62,2.31,7.68
ah,3.1,5.5093883366279774,NA,3.1354942159291497,NA,NA,NA,NA
ahead,3,7.241366283322318,4.005,2.995732273553991,NA,NA,3,5.45
air,3.2142857142857144,8.851949671253948,3.8507,4.290459441148391,6.71,3.25,4.11,3.94
airplanes,2.7857142857142856,5.3981627015177525,2.2175,1.791759469228055,NA,NA,NA,NA
airport,2.7142857142857144,5.049856007249537,3.288,2.0794415416798357,6,5.5,4.87,6.84
AJ,2,NA,NA,NA,NA,NA,NA,NA
Al,1.6153846153846154,NA,3.7248,NA,NA,NA,NA,NA
Alan,1.1,NA,3.2245,NA,NA,NA,NA,NA
alarm,2.8823529411764706,5.552959584921617,3.1827,2.0794415416798357,3.86,6.85,4.47,6.39
Alexander,1.4,NA,2.6866,NA,NA,NA,NA,NA
alice,4.928571428571429,5.71042701737487,NA,3.6109179126442243,NA,NA,NA,NA
alive,3.1333333333333333,6.799055862058796,3.8965,2.302585092994046,6.57,5.93,3.14,5.11
all,2.9285714285714284,10.703648880750555,5.4204,7.10085190894405,NA,NA,2.27,4.24
