"NA",Gender (fem.),Arousal,Valence,Concreteness,AoA,Frequency (WCBC),Frequency (TASA)
Arousal,-0.07*,,,,,,
Valence,0.36***,-0.09**,,,,,
Concreteness,-0.12***,-0.18***,0.00,,,,
AoA,-0.08**,0.02,-0.19***,-0.25***,,,
Frequency (WCBC),0.09**,-0.05,0.21***,-0.07*,-0.5***,,
Frequency (TASA),0.00,-0.07**,0.15***,-0.21***,-0.4***,0.71***,
Frequency (SUBTLEX-us),0.04,0.09**,0.13***,-0.37***,-0.36***,0.66***,0.84***
