subj_id,word,rating
P97,able,2
P14,able,3
P59,able,3
P78,able,3
P61,able,3
P13,able,3
P38,able,2
P6,able,1
P47,able,3
P31,able,3
P124,above,3
P1,above,2
P80,above,3
P34,above,4
P49,above,3
P76,above,3
P94,above,3
P40,above,3
P54,above,4
P58,above,3
P140,absolutely,4
P116,absolutely,2
P158,absolutely,3
P82,absolutely,5
P110,absolutely,3
P141,absolutely,1
P73,absolutely,3
P128,absolutely,4
P17,absolutely,3
P20,absolutely,3
P98,absolutely,3
P3,absolutely,3
P100,absolutely,2
P55,absolutely,1
P77,across,3
P104,across,3
P64,across,3
P91,across,3
P156,across,3
P71,across,3
P23,across,3
P43,across,3
P147,across,3
P106,across,3
P25,across,3
P50,across,2
P133,across,3
P159,across,3
P57,afraid,3
P127,afraid,3
P113,afraid,3
P68,afraid,3
P142,afraid,4
P149,afraid,2
P51,afraid,4
P7,afraid,3
P37,afraid,3
P89,afraid,3
P12,afraid,3
P137,afraid,3
P22,afraid,3
P126,afraid,3
P79,after,3
P101,after,3
P18,after,3
P145,after,3
P119,after,3
P151,after,3
P26,after,3
P83,after,3
P29,after,3
P56,after,3
P96,after,2
P42,after,3
P92,after,2
P124,afternoon,3
P1,afternoon,4
P80,afternoon,3
P34,afternoon,4
P49,afternoon,3
P76,afternoon,2
P94,afternoon,4
P40,afternoon,3
P54,afternoon,4
P58,afternoon,3
P97,again,3
P14,again,3
P59,again,3
P78,again,3
P61,again,3
P13,again,3
P38,again,2
P6,again,3
P47,again,3
P31,again,3
P57,against,2
P127,against,3
P113,against,3
P68,against,3
P142,against,3
P149,against,4
P51,against,3
P7,against,3
P37,against,2
P89,against,3
P12,against,1
P137,against,3
P22,against,3
P126,against,3
P97,ago,3
P14,ago,3
P59,ago,3
P78,ago,3
P61,ago,3
P13,ago,3
P38,ago,4
P6,ago,4
P47,ago,3
P31,ago,3
P124,ah,3
P1,ah,2
P80,ah,3
P34,ah,3
P49,ah,3
P76,ah,2
P94,ah,4
P40,ah,3
P54,ah,5
P58,ah,3
P77,ahead,3
P104,ahead,3
P64,ahead,3
P91,ahead,3
P156,ahead,3
P71,ahead,3
P23,ahead,3
P43,ahead,3
P147,ahead,4
P106,ahead,3
P25,ahead,3
P50,ahead,2
P133,ahead,3
P159,ahead,3
P77,air,3
P104,air,3
P64,air,4
P91,air,3
P156,air,3
P71,air,3
P23,air,3
P43,air,3
P147,air,4
P106,air,3
P25,air,3
P50,air,4
P133,air,3
P159,air,3
P135,alice,4
P117,alice,5
P132,alice,5
P102,alice,5
P138,alice,5
P108,alice,5
P9,alice,5
P67,alice,5
P28,alice,5
P4,alice,5
P150,alice,5
P52,alice,5
P75,alice,5
P103,alice,5
P41,alice,5
P135,all,3
P117,all,3
P132,all,3
P102,all,3
P138,all,3
P108,all,3
P9,all,3
P67,all,3
P28,all,3
P4,all,3
P150,all,4
P52,all,2
P75,all,3
P103,all,3
P41,all,2
P77,alligator,3
P104,alligator,2
P64,alligator,2
P91,alligator,1
P156,alligator,3
P71,alligator,1
P23,alligator,2
P43,alligator,2
P147,alligator,2
P106,alligator,3
P25,alligator,2
P50,alligator,1
P133,alligator,3
P159,alligator,1
P135,allowed,3
P117,allowed,3
P132,allowed,3
P102,allowed,3
P138,allowed,4
P108,allowed,4
P9,allowed,2
P67,allowed,4
P28,allowed,3
P4,allowed,3
P150,allowed,4
P52,allowed,2
P75,allowed,3
P103,allowed,2
P41,allowed,3
P97,almost,3
P14,almost,3
P59,almost,3
P78,almost,4
P61,almost,3
P13,almost,3
P38,almost,3
P6,almost,3
P47,almost,3
P31,almost,2
P33,alone,4
P129,alone,3
P136,alone,4
P2,alone,3
P27,alone,4
P162,alone,3
P85,alone,2
P114,alone,4
P87,alone,3
P157,alone,3
P8,alone,3
P152,alone,3
P123,alone,2
P63,alone,4
P39,alone,3
P33,along,3
