word,female_target,male_target,male_score
</s>,0.6883230938714093,0.6838959412692895,-0.004427152602119788
a,0.999897671298089,0.9999041431214173,6.471823328246806e-6
abby,0.9988999509056647,0.9991141424193827,2.1419151371793177e-4
able,0.9999673617892599,0.9999315366202384,-3.582516902156385e-5
about,0.9999314673611898,0.999924305862268,-7.161498921770537e-6
above,0.999976539759518,0.9999285013750461,-4.8038384471871254e-5
according,0.9999784521725745,0.9999268829969714,-5.156917560311669e-5
across,0.9999666557413938,0.9999318030494377,-3.485269195602214e-5
act,0.9999719004451407,0.9999263201146252,-4.558033051549337e-5
actually,0.9999354840741674,0.9999249801261475,-1.0503948019935372e-5
added,0.9999428295129738,0.9998230004814489,-1.1982903152485402e-4
address,0.9999802266261746,0.9998995433440927,-8.068328208188369e-5
adler,0.9999759248090364,0.9998858832133045,-9.004159573189341e-5
afford,0.9999800995399327,0.999918130840882,-6.196869905072955e-5
afraid,0.9999663973761397,0.9999314329625576,-3.4964413582083687e-5
after,0.9999793616792588,0.9998958552373592,-8.350644189958345e-5
afternoon,0.9999769564870887,0.9998891377016597,-8.78187854290724e-5
again,0.999950967615229,0.9999300057609904,-2.0961854238499278e-5
against,0.9999679371317876,0.9999321529341535,-3.5784197634058934e-5
age,0.9999799618464957,0.9999021817278295,-7.778011866621526e-5
agnes,0.9999824840822896,0.9999153497236538,-6.713435863581196e-5
ago,0.9999696393961363,0.9999295525392549,-4.0086856881393906e-5
ahead,0.9999816676689744,0.9999106390055388,-7.102866343566827e-5
ai,0.9999401036960918,0.9999252426975258,-1.4860998565957573e-5
air,0.999954699117522,0.9999298330567787,-2.4866060743256035e-5
alan,0.9999568600385356,0.9999302712211784,-2.6588817357175998e-5
alex,0.999975373339572,0.9998872990362712,-8.807430330082244e-5
alive,0.999980630476698,0.9999036323664106,-7.699811028749615e-5
all,0.9999647017084097,0.9999240838080602,-4.0617900349482206e-5
almost,0.9999772763787638,0.9999283755350572,-4.890084370656744e-5
alone,0.999975951986293,0.9998868643557605,-8.908763053250279e-5
along,0.9999794026315298,0.9999233982151782,-5.600441635167375e-5
already,0.9999791769027688,0.9999262801007277,-5.289680204112468e-5
also,0.9999763593404095,0.9999272533002552,-4.9106040154289765e-5
although,0.9999770939879091,0.9999285758020373,-4.8518185871815334e-5
always,0.999848239721252,0.9998784492521344,3.0209530882396862e-5
am,0.9998160354058271,0.9998565538115599,4.051840573282561e-5
america,0.9999709445535114,0.9999320531082367,-3.889144527469135e-5
american,0.999975121879757,0.9999306593127235,-4.44625670334986e-5
an,0.999962269138357,0.9999294964248522,-3.277271350476951e-5
ancient,0.9999800740066667,0.9998996943279291,-8.037967873752994e-5
and,0.999978297463377,0.9999180621289456,-6.023533443133555e-5
andreas,0.9999826128534153,0.9999172139246073,-6.539892880796927e-5
anne,0.99997683576962,0.9998916626514428,-8.517311817723972e-5
another,0.9999783629190142,0.9998921218409591,-8.624107805510484e-5
answer,0.9999768745907801,0.999929496257425,-4.7378333355108104e-5
answered,0.9999813113881006,0.9999017349381352,-7.957644996547941e-5
any,0.9998751813383643,0.9998953268682785,2.014552991425056e-5
anyone,0.9999818835599189,0.9999159777436575,-6.590581626142455e-5
anything,0.9999674702575985,0.9999330529384273,-3.441731917119828e-5
anyway,0.9997735817422154,0.9998291720918923,5.559034967683729e-5
apartment,0.9999805515209316,0.9999248620729284,-5.568944800316e-5
appeared,0.9999819636346152,0.99991786320448,-6.410043013527211e-5
are,0.9999802951406912,0.9999002093373908,-8.008580330043369e-5
area,0.9999807993074593,0.999921761587398,-5.90377200613279e-5
aris,0.9999532203319107,0.9999303360694741,-2.2884262436573266e-5
arm,0.9998922667770974,0.9999043257951408,1.2059018043353298e-5
arms,0.9999137281487767,0.9999157799819484,2.0518331717012117e-6
armstrong,0.9999754814862277,0.9999306324121322,-4.484907409552097e-5
around,0.9999781066356299,0.9999267185519538,-5.1388083676107144e-5
arrived,0.9999818754114549,0.9999054862400498,-7.638917140506685e-5
art,0.9999773959653537,0.9999248594161978,-5.2536549155934864e-5
as,0.9999193885473178,0.9999163452981064,-3.0432492114096377e-6
aside,0.9999807148785052,0.99990103091777,-7.968396073509965e-5
ask,0.999930002361048,0.9999196235077136,-1.0378853334436222e-5
asked,0.9999770590285402,0.9998906800366935,-8.637899184671394e-5
asking,0.9999600507177389,0.9999314233474496,-2.8627370289302512e-5
asks,0.9999368305681215,0.9999228151284878,-1.401543963375218e-5
asleep,0.9999800166580713,0.9998987332394492,-8.128341862212451e-5
at,0.9999763030866944,0.9999217503488739,-5.45527378205124e-5
attack,0.9999758071416455,0.9999252290194744,-5.057812217101887e-5
attention,0.9999719033815506,0.9998764993190914,-9.540406245922561e-5
aunt,0.9999703842399608,0.9999297925616208,-4.05916783399185e-5
away,0.9997250824265654,0.9997934295025284,6.834707596292677e-5
baby,0.9988960083260321,0.999110574053111,2.1456572707889698e-4
back,0.9996424296071599,0.9997311155902074,8.868598304756503e-5
bad,0.9998360979564431,0.9998703735673201,3.427561087698816e-5
bag,0.9995816469787987,0.9996841508496681,1.0250387086940815e-4
bar,0.9997594451205243,0.9998184693247242,5.9024204199897845e-5
bathroom,0.9999636291799255,0.9999336440969424,-2.9985082983130518e-5
be,0.9999714595099619,0.9999244816345642,-4.6977875397757884e-5
beach,0.9999575207584985,0.9999320416845328,-2.547907396577287e-5
beautiful,0.9999649708975427,0.9999324460621368,-3.252483540583384e-5
became,0.9999777630274923,0.9999276251577169,-5.013786977536849e-5
because,0.999977041177521,0.9999283843177937,-4.865685972721412e-5
become,0.9999812711619118,0.9999075232913212,-7.374787059066801e-5
bed,0.9999782087911887,0.9999006573909844,-7.755140020426765e-5
bedroom,0.9999821587499724,0.999914850931932,-6.730781804042962e-5
been,0.999972667476595,0.9998798252682294,-9.284220836558443e-5
beer,0.9999761975466057,0.9998880046550638,-8.819289154193832e-5
before,0.9999773438497404,0.9998902179102274,-8.712593951298864e-5
began,0.9999641130128079,0.9999327886119517,-3.132440085618082e-5
behind,0.9999820002708277,0.9999174177060073,-6.458256482044789e-5
being,0.9999754238911831,0.9999286355776862,-4.6788313496914924e-5
believe,0.9999650309225525,0.9998618117404817,-1.0321918207079062e-4
believed,0.9999606804426182,0.9998529256554204,-1.0775478719782239e-4
belly,0.9999548590562014,0.9999293276441389,-2.55314120625183e-5
below,0.9999723696082201,0.9999306391410615,-4.1730467158607176e-5
beneath,0.9999815869509263,0.9999048482458395,-7.673870508684288e-5
beside,0.9999789263644886,0.999894908461529,-8.401790295964329e-5
best,0.999981495965093,0.9999184332248507,-6.3062740242259e-5
beth,0.9999815344571591,0.9999138050055022,-6.772945165689492e-5
better,0.9999695947134862,0.999870852105412,-9.874260807418711e-5
between,0.9999725958290467,0.9998783160972292,-9.427973181752591e-5
beyond,0.9999797578391614,0.9999249436060157,-5.4814233145683566e-5
big,0.9996500373277233,0.9997357066019726,8.566927424935589e-5
billy,0.9998119372946351,0.9998542243917611,4.2287097125948137e-5
bit,0.9999130534523388,0.9999144760303071,1.4225779683130213e-6
black,0.9997879799702615,0.999838170234481,5.019026421948514e-5
blood,0.999978654397969,0.9999195185367874,-5.913586118155845e-5
blue,0.9999609204418066,0.999930429338606,-3.0491103200636083e-5
board,0.9999508845333059,0.99993076271879755,-2.0121814508389235e-5
bobby,0.999022810926604,0.9992208459192569,1.9803499265280688e-4
body,0.9998807916813253,0.9998984249821589,1.7633300833597154e-5
book,0.9999583363198209,0.999929123467374,-2.9212852446947046e-5
books,0.9999602324930459,0.9999308138445194,-2.9418648526458036e-5
born,0.9999457906749434,0.9999292886031073,-1.6502071836121956e-5
both,0.9999657828623933,0.9999315178640826,-3.426499831071794e-5
bottle,0.9999758610108918,0.9998872706649408,-8.859034595098958e-5
bought,0.9999451649953435,0.9999291298081472,-1.603518719628383e-5
box,0.9998400264783227,0.9998717458051669,3.171932684420398e-5
boy,0.9996523835085168,0.9997409488864846,8.85653779677531e-5
boys,0.9997953869513759,0.9998445244010122,4.9137449636305064e-5
br,0.9995059068442702,0.9996214804532854,1.1557360901515157e-4
brain,0.9998998633199705,0.9999095927044026,9.729384432111132e-6
bread,0.9999774344673613,0.9999281407312888,-4.929373607254206e-5
breath,0.9999784505539834,0.9999285603977421,-4.989015624123905e-5
bright,0.9999450223694157,0.9999287103611576,-1.6312008258134725e-5
bring,0.9999019524724854,0.9999099663252232,8.01385273785371e-6
