word,female_target,male_target,male_score
</s>,0.7017157613545982,0.6972785118273975,-0.004437249527200704
1,0.783783963095606,0.7874176201713018,0.00363365707569574
2,0.854553370360996,0.8572180075419604,0.0026646371809644354
3,0.8195331682987202,0.8229572090562366,0.0034240407575163445
4,0.7859537964942815,0.7895946217754694,0.0036408252811878095
5,0.8402341863248194,0.8430615648198037,0.0028273784949842673
6,0.8388395082375008,0.8420885499509574,0.003249041713456635
7,0.8774455463469369,0.8799084323108719,0.0024628859639349576
a,0.9999586937384253,0.9998784208291094,-8.02729093158927e-5
â,0.9160550554539664,0.9184817263257126,0.002426670871746195
about,0.9999366055360472,0.9999492355860966,1.2630050049367014e-5
above,0.9999806247330109,0.9999238579161289,-5.6766816881936855e-5
absolutely,0.9999731443184602,0.9999540465592972,-1.909775916297818e-5
across,0.9999714998283971,0.9998952414500628,-7.625837833424853e-5
afraid,0.9999818532454803,0.9999375347267894,-4.431851869091119e-5
after,0.9999628108743837,0.9998763161876898,-8.649468669386096e-5
afternoon,0.9999805038187922,0.9999194724472062,-6.103137158597338e-5
again,0.9999704551575204,0.9999532464748588,-1.7208682661529195e-5
against,0.999976974964642,0.9999511625453693,-2.581241927268607e-5
ago,0.99998022912355,0.9999416388593682,-3.859026418184808e-5
ah,0.9999764014606253,0.9999427240038649,-3.3677456760417e-5
ahead,0.9999813394595365,0.9999253841904988,-5.5955269037677446e-5
air,0.9999809633028346,0.9999406683643298,-4.029493850477017e-5
alan,0.9999810419242213,0.9999325420241473,-4.849990007405047e-5
albie,0.9999751239793542,0.9999523430279093,-2.278095144492287e-5
alice,0.99998250557842006,0.9999389976001776,-4.35079782424852e-5
all,0.9999783987714113,0.9999353190998456,-4.307967156569337e-5
alligator,0.999979954426566,0.9999483398270237,-3.161459954226231e-5
almost,0.9999801349583384,0.9999475133115235,-3.262164681483437e-5
alone,0.9999801145320792,0.9999184233449685,-6.169118711074617e-5
along,0.9999777954691469,0.9999496149090832,-2.8180560063706395e-5
already,0.9999822978144126,0.9999280905552681,-5.4207259144511966e-5
also,0.9999802705327341,0.9999216944907185,-5.857604201553457e-5
always,0.9999801696281349,0.9999437532807248,-3.641634741002875e-5
am,0.9999588282236652,0.9999490699760909,-9.758247574320755e-6
amelia,0.9999818489145559,0.9999435934232841,-3.825549127178807e-5
amos,0.999981525607341,0.9999413101156669,-4.0215491674100434e-5
an,0.999979476221596,0.9999339703194073,-4.5505902188658354e-5
and,0.9999707254720707,0.9999519140879259,-1.8811384144723498e-5
angelina,0.9999812536514324,0.9999461297342671,-3.5123917165313934e-5
angry,0.9999747931556097,0.9999513824923135,-2.341066329614172e-5
animals,0.9999752619178103,0.9999526765833795,-2.2585334430780257e-5
anna,0.9999807292037068,0.9999351438674378,-4.558533626908279e-5
annabelle,0.9999825542606171,0.9999308775009782,-5.167675963890783e-5
anne,0.9999792406547762,0.9999174996286475,-6.174102612865884e-5
another,0.9999828366498601,0.9999282856706013,-5.4550979258771726e-5
answer,0.9999739320731407,0.9998996576492226,-7.427442391805261e-5
answered,0.9999756718925668,0.9999038323484206,-7.183954414613503e-5
any,0.9999647406282302,0.999953143926575,-1.1596701655181008e-5
anymore,0.9999832954881274,0.9999388022017777,-4.449328634970051e-5
anyone,0.9999825068308825,0.9999394381578465,-4.3068673036050775e-5
anything,0.9999386588125251,0.9999503317977694,1.1672985244293166e-5
anyway,0.9999581407025514,0.9999534900564062,-4.650646145187842e-6
anywhere,0.999982361035487,0.9999258892148974,-5.647182058954314e-5
apple,0.9999785959401957,0.9999462002992878,-3.239564090784519e-5
apples,0.9999819144046442,0.9999402022805586,-4.171212408565772e-5
applesauce,0.9999827957904277,0.9999403275256595,-4.246826476816956e-5
are,0.9999458296640658,0.9998451492521272,-1.0068041193855848e-4
arm,0.9999810233882527,0.9999329718034231,-4.805158482956706e-5
arms,0.9999803002875355,0.9999213588910957,-5.894139643980445e-5
arnie,0.9999818833891537,0.9999243856012185,-5.749778793517901e-5
around,0.9999750256417483,0.9999525642770162,-2.2461364732162536e-5
arrived,0.9999794680405204,0.9999155484797526,-6.391956076778893e-5
arthur,0.9999797967019618,0.9999474443465521,-3.235235540965942e-5
as,0.9999604539876247,0.9998754807088308,-8.497327879386507e-5
ask,0.9999795161156908,0.9999324311352045,-4.7084980486333805e-5
asked,0.9999815532385459,0.9999261658829282,-5.538735561771979e-5
asleep,0.9999734953730236,0.9998990065494402,-7.448882358340736e-5
at,0.9999793246021726,0.9999338924775089,-4.543212466379121e-5
ate,0.999974080028812,0.9999022942276214,-7.178580119060474e-5
away,0.9999738620692541,0.9999476619023384,-2.6200166915679723e-5
b,0.9977175921320957,0.9980809407160043,3.6334858390862923e-4
babar,0.9999680905037033,0.9999519893467077,-1.6101156995573795e-5
baby,0.9997543490328393,0.9998393626068417,8.501357400236831e-5
back,0.9998857836005209,0.9999234008370961,3.761723657513816e-5
bad,0.9999115406680023,0.9999368460169449,2.5305348942628036e-5
bag,0.999906526794371,0.9999338620058645,2.7335211493562106e-5
ball,0.9999543703290664,0.9999507705393373,-3.5997897290807046e-6
balloon,0.99997428357236,0.9999523570478853,-2.1926524474635833e-5
balloons,0.9999791446859708,0.9999488203887635,-3.03242972072848e-5
band,0.9999350032831963,0.9999480384934682,1.3035210271961084e-5
bang,0.9999305386714011,0.9999461823214385,1.5643650037366896e-5
barn,0.9999768294386868,0.9999491260978961,-2.770334079071901e-5
basket,0.9999809192458295,0.9999456853379395,-3.523390789006431e-5
bat,0.9999482072417161,0.9999508381079569,2.6308662408602856e-6
bath,0.9999411983485635,0.9999501535811928,8.955232629226373e-6
bats,0.9999733781524901,0.9999513794797056,-2.1998672784517836e-5
be,0.9999773334923954,0.999939059015939,-3.827447645632365e-5
beach,0.9999798695201392,0.9999460225067508,-3.3847013388377256e-5
beans,0.9999823959168204,0.9999309809677512,-5.141494906912847e-5
bear,0.9999778400302582,0.9999122189781577,-6.562105210050628e-5
bears,0.9999754801546739,0.9999042770067367,-7.120314793718219e-5
beautiful,0.9999462437820638,0.9999522400751375,5.9962930737400555e-6
became,0.999982275204278,0.9999332584738451,-4.9016730432893674e-5
because,0.9999829150772733,0.9999335275798176,-4.93874974557551e-5
become,0.9999824710636889,0.9999381120725244,-4.435899116450592e-5
bed,0.9999647336452331,0.9999528933997747,-1.1840245458416554e-5
bedelia,0.9999815127272251,0.9999455121646853,-3.600056253982853e-5
bee,0.9999730469188082,0.9999011985241341,-7.184839467411219e-5
been,0.999980006732152,0.9999208407131248,-5.9166019027223626e-5
beep,0.9999810355910538,0.9999342123511783,-4.682323987548198e-5
bees,0.9999705693663532,0.9998938078127155,-7.676155363767201e-5
