word,female_target,male_target,male_score
</s>,0.6699170696483028,0.6650751848715905,-0.004841884776712324
1,0.7515346909177614,0.7555950288657773,0.0040603379480159685
2,-0.0450786245289556,-0.04537876821356707,-3.0014368461146745e-4
a,0.9999757640825715,0.9999313765525867,-4.438752998481288e-5
able,0.9999723158001192,0.9998920091553241,-8.030664479519167e-5
about,0.9999820001940786,0.9999492293706217,-3.2770823456873543e-5
above,0.999982174011579,0.9999205941840914,-6.157982748755675e-5
across,0.9999840540295196,0.999925017941499,-5.903608802060312e-5
actually,0.9999821324945923,0.9999199221701538,-6.221032443853858e-5
adam,0.9999826977521655,0.9999341855528846,-4.851219928092565e-5
added,0.9999166785619821,0.9997936234808747,-1.230550811073261e-4
adleman,0.9999750066662779,0.9998975071453376,-7.74995209402718e-5
afraid,0.9999848012753231,0.9999324744345964,-5.2326840726646395e-5
after,0.9999435711960448,0.999835571051614,-1.0800014443079764e-4
afternoon,0.9999801863940934,0.9999105326292574,-6.965376483591967e-5
again,0.9999603546910032,0.9999578927391556,-2.461951847609889e-6
against,0.9999811557376552,0.9999531714836968,-2.798425395844628e-5
age,0.9999727492405509,0.99989254083372,-8.020840683087282e-5
ago,0.9999674187798178,0.9999570046528486,-1.0414126969116033e-5
ahead,0.9999788755724528,0.9999076870129886,-7.1188559464197e-5
air,0.9999739611083177,0.9999552450923151,-1.871601600256234e-5
alef,0.9999113964228153,0.9997847398203575,-1.2665660245780863e-4
alive,0.9999701390616583,0.9998860463654131,-8.409269624520821e-5
all,0.9999716206197699,0.9998963825981432,-7.523802162667792e-5
allan,0.9999833740586263,0.9999285645523549,-5.4809506271347175e-5
allowed,0.9999512568304081,0.9998495453923454,-1.0171143806270155e-4
almost,0.9999834688507225,0.9999228010585814,-6.0667792141089194e-5
alone,0.9999710646141562,0.9998882946934009,-8.276992075528788e-5
along,0.9999780227903933,0.9999551169783856,-2.290581200770081e-5
already,0.9999792133688804,0.9999071975053284,-7.201586355198852e-5
also,0.9999825328310056,0.9999213247896626,-6.120804134301938e-5
although,0.9999629914369901,0.9999590681727119,-3.923264278227201e-6
always,0.9999827722820938,0.9999477167969035,-3.505548519022739e-5
am,0.9999702837787027,0.9999504543162233,-1.982946247935935e-5
american,0.9999841227466562,0.999923858756035,-6.0263990621201025e-5
amina,0.9999701474092744,0.9999580194078285,-1.2128001445899095e-5
among,0.9999583026575657,0.9999586352832879,3.326257221880624e-7
an,0.9999703554660578,0.9999542695005249,-1.6085965532930402e-5
and,0.9999823878752921,0.9999397757724386,-4.261210285350092e-5
another,0.9999858720002344,0.9999304557231001,-5.5416277134234804e-5
answer,0.9999797879105022,0.9999078048612254,-7.198304927680255e-5
answered,0.9999592607502555,0.9998630390561867,-9.622169406886538e-5
any,0.9999329012925285,0.9999508187092858,1.7917416757273763e-5
anyone,0.99998548913529,0.9999386536274505,-4.683550783946e-5
