word,female_target,male_target,male_score
</s>,0.6845439641636417,0.6767003513573322,-0.007843612806309519
1,0.7301772448634782,0.7368624425221804,0.0066851976587021245
2,0.42907299906211815,0.43218105302512494,0.003108053963006785
a,0.9998358232253949,0.9998595109241917,2.3687698796792667e-5
able,0.9999551672414104,0.9998397433369428,-1.154239044676153e-4
about,0.9997103636844976,0.9998119383190811,1.0157463458349003e-4
above,0.9999545752908446,0.9998445723086472,-1.1000298219743243e-4
across,0.9999227166766997,0.9998756043460059,-4.711233069387699e-5
actually,0.9998156207506518,0.999858594904831,4.2974154179198365e-5
adam,0.9998713194769843,0.9998739769915501,2.6575145658513932e-6
added,0.9999328832585909,0.9997254405443896,-2.0744271420125582e-4
afraid,0.9999352708904703,0.9998695030164285,-6.576787404177775e-5
after,0.9999270889564873,0.9997077731647218,-2.1931579176548421e-4
afternoon,0.999957484956813,0.9998086798707774,-1.4880508603565268e-4
again,0.9998707743735782,0.9998748832448306,4.108871252461732e-6
against,0.9998999635696505,0.9998790850867875,-2.087848286302929e-5
age,0.9999509171714518,0.9997781143327644,-1.7280283868736923e-4
ago,0.9997761094163872,0.9998423724231256,6.626300673839847e-5
ahead,0.9999576466839679,0.9998301530248942,-1.2749365907371857e-4
air,0.9999440441702582,0.9998608826727221,-8.316149753606616e-5
alan,0.9999142563002411,0.9998765772705505,-3.767902969065151e-5
alive,0.9999519224904616,0.9997801714559356,-1.7175103452604645e-4
all,0.9998573637330586,0.9998677063298158,1.0342596757251243e-5
almost,0.9998824056254021,0.9998780785939013,-4.327031500772627e-6
alone,0.9999568442594423,0.9998040979360694,-1.5274632337292093e-4
along,0.999874893662487,0.9998762665293118,1.3728668247781073e-6
already,0.9999580257054207,0.9998217925917199,-1.3623311370081215e-4
also,0.9998740356774405,0.9998757926858051,1.7570083645779278e-6
although,0.9997643041789351,0.9998385027776171,7.419859868196266e-5
always,0.9998336406070885,0.9998649683164157,3.13277093272335e-5
am,0.9997524396276678,0.9998301916253822,7.775199771442587e-5
american,0.99995813406549,0.9998170899713245,-1.410440941654878e-4
among,0.9998500193380686,0.99987099129468,2.097195661143747e-5
an,0.9999393356218067,0.9998616173234015,-7.771829840519384e-5
and,0.9999488985863063,0.9998522672241361,-9.663136217019641e-5
andy,0.9999076622217324,0.9998772801779191,-3.038204381333731e-5
angry,0.9999071564215881,0.9998777432093917,-2.9413212196405247e-5
animal,0.9998872622369088,0.9998780861141852,-9.176122723664193e-6
another,0.999958376780479,0.9998129066170846,-1.4547016339450103e-4
answer,0.9999377595260974,0.9997335163187508,-2.042432073465772e-4
any,0.9998652240696991,0.9998732467157337,8.022646034611114e-6
anymore,0.9999584153352292,0.9998275026276606,-1.3091270756859785e-4
anyone,0.999957871882371,0.9998180216416193,-1.3985024075169328e-4
anything,0.999877124781094,0.9998774720784641,3.472973700846538e-7
anyway,0.9998266120203338,0.9998625524344682,3.594041413435001e-5
apartment,0.9999579793408355,0.9998306857233266,-1.2729361750896118e-4
appeared,0.999947739145597,0.9997641893686122,-1.8354977698475938e-4
are,0.9998835626638203,0.9996182255857726,-2.6533707804765605e-4
area,0.999940258989484,0.9997416071575929,-1.986518318911612e-4
arm,0.9999338045343402,0.9998677774946081,-6.602703973213053e-5
arms,0.9999283497781428,0.999872932311691,-5.541746645176815e-5
around,0.9999313539808017,0.9998738339958905,-5.751998491121402e-5
arrived,0.9999249935536226,0.9997023730100778,-2.2262054354482697e-4
art,0.9999548120935029,0.999840038575632,-1.1477351787092527e-4
as,0.9998979618174555,0.9998747243526875,-2.323746476795563e-5
ask,0.9998711433934102,0.9998718808580255,7.374646152635833e-7
asked,0.9999495607522283,0.999770979932489,-1.7858081973931572e-4
at,0.9999195504883593,0.9998725766510392,-4.697383732010785e-5
athena,0.9999581484934137,0.9998276603377497,-1.3048815566396588e-4
attention,0.9999580305138135,0.9998233409428835,-1.3468957092999112e-4
away,0.9997941142916021,0.9998490443621622,5.493007056001087e-5
baby,0.9989870870163425,0.999320184074422,3.330970580794901e-4
back,0.9995377377242088,0.9997080224747414,1.7028475053260106e-4
bad,0.9997391837770606,0.9998245642823116,8.538050525097596e-5
bag,0.9993117429398762,0.9995568607221397,2.451177822634376e-4
bar,0.9998548356324224,0.9998694077280683,1.4572095645926098e-5
bare,0.9999497320023516,0.9997721658327072,-1.77566169644372e-4
barely,0.999953774237398,0.9998487598033944,-1.0501443400356969e-4
bathroom,0.9998486731231128,0.9998715696503204,2.289652720766089e-5
be,0.9999007862838275,0.9996563704005434,-2.4441588328405484e-4
beach,0.9999450056164771,0.9998626749868461,-8.233062963103333e-5
beautiful,0.9999037976873365,0.9998787810058287,-2.5016681507783467e-5
became,0.9999384111032199,0.9997376186855713,-2.0079241764858757e-4
because,0.9999552506516325,0.9997955192792112,-1.597313724213123e-4
become,0.9999411535859966,0.9997457994988312,-1.9535408716531144e-4
bed,0.9999277133223972,0.9997134672720849,-2.142460503122834e-4
bedroom,0.9999543781697723,0.999847835730538,-1.0654243923424733e-4
been,0.9998421242689833,0.999545840892456,-2.962833765273176e-4
before,0.9999079501938151,0.9996663059978698,-2.4164419594530084e-4
began,0.9999543855105949,0.9998449337103367,-1.094518002582312e-4
beginning,0.9999481638142932,0.9998581439955724,-9.001981872081011e-5
behind,0.9999565046408752,0.9998396265195953,-1.1687812127980646e-4
being,0.9999553483656776,0.9998415389452355,-1.1380942044203479e-4
believe,0.9998648764130935,0.9995845800479178,-2.802963651756807e-4
believed,0.9998796294589531,0.9996111286490117,-2.685008099414521e-4
below,0.9999538435008821,0.9998468792351745,-1.0696426570766526e-4
beneath,0.9999498608815556,0.9997709944152398,-1.7886646631581904e-4
beside,0.9999314555083483,0.9997183243565144,-2.1313115183385634e-4
best,0.9999554555808149,0.9997998423582586,-1.556132225563056e-4
better,0.9998978310927824,0.9996457466430265,-2.5208444975588495e-4
between,0.9998551370470268,0.999567434337744,-2.8770270928279995e-4
beyond,0.9999538906917453,0.9998481318239881,-1.0575886775721077e-4
