book_id,word
M1,george
M1,mother
M1,his
M1,he
M1,she
M2,sal
M2,her
M2,mother
M2,she
M2,his
M2,he
M4,his
M4,he
M5,mom
M5,grandpa
M5,he
M5,his
M6,corduroy
M6,he
M6,him
M6,girl
M6,mommy
M6,she
M6,her
M6,mother
M6,his
M6,himself
M6,lisa
M7,george
M7,he
M7,man
M7,him
M7,his
M7,girl
M7,her
M7,brother
M7,himself
M8,mother
M8,her
M8,him
M8,she
M8,he
M8,his
M8,boy
M8,grandma
M8,man
M8,mommy
M9,boy
M9,his
M9,mother
M9,father
M9,brother
M9,he
M10,peter
M10,he
M10,his
M10,mother
M10,she
M11,peddler
M11,he
M11,his
M11,himself
M11,him
M12,nutbrown
M12,he
M12,his
M12,him
M13,harold
M13,he
M13,his
M13,him
M14,anna
M14,she
M14,her
M14,father
M14,mother
M14,uncle
M14,aunt
M14,grandpa
M14,he
M14,grandma
M14,girl
M14,lady
M15,she
M15,girl
M15,her
M15,herself
M15,clover
M15,annie
M17,madeline
M17,she
M17,pooh
M17,her
M17,he
M17,his
M18,she
M18,man
M18,her
M18,michael
M18,mack
M18,he
M18,his
M18,himself
M18,lady
M19,david
M19,mom
M20,pa
M20,him
M20,his
M20,he
M21,mother
M21,her
M21,stellaluna
M21,she
M21,herself
M22,sylvester
M22,duncan
M22,his
M22,mother
M22,father
M22,he
M22,him
M22,himself
M22,her
M22,she
M23,she
M23,boy
M23,he
M23,her
M23,his
M23,herself
M24,he
M24,his
M24,him
M24,sister
M24,sarah
M24,mother
M24,father
M24,she
M25,he
M25,him
M26,she
M26,man
M26,her
M26,al
M26,grandmother
M26,girl
M26,herself
M27,lorax
M27,him
M27,he
M27,his
M27,grandfather
M27,ma
M27,man
M27,mister
M27,dad
M27,himself
M28,he
M28,his
M28,mother
M28,boy
M29,his
M29,nick
M29,she
M29,he
M29,philip
M29,mother
M29,him
M29,mom
M29,man
M29,dad
M29,mickey
M30,camilla
M30,she
M30,her
M30,mother
M30,he
M30,him
M30,father
M30,man
M30,woman
M30,herself
M31,he
M31,mom
M33,mike
M33,mulligan
M33,her
M33,he
M33,she
M33,boy
M33,his
M33,girl
M33,him
M34,his
M34,babar
M34,mother
M34,him
M34,she
M34,her
M34,he
M34,himself
M34,lady
M34,boy
M34,arthur
M34,celeste
M34,nick
M35,max
M35,his
M35,mother
M35,he
M35,him
M36,peter
M36,mother
M36,father
M36,he
M36,her
M36,she
M36,his
M36,himself
M36,him
M37,his
M37,ferdinand
M37,he
M37,mother
M37,him
M37,she
M37,himself
M38,mother
M38,her
M38,he
M38,she
M38,his
M39,she
M39,her
M39,mother
M39,father
M39,chrysanthemum
M39,herself
M39,rita
M39,grandmother
M39,girl
M40,boy
M41,his
M41,he
M42,mouse
M42,he
M42,him
M42,his
M42,himself
M43,his
M43,uncle
M43,jake
M44,she
M44,her
M44,teddy
M44,him
M44,he
M44,his
M45,lady
M46,he
M47,sister
M47,mommy
M47,daddy
M48,sam
M49,george
M49,he
M49,him
M49,his
M49,man
M49,himself
M49,boy
M49,woman
M49,her
M50,pete
M52,duck
M52,he
M52,boy
M52,his
M52,her
M52,she
M52,himself
M53,harry
M53,he
M53,his
M53,girl
M53,her
M53,father
M53,brother
M53,him
M53,daddy
M54,dinosaur
M54,his
M54,he
M54,teddy
M54,dinosaurs
M55,lilly
M55,she
M55,her
M55,he
M55,his
M55,brother
M55,mother
M55,father
M55,him
M55,man
M56,his
M56,she
M57,maisy
M57,she
M57,her
M57,he
M57,woman
M57,charley
M58,olivia
M58,she
M58,herself
M58,brother
M58,he
M58,her
M58,mother
M58,father
M58,mommy
M59,she
M59,brother
M59,sister
M59,he
M59,her
M59,him
M59,his
M60,he
M60,him
M61,he
M61,mom
M61,dad
M61,him
M61,his
M62,he
M62,himself
M62,his
M63,she
M63,trixie
M63,her
M63,daddy
M63,mommy
M64,lulu
M64,she
M64,her
M64,brother
M64,he
M64,girl
M64,his
M65,amos
M65,mcgee
M65,he
M65,his
M65,himself
M66,froggy
M66,he
M66,max
M66,his
M66,mother
M66,she
M66,him
M66,herself
M66,mom
M67,pinkalicious
M67,mommy
M67,she
M67,her
M67,sister
M67,he
M67,daddy
M67,lady
M68,maisy
M68,her
M68,charley
M69,olivia
M69,her
M69,mother
M69,mommy
M69,she
M69,brother
M69,he
M69,daddy
M69,father
M70,his
M71,him
M71,he
M72,pete
M73,charlie
M73,she
M73,her
M73,boy
M73,his
M74,his
M74,bear
M74,he
M76,emily
M76,clifford
M76,he
M76,him
M76,girl
M76,her
M76,his
M76,man
M76,she
M77,sally
M77,him
M77,he
M77,mother
M77,man
M77,his
M77,her
M77,she
M80,alexander
M80,al
M80,he
M80,his
M80,brother
M81,gilly
M81,his
M81,he
M82,duncan
M82,his
M82,him
M82,he
M82,sister
M82,her
M82,she
M83,arthur
M83,his
M83,he
M83,mom
M83,her
M83,she
M83,francine
M83,father
M83,boy
M83,mother
M83,grandma
M83,him
M84,max
M84,sister
M84,ruby
M84,grandma
M84,his
M84,teddy
M84,he
M84,she
M84,him
M85,moose
M85,he
M85,mother
M85,him
M85,his
M85,grandmother
M85,her
M86,him
M87,brother
M87,he
M87,fred
M87,lizzy
M87,his
M87,sister
M87,she
M87,her
M87,dad
M88,elizabeth
M88,she
M88,her
M88,his
M88,he
M89,girl
M89,laura
M89,her
M89,pa
M89,ma
M89,sister
M89,she
M89,he
M89,his
M89,him
M90,angelina
M90,she
M90,her
M90,he
M90,spike
M90,sammy
M90,mother
M91,he
M91,horton
M91,him
M91,his
M91,her
M92,father
M92,his
M92,mother
M92,her
M92,gloria
M92,frances
M92,she
M92,girl
M92,he
M93,princess
M93,she
M93,her
M93,ed
M93,he
M93,his
M93,him
M93,lisa
M94,martha
M94,she
M94,he
M94,himself
M94,his
M94,herself
M95,lady
M95,her
M95,she
M95,aunt
M95,girl
M95,grandfather
M95,he
M95,him
M95,his
M95,himself
M95,mother
M95,woman
M96,uncle
M96,grandma
M96,she
M96,her
M96,lydia
M96,finch
M96,him
M96,he
M96,his
M96,ed
M96,emma
M97,lisa
M97,her
M97,she
M97,his
M97,he
M97,mother
M97,him
M97,girl
M98,arnie
M98,he
M98,him
M98,his
M98,madame
M98,she
M98,grandma
M98,man
M98,himself
M98,ma
M99,mom
M99,her
M99,she
M99,lady
M99,he
M99,him
M99,his
M99,man
M99,girl
M99,himself
M100,his
M100,he
M100,her
M100,she
L101,mother
L101,cinderella
L101,bo
L101,jill
L101,his
L103,nelson
L103,woman
L103,she
L103,her
L103,he
L103,his
L103,herself
L104,gerald
L104,his
L104,he
L104,him
L105,his
L105,he
L105,him
L105,man
L105,himself
L106,jenny
L106,her
L106,him
L106,he
L106,himself
L106,girl
L106,his
L106,she
L106,solomon
L106,arabella
L106,antonio
L106,sister
L106,man
L106,lee
L106,herself
L106,al
L106,mulligan
L106,madame
L106,woman
L106,brother
L107,her
L107,she
L107,thomas
L107,he
L107,him
L108,thomas
L108,he
L108,him
L108,his
L108,james
L108,man
L108,himself
L109,annabelle
L109,she
L109,herself
L109,he
L109,his
L109,her
L109,mom
L109,dad
L109,girl
L110,square
