book_id,title,publisher,publisher_desription,n_pages,google_mean_rating,google_num_ratings,cover_thumbnail_url,preview_url
M91,HORTON HEARS A WHO!,HarperCollins UK,"The timeless classic from the iconic Dr. Seuss _Ê_ now available in ebook, with read-along narration performed by Miranda Richardson. Enjoy this classic tale of a big-hearted elephant anytime, anywhere!",64,4,5,http://books.google.com/books/content?id=3fY9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=3fY9DwAAQBAJ&dq=isbn:9780008202446&hl=&cd=1&source=gbs_api
M85,IF YOU GIVE A MOOSE A MUFFIN,Harper Collins,"If a big hungry moose comes to visit, you might give him a muffin to make him feel at home. If you give him a muffin, he'll want some jam to go with it. When he's eaten all your muffins, he'll want to go to the store to get some more muffin mix. In this hilarious sequel to If You Give a Mouse a Cookie, the young host is again run ragged by a surprise guest. Young readers will delight in the comic complications that follow when a little boy entertains a gregarious moose.",32,4,51,http://books.google.com/books/content?id=qfTVeqUU3awC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=qfTVeqUU3awC&printsec=frontcover&dq=isbn:9780060244057&hl=&cd=1&source=gbs_api
M47,I'M A BIG SISTER,Harper Collins,"With an author's note about what big siblings need_Êîextra guidance, reassurance, love_Êîand sweet, engaging artwork, it's no wonder that nearly 4 million families have chosen I_Ê_m a Big Sister and its companion book, I_Ê_m a Big Brother, to prepare their young ones for their first big transition. ""Someone new is at our house,"" begins this loving, reassuring celebration of brotherhood from trusted author Joanna Cole. Told through the eyes of a new older sister, this simple story lays out all the good things about being an older sibling, and just how exciting welcoming a new member to the family can be.",32,4,16,http://books.google.com/books/content?id=v3p0AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=v3p0AgAAQBAJ&printsec=frontcover&dq=isbn:9780062347138&hl=&cd=1&source=gbs_api
L166,WHERE'S SPOT?,Penguin Books Limited,A mother dog finds eight other animals hiding around the house before finding her lost puppy. Movable flaps conceal portions of the illustrations and text.,22,NA,NA,http://books.google.com/books/content?id=Cr1kMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Cr1kMQEACAAJ&dq=isbn:9780141343747&hl=&cd=1&source=gbs_api
M41,LITTLE BLUE TRUCK LEADS THE WAY,Houghton Mifflin Harcourt,"A country truck feels out of place in the speedy, noisy city until he comes to the rescue during a giant traffic jam.",40,3.5,4,http://books.google.com/books/content?id=lkuRQ_Qrub8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=lkuRQ_Qrub8C&printsec=frontcover&dq=isbn:9780152063894&hl=&cd=1&source=gbs_api
L214,I AM A BUNNY,Golden Books,"I am a bunny. My name is Nicholas. I live in a hollow tree. In the spring, Nicholas likes to sniff the flowers, and in the summer, watch the frogs in the pond. In the fall, he watches the animals getting ready for winter, and in winter, watches the snow falling from the sky. One of Golden's most beloved titles, this beautifully illustrated, gentle story is now available as an eBook.",26,5,1,http://books.google.com/books/content?id=b1m3WXcqRnYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=b1m3WXcqRnYC&printsec=frontcover&dq=isbn:9780307974679&hl=&cd=1&source=gbs_api
L208,FIRST 100 WORDS,Macmillan,"Presents pictures of individually labeled items that are grouped into sections based on what they are, such as things that go, pets, and food.",16,5,3,http://books.google.com/books/content?id=8_BfAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=8_BfAwAAQBAJ&printsec=frontcover&dq=isbn:9780312495411&hl=&cd=1&source=gbs_api
L202,"IF YOU EVER WANT TO BRING A PIANO TO THE BEACH, DON'T!","Little, Brown Books for Young Readers","Elise Parsley's tale of the charismatic and willful Magnolia's disastrous trip to the beach follows up her New York Times bestselling debut, If You Ever Want to Bring an Alligator to School, Don't! If your mom says to get ready to play at the beach, she means with a boat, or a Frisbee, or a shovel. She is NOT talking about the piano. But Magnolia is a little girl with a big idea, determination, and one very heavy upright piano that, she insists, she needs to take with her. What's the worst that can happen? In a riotous series of mishaps, Magnolia quickly learns that--not surprisingly--a piano doesn't mix well with sand, sun, and seagulls!",40,3.5,31,http://books.google.com/books/content?id=OomDCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=OomDCgAAQBAJ&printsec=frontcover&dq=isbn:9780316271028&hl=&cd=1&source=gbs_api
L204,IF ANIMALS KISSED GOOD NIGHT,Macmillan,"Rhyming text explores what would happen if animals kissed like humans do, from a slow kiss between a sloth and her cub to a mud-happy kiss from a hippo calf to his father.",32,3,1,http://books.google.com/books/content?id=5yUEAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=5yUEAwAAQBAJ&printsec=frontcover&dq=isbn:9780374300210&hl=&cd=1&source=gbs_api
L133,THE COLOR KITTENS,Golden Books,"While the color kittens are trying to make green paint, their mixing leads to pink, orange, and purple.",26,NA,NA,http://books.google.com/books/content?id=W3laMP5gkssC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=W3laMP5gkssC&printsec=frontcover&dq=isbn:9780375853357&hl=&cd=1&source=gbs_api
