term,estimate,std.error,statistic,p.value
(Intercept),4.386,1.298,3.38,0.001
Character Gender Score,-0.613,0.468,-1.311,0.191
Publication Year,-0.001,0.001,-1.091,0.277
Character Gender Score:Publication Year,0,0,1.357,0.176
