book_id,review_id,n_female_token,n_male_token,n_reviews_total,n_reviews_gendered,prop_review_gendered,mean_rating
L101,3049,0,1,304,68,0.2236842105263158,4.75
L101,3052,2,0,304,68,0.2236842105263158,4.75
L101,3053,0,1,304,68,0.2236842105263158,4.75
L101,5498,0,1,304,68,0.2236842105263158,4.75
L101,7889,1,0,304,68,0.2236842105263158,4.75
L101,7892,2,1,304,68,0.2236842105263158,4.75
L101,7894,1,0,304,68,0.2236842105263158,4.75
L101,10238,0,1,304,68,0.2236842105263158,4.75
L101,10239,1,0,304,68,0.2236842105263158,4.75
L101,10246,1,0,304,68,0.2236842105263158,4.75
L101,12562,1,0,304,68,0.2236842105263158,4.75
L101,14856,1,0,304,68,0.2236842105263158,4.75
L101,14858,1,0,304,68,0.2236842105263158,4.75
L101,17124,1,0,304,68,0.2236842105263158,4.75
L101,17125,1,0,304,68,0.2236842105263158,4.75
L101,19349,0,1,304,68,0.2236842105263158,4.75
L101,19357,1,0,304,68,0.2236842105263158,4.75
L101,21537,0,1,304,68,0.2236842105263158,4.75
L101,21538,3,1,304,68,0.2236842105263158,4.75
L101,21540,1,0,304,68,0.2236842105263158,4.75
L101,21543,1,0,304,68,0.2236842105263158,4.75
L101,23695,2,0,304,68,0.2236842105263158,4.75
L101,23701,2,0,304,68,0.2236842105263158,4.75
L101,25820,0,1,304,68,0.2236842105263158,4.75
L101,25823,0,1,304,68,0.2236842105263158,4.75
L101,27885,1,0,304,68,0.2236842105263158,4.75
L101,29888,1,0,304,68,0.2236842105263158,4.75
L101,29890,0,1,304,68,0.2236842105263158,4.75
L101,29891,0,1,304,68,0.2236842105263158,4.75
L101,31868,2,0,304,68,0.2236842105263158,4.75
L101,35693,0,1,304,68,0.2236842105263158,4.75
L101,37516,2,0,304,68,0.2236842105263158,4.75
L101,37521,1,0,304,68,0.2236842105263158,4.75
L101,37522,1,0,304,68,0.2236842105263158,4.75
L101,39320,0,1,304,68,0.2236842105263158,4.75
L101,39322,1,0,304,68,0.2236842105263158,4.75
L101,39327,2,0,304,68,0.2236842105263158,4.75
L101,41098,0,1,304,68,0.2236842105263158,4.75
L101,41101,0,1,304,68,0.2236842105263158,4.75
L101,41106,1,0,304,68,0.2236842105263158,4.75
L101,42867,1,0,304,68,0.2236842105263158,4.75
L101,42868,1,0,304,68,0.2236842105263158,4.75
L101,44608,1,0,304,68,0.2236842105263158,4.75
L101,44609,1,0,304,68,0.2236842105263158,4.75
L101,44613,0,1,304,68,0.2236842105263158,4.75
L101,48063,1,0,304,68,0.2236842105263158,4.75
L101,48064,1,0,304,68,0.2236842105263158,4.75
L101,48065,1,0,304,68,0.2236842105263158,4.75
